timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525121465,24.6968,72.9882,38975,109,554,06A140,DOH,HKG,QTR8424,0,B77L,QR8424
1525121526,24.6443,73.149,38975,109,553,06A140,DOH,HKG,QTR8424,0,B77L,QR8424
1525121593,24.5865,73.3252,38425,109,553,06A140,DOH,HKG,QTR8424,-1536,B77L,QR8424
1525121652,24.5339,73.4847,37500,109,556,06A140,DOH,HKG,QTR8424,-704,B77L,QR8424
1525121709,24.4861,73.6294,36975,109,554,06A140,DOH,HKG,QTR8424,-64,B77L,QR8424
1525121774,24.428,73.8043,37000,109,553,06A140,DOH,HKG,QTR8424,0,B77L,QR8424
1525121829,24.38,73.9487,37000,109,555,06A140,DOH,HKG,QTR8424,0,B77L,QR8424
1525121898,24.319,74.1316,37000,110,557,06A140,DOH,HKG,QTR8424,0,B77L,QR8424
1525121957,24.2676,74.2847,37000,110,558,06A140,DOH,HKG,QTR8424,0,B77L,QR8424
1525122020,24.2111,74.4526,37000,110,558,06A140,DOH,HKG,QTR8424,0,B77L,QR8424
1525122077,24.1596,74.6049,36975,110,558,06A140,DOH,HKG,QTR8424,0,B77L,QR8424
1525122142,24.1011,74.7775,36975,110,559,06A140,DOH,HKG,QTR8424,-64,B77L,QR8424
1525122201,24.0481,74.9328,37000,110,556,06A140,DOH,HKG,QTR8424,0,B77L,QR8424
1525122262,23.993,75.0942,36975,110,555,06A140,DOH,HKG,QTR8424,0,B77L,QR8424
1525122321,23.9399,75.2491,37000,110,553,06A140,DOH,HKG,QTR8424,0,B77L,QR8424
1525122384,23.8826,75.415,37000,110,552,06A140,DOH,HKG,QTR8424,0,B77L,QR8424
1525122445,23.8284,75.5721,37000,110,551,06A140,DOH,HKG,QTR8424,0,B77L,QR8424
1525122507,23.7835,75.7321,37000,99,544,06A140,DOH,HKG,QTR8424,-64,B77L,QR8424
