timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525151081,18.0872,112.6863,39000,15,463,76CD76,SIN,HKG,SIA856,0,A388,SQ856
1525151141,18.2113,112.7213,39000,15,463,76CD76,SIN,HKG,SIA856,0,A388,SQ856
1525151201,18.3355,112.7563,39000,15,463,76CD76,SIN,HKG,SIA856,0,A388,SQ856
1525151329,18.0456,114.3017,39000,356,463,76CD76,SIN,HKG,SIA856,0,A388,SQ856
1525151389,18.1545,114.2937,39000,356,463,76CD76,SIN,HKG,SIA856,0,A388,SQ856
1525151449,18.2635,114.2856,39000,356,463,76CD76,SIN,HKG,SIA856,0,A388,SQ856
1525151509,18.3725,114.2776,39000,356,463,76CD76,SIN,HKG,SIA856,0,A388,SQ856
1525151569,18.5007,114.2682,39000,356,463,76CD76,SIN,HKG,SIA856,0,A388,SQ856
1525151629,18.6289,114.2587,39000,356,463,76CD76,SIN,HKG,SIA856,0,A388,SQ856
1525151689,18.7571,114.2493,39000,356,463,76CD76,SIN,HKG,SIA856,0,A388,SQ856
1525151765,19.039,114.6942,39000,6,481,76CD76,SIN,HKG,SIA856,0,A388,SQ856
1525151817,19.1562,114.6973,39000,356,477,76CD76,SIN,HKG,SIA856,0,A388,SQ856
1525151884,19.3034,114.6848,39000,355,477,76CD76,SIN,HKG,SIA856,0,A388,SQ856
1525151944,19.4379,114.6735,39000,355,478,76CD76,SIN,HKG,SIA856,0,A388,SQ856
1525152009,19.5765,114.6618,39000,355,480,76CD76,SIN,HKG,SIA856,0,A388,SQ856
1525152053,19.6789,114.6532,39000,355,479,76CD76,SIN,HKG,SIA856,-64,A388,SQ856
1525152111,19.8087,114.6421,39000,355,477,76CD76,SIN,HKG,SIA856,0,A388,SQ856
1525152192,19.9839,114.6272,38825,355,477,76CD76,SIN,HKG,SIA856,-960,A388,SQ856
1525152250,20.1116,114.6162,37900,355,481,76CD76,SIN,HKG,SIA856,-960,A388,SQ856
1525152311,20.25,114.6044,36025,355,486,76CD76,SIN,HKG,SIA856,-2880,A388,SQ856
1525152367,20.3774,114.5935,33325,355,492,76CD76,SIN,HKG,SIA856,-2816,A388,SQ856
1525152431,20.5237,114.581,30150,355,498,76CD76,SIN,HKG,SIA856,-3200,A388,SQ856
1525152492,20.6591,114.5694,27975,355,475,76CD76,SIN,HKG,SIA856,-1984,A388,SQ856
1525152554,20.7939,114.5577,25925,355,451,76CD76,SIN,HKG,SIA856,-1984,A388,SQ856
1525152612,20.9128,114.5538,24050,359,437,76CD76,SIN,HKG,SIA856,-1984,A388,SQ856
1525152659,21.0033,114.5546,22600,359,432,76CD76,SIN,HKG,SIA856,-1920,A388,SQ856
1525152736,21.1567,114.5559,20175,49,415,76CD76,SIN,HKG,SIA856,-1792,A388,SQ856
1525152795,21.2715,114.557,18275,49,405,76CD76,SIN,HKG,SIA856,-1792,A388,SQ856
1525152861,21.3967,114.5582,15300,49,408,76CD76,SIN,HKG,SIA856,-2304,A388,SQ856
1525152922,21.5026,114.5539,14025,344,371,76CD76,SIN,HKG,SIA856,-1920,A388,SQ856
1525152985,21.6056,114.5176,12675,342,350,76CD76,SIN,HKG,SIA856,-1280,A388,SQ856
1525153042,21.6937,114.4869,11550,341,341,76CD76,SIN,HKG,SIA856,-1024,A388,SQ856
1525153108,21.7923,114.4526,10975,341,335,76CD76,SIN,HKG,SIA856,64,A388,SQ856
1525153169,21.875,114.4238,11000,341,303,76CD76,SIN,HKG,SIA856,0,A388,SQ856
1525153225,21.9507,114.3972,10450,341,298,76CD76,SIN,HKG,SIA856,-1216,A388,SQ856
1525153290,22.034,114.3681,9000,342,295,76CD76,SIN,HKG,SIA856,-1152,A388,SQ856
1525153350,22.1113,114.3411,8250,341,268,76CD76,SIN,HKG,SIA856,-1024,A388,SQ856
1525153409,22.1831,114.3231,7175,349,262,76CD76,SIN,HKG,SIA856,-1216,A388,SQ856
1525153470,22.2549,114.3093,6150,350,253,76CD76,SIN,HKG,SIA856,-512,A388,SQ856
1525153530,22.3198,114.2969,5675,349,220,76CD76,SIN,HKG,SIA856,-512,A388,SQ856
1525153596,22.3634,114.2547,4850,298,191,76CD76,SIN,HKG,SIA856,-256,A388,SQ856
1525153655,22.3873,114.2097,4625,299,189,76CD76,SIN,HKG,SIA856,-256,A388,SQ856
1525153697,22.3982,114.1715,4500,294,189,76CD76,SIN,HKG,SIA856,-320,A388,SQ856
1525153781,22.3739,114.0937,3100,251,185,76CD76,SIN,HKG,SIA856,-896,A388,SQ856
1525153845,22.3561,114.0384,2075,250,185,76CD76,SIN,HKG,SIA856,-1024,A388,SQ856
1525153905,22.3406,113.9901,1200,250,165,76CD76,SIN,HKG,SIA856,-768,A388,SQ856
1525153966,22.3269,113.9475,425,250,143,76CD76,SIN,HKG,SIA856,-704,A388,SQ856
1525154025,22.3148,113.9101,0,250,86,76CD76,SIN,HKG,SIA856,0,A388,SQ856
1525154090,22.3105,113.9017,0,165,20,76CD76,SIN,HKG,SIA856,0,A388,SQ856
