timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525173419,18.0483,107.3298,37000,48,496,885170,BKK,HKG,THA606,0,B77W,TG606
1525173480,18.1411,107.4409,37000,48,498,885170,BKK,HKG,THA606,0,B77W,TG606
1525173543,18.2377,107.5569,37000,48,498,885170,BKK,HKG,THA606,0,B77W,TG606
1525173605,18.3306,107.6683,36975,48,501,885170,BKK,HKG,THA606,0,B77W,TG606
1525173671,18.413,107.8053,37000,71,511,885170,BKK,HKG,THA606,-64,B77W,TG606
1525173732,18.4781,107.9383,37000,52,497,885170,BKK,HKG,THA606,64,B77W,TG606
1525173790,18.5615,108.0442,37000,49,498,885170,BKK,HKG,THA606,0,B77W,TG606
1525173856,18.6605,108.1693,36975,50,496,885170,BKK,HKG,THA606,0,B77W,TG606
1525173906,18.7336,108.2629,36975,50,496,885170,BKK,HKG,THA606,0,B77W,TG606
1525173969,18.8048,108.3686,36975,55,496,885170,BKK,HKG,THA606,0,B77W,TG606
1525174037,18.9119,108.5014,37000,55,496,885170,BKK,HKG,THA606,0,B77W,TG606
1525174100,19.0151,108.6244,36975,50,495,885170,BKK,HKG,THA606,0,B77W,TG606
1525174160,19.1036,108.7385,37000,50,496,885170,BKK,HKG,THA606,0,B77W,TG606
1525174218,19.1878,108.8469,37000,50,497,885170,BKK,HKG,THA606,0,B77W,TG606
1525174284,19.2841,108.9714,37075,50,496,885170,BKK,HKG,THA606,320,B77W,TG606
1525174344,19.3715,109.0845,37100,50,497,885170,BKK,HKG,THA606,0,B77W,TG606
1525174403,19.4566,109.195,37075,50,499,885170,BKK,HKG,THA606,0,B77W,TG606
1525174457,19.5274,109.2945,37075,56,499,885170,BKK,HKG,THA606,0,B77W,TG606
1525174529,19.6402,109.436,37100,51,498,885170,BKK,HKG,THA606,0,B77W,TG606
1525174587,19.7226,109.5445,37075,51,497,885170,BKK,HKG,THA606,0,B77W,TG606
1525174644,19.803,109.6508,37100,51,496,885170,BKK,HKG,THA606,0,B77W,TG606
1525174710,19.8985,109.777,37100,51,496,885170,BKK,HKG,THA606,0,B77W,TG606
1525174774,19.9925,109.9016,37075,51,498,885170,BKK,HKG,THA606,0,B77W,TG606
1525174829,20.0711,110.0059,37100,51,498,885170,BKK,HKG,THA606,0,B77W,TG606
1525174890,20.157,110.1204,37075,51,501,885170,BKK,HKG,THA606,0,B77W,TG606
1525174960,20.26,110.2578,37100,51,500,885170,BKK,HKG,THA606,0,B77W,TG606
1525175018,20.3439,110.3684,37100,51,500,885170,BKK,HKG,THA606,-64,B77W,TG606
1525175066,20.4023,110.4699,37075,62,506,885170,BKK,HKG,THA606,0,B77W,TG606
1525175146,20.481,110.6512,37075,65,508,885170,BKK,HKG,THA606,0,B77W,TG606
1525175204,20.5396,110.7871,37075,65,507,885170,BKK,HKG,THA606,0,B77W,TG606
1525175266,20.599,110.9256,37100,65,508,885170,BKK,HKG,THA606,0,B77W,TG606
1525175327,20.659,111.0658,37075,65,510,885170,BKK,HKG,THA606,0,B77W,TG606
1525175386,20.7171,111.2024,37100,65,510,885170,BKK,HKG,THA606,0,B77W,TG606
1525175451,20.7833,111.3379,37100,57,511,885170,BKK,HKG,THA606,0,B77W,TG606
1525175506,20.8334,111.4778,37100,66,510,885170,BKK,HKG,THA606,0,B77W,TG606
1525175560,20.8775,111.601,37075,70,512,885170,BKK,HKG,THA606,0,B77W,TG606
1525175627,20.9325,111.7644,37075,70,513,885170,BKK,HKG,THA606,0,B77W,TG606
1525175688,20.9812,111.9092,37075,70,513,885170,BKK,HKG,THA606,0,B77W,TG606
1525175750,21.0311,112.0577,37100,70,512,885170,BKK,HKG,THA606,0,B77W,TG606
1525175810,21.079,112.2011,36550,70,511,885170,BKK,HKG,THA606,-1856,B77W,TG606
1525175886,21.1399,112.3842,32925,70,519,885170,BKK,HKG,THA606,-2496,B77W,TG606
1525175948,21.1869,112.5263,30775,70,506,885170,BKK,HKG,THA606,-2304,B77W,TG606
1525176011,21.2362,112.6751,28575,70,492,885170,BKK,HKG,THA606,-2176,B77W,TG606
1525176071,21.2876,112.8083,26675,64,474,885170,BKK,HKG,THA606,-1856,B77W,TG606
1525176129,21.3452,112.9288,24800,62,462,885170,BKK,HKG,THA606,-2304,B77W,TG606
1525176204,21.4189,113.0774,21750,62,464,885170,BKK,HKG,THA606,-1984,B77W,TG606
1525176260,21.472,113.1915,19975,63,448,885170,BKK,HKG,THA606,-1984,B77W,TG606
1525176322,21.5293,113.3163,17950,63,432,885170,BKK,HKG,THA606,-1984,B77W,TG606
1525176387,21.5854,113.437,15975,63,417,885170,BKK,HKG,THA606,-1856,B77W,TG606
1525176448,21.6358,113.5459,14200,63,404,885170,BKK,HKG,THA606,-1280,B77W,TG606
1525176507,21.6838,113.6504,13075,63,372,885170,BKK,HKG,THA606,-704,B77W,TG606
1525176567,21.7284,113.7475,11950,63,351,885170,BKK,HKG,THA606,-768,B77W,TG606
1525176626,21.7761,113.8291,10925,44,298,885170,BKK,HKG,THA606,-960,B77W,TG606
1525176688,21.835,113.8879,9325,43,283,885170,BKK,HKG,THA606,-2048,B77W,TG606
1525176749,21.8945,113.9481,8350,43,280,885170,BKK,HKG,THA606,-640,B77W,TG606
1525176808,21.9579,113.9886,7725,6,273,885170,BKK,HKG,THA606,-576,B77W,TG606
1525176876,21.9933,113.9308,7075,251,229,885170,BKK,HKG,THA606,-896,B77W,TG606
1525176934,21.9721,113.8693,6025,263,222,885170,BKK,HKG,THA606,-512,B77W,TG606
1525176997,22.0048,113.8105,4825,309,230,885170,BKK,HKG,THA606,-960,B77W,TG606
1525177062,22.0567,113.7657,4175,348,230,885170,BKK,HKG,THA606,-640,B77W,TG606
1525177128,22.1268,113.7515,3475,348,231,885170,BKK,HKG,THA606,-704,B77W,TG606
1525177190,22.1854,113.7385,3125,348,229,885170,BKK,HKG,THA606,-832,B77W,TG606
1525177258,22.246,113.7555,2025,37,201,885170,BKK,HKG,THA606,64,B77W,TG606
1525177324,22.2808,113.8051,1750,70,185,885170,BKK,HKG,THA606,-896,B77W,TG606
1525177386,22.2969,113.8545,875,71,162,885170,BKK,HKG,THA606,-896,B77W,TG606
1525177444,22.3109,113.8982,75,70,156,885170,BKK,HKG,THA606,-640,B77W,TG606
1525177492,22.3179,113.9197,0,75,37,885170,BKK,HKG,THA606,0,B77W,TG606
1525177571,22.3157,113.9204,0,168,31,885170,BKK,HKG,THA606,0,B77W,TG606
1525177634,22.3116,113.9219,0,160,18,885170,BKK,HKG,THA606,0,B77W,TG606
1525177701,22.3075,113.9243,0,70,30,885170,BKK,HKG,THA606,0,B77W,TG606
1525177738,22.3078,113.9253,0,70,10,885170,BKK,HKG,THA606,0,B77W,TG606
1525177822,22.3079,113.9256,0,70,2,885170,BKK,HKG,THA606,0,B77W,TG606
