timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525149932,35.9,128.647,0,126,32,71C300,TAE,HKG,TWB117,0,B738,TW117
1525150031,35.8591,128.7052,2825,169,160,71C300,TAE,HKG,TWB117,2048,B738,TW117
1525150089,35.8098,128.6865,4375,198,227,71C300,TAE,HKG,TWB117,1920,B738,TW117
1525150159,35.7318,128.6568,7550,197,261,71C300,TAE,HKG,TWB117,2560,B738,TW117
1525150216,35.6609,128.63,10250,197,282,71C300,TAE,HKG,TWB117,2944,B738,TW117
1525150284,35.5636,128.5927,12100,197,349,71C300,TAE,HKG,TWB117,2496,B738,TW117
1525150349,35.4615,128.5597,15225,186,366,71C300,TAE,HKG,TWB117,3328,B738,TW117
1525150411,35.3548,128.5498,18125,184,378,71C300,TAE,HKG,TWB117,2240,B738,TW117
1525150472,35.2443,128.54,20700,184,390,71C300,TAE,HKG,TWB117,1984,B738,TW117
1525150530,35.1389,128.5307,22625,184,404,71C300,TAE,HKG,TWB117,2176,B738,TW117
1525150592,35.0231,128.5204,24725,184,411,71C300,TAE,HKG,TWB117,1920,B738,TW117
1525150655,34.902,128.5098,26000,184,421,71C300,TAE,HKG,TWB117,-64,B738,TW117
1525150717,34.7815,128.4941,26000,198,411,71C300,TAE,HKG,TWB117,0,B738,TW117
1525150773,34.7037,128.4117,26000,228,396,71C300,TAE,HKG,TWB117,0,B738,TW117
1525150841,34.6218,128.2984,26000,228,397,71C300,TAE,HKG,TWB117,0,B738,TW117
1525150898,34.5531,128.203,26000,228,397,71C300,TAE,HKG,TWB117,0,B738,TW117
1525150965,34.4779,128.0973,26000,230,398,71C300,TAE,HKG,TWB117,0,B738,TW117
1525151021,34.4085,128.0018,26000,230,399,71C300,TAE,HKG,TWB117,0,B738,TW117
1525151088,34.3199,127.8822,26000,228,401,71C300,TAE,HKG,TWB117,0,B738,TW117
1525151148,34.2468,127.7822,26000,228,402,71C300,TAE,HKG,TWB117,0,B738,TW117
1525151209,34.1717,127.68,26000,228,401,71C300,TAE,HKG,TWB117,0,B738,TW117
1525151269,34.0977,127.5792,26000,228,400,71C300,TAE,HKG,TWB117,0,B738,TW117
1525151333,34.0195,127.4733,27125,228,402,71C300,TAE,HKG,TWB117,1856,B738,TW117
1525151385,33.954,127.3847,28550,228,406,71C300,TAE,HKG,TWB117,1536,B738,TW117
1525151450,33.8732,127.2757,30575,228,400,71C300,TAE,HKG,TWB117,1664,B738,TW117
1525151511,33.798,127.1746,32000,228,400,71C300,TAE,HKG,TWB117,64,B738,TW117
1525151572,33.7236,127.0749,32000,228,400,71C300,TAE,HKG,TWB117,64,B738,TW117
1525151635,33.6452,126.97,32000,228,401,71C300,TAE,HKG,TWB117,64,B738,TW117
1525151695,33.5707,126.8711,32000,227,405,71C300,TAE,HKG,TWB117,0,B738,TW117
1525151766,33.4827,126.754,32000,227,406,71C300,TAE,HKG,TWB117,0,B738,TW117
1525151819,33.4138,126.6629,32875,227,405,71C300,TAE,HKG,TWB117,1792,B738,TW117
1525151885,33.3268,126.5605,34550,222,401,71C300,TAE,HKG,TWB117,1280,B738,TW117
1525151944,33.2473,126.4732,35675,222,401,71C300,TAE,HKG,TWB117,1216,B738,TW117
1525152007,33.1604,126.3776,36000,222,401,71C300,TAE,HKG,TWB117,0,B738,TW117
1525152068,33.0778,126.2875,36000,222,401,71C300,TAE,HKG,TWB117,0,B738,TW117
1525152127,32.99,126.2036,36000,208,409,71C300,TAE,HKG,TWB117,0,B738,TW117
1525152191,32.8764,126.1523,36000,200,415,71C300,TAE,HKG,TWB117,0,B738,TW117
1525152251,32.7675,126.1055,36000,199,414,71C300,TAE,HKG,TWB117,0,B738,TW117
1525152313,32.6586,126.0591,36000,199,412,71C300,TAE,HKG,TWB117,0,B738,TW117
1525152373,32.549,126.0123,36000,199,412,71C300,TAE,HKG,TWB117,0,B738,TW117
1525152434,32.4408,125.9665,36000,199,414,71C300,TAE,HKG,TWB117,0,B738,TW117
1525152497,32.3256,125.9177,36000,199,415,71C300,TAE,HKG,TWB117,0,B738,TW117
1525152558,32.2162,125.8715,36000,199,417,71C300,TAE,HKG,TWB117,0,B738,TW117
1525152617,32.1054,125.8249,36000,199,419,71C300,TAE,HKG,TWB117,0,B738,TW117
1525152672,32.0053,125.7829,36000,199,421,71C300,TAE,HKG,TWB117,0,B738,TW117
1525152737,31.9207,125.7036,36000,231,421,71C300,TAE,HKG,TWB117,0,B738,TW117
1525152805,31.7854,125.6588,36000,231,421,71C300,TAE,HKG,TWB117,0,B738,TW117
1525152853,31.7353,125.5862,36000,231,421,71C300,TAE,HKG,TWB117,0,B738,TW117
1525152921,31.5465,125.5905,36000,199,423,71C300,TAE,HKG,TWB117,0,B738,TW117
1525152983,31.4323,125.5427,36000,199,425,71C300,TAE,HKG,TWB117,0,B738,TW117
1525153046,31.3155,125.494,36000,199,426,71C300,TAE,HKG,TWB117,0,B738,TW117
1525153106,31.2052,125.4479,36000,199,425,71C300,TAE,HKG,TWB117,0,B738,TW117
1525153165,31.1294,125.3724,36000,232,425,71C300,TAE,HKG,TWB117,0,B738,TW117
1525153210,31.0138,125.3683,36000,199,423,71C300,TAE,HKG,TWB117,0,B738,TW117
1525153278,30.8869,125.3158,36000,199,426,71C300,TAE,HKG,TWB117,0,B738,TW117
1525153353,30.8033,125.2079,36000,233,426,71C300,TAE,HKG,TWB117,0,B738,TW117
1525153413,30.7428,125.1145,36000,233,426,71C300,TAE,HKG,TWB117,0,B738,TW117
1525153473,30.6823,125.0211,36000,233,426,71C300,TAE,HKG,TWB117,0,B738,TW117
1525153533,30.6218,124.9278,36000,233,426,71C300,TAE,HKG,TWB117,0,B738,TW117
1525153593,30.557,124.828,36000,233,426,71C300,TAE,HKG,TWB117,0,B738,TW117
1525153653,30.4858,124.7183,36000,233,426,71C300,TAE,HKG,TWB117,0,B738,TW117
1525153713,30.0335,125.1942,36000,178,443,71C300,TAE,HKG,TWB117,0,B738,TW117
1525153758,29.9485,125.1748,36000,194,431,71C300,TAE,HKG,TWB117,0,B738,TW117
1525153841,29.805,125.0965,36000,219,428,71C300,TAE,HKG,TWB117,0,B738,TW117
1525153901,29.7485,125.0,36000,236,428,71C300,TAE,HKG,TWB117,0,B738,TW117
1525153961,29.692,124.9036,36000,236,428,71C300,TAE,HKG,TWB117,0,B738,TW117
1525154014,29.4858,124.9422,36000,215,415,71C300,TAE,HKG,TWB117,0,B738,TW117
1525154073,29.3959,124.8688,36000,215,414,71C300,TAE,HKG,TWB117,64,B738,TW117
1525154141,29.289,124.7819,36000,215,413,71C300,TAE,HKG,TWB117,0,B738,TW117
1525154205,29.2211,124.6851,36000,237,413,71C300,TAE,HKG,TWB117,0,B738,TW117
1525154260,29.1035,124.6314,36000,215,411,71C300,TAE,HKG,TWB117,0,B738,TW117
1525154321,29.0495,124.5371,36000,238,411,71C300,TAE,HKG,TWB117,0,B738,TW117
1525154391,28.898,124.4657,36000,215,406,71C300,TAE,HKG,TWB117,0,B738,TW117
1525154442,28.8217,124.4044,36000,215,406,71C300,TAE,HKG,TWB117,0,B738,TW117
1525154494,28.744,124.342,36000,215,408,71C300,TAE,HKG,TWB117,0,B738,TW117
1525154569,28.6783,124.2271,36000,238,408,71C300,TAE,HKG,TWB117,0,B738,TW117
1525154641,28.6171,124.1154,36000,238,408,71C300,TAE,HKG,TWB117,0,B738,TW117
1525154701,28.566,124.0225,36000,238,408,71C300,TAE,HKG,TWB117,0,B738,TW117
1525154761,28.515,123.9295,36000,238,408,71C300,TAE,HKG,TWB117,0,B738,TW117
1525154809,28.4706,123.8487,36000,238,408,71C300,TAE,HKG,TWB117,0,B738,TW117
