timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525156529,53.9433,118.4834,36000,189,534,AA6B7E,EWR,HKG,UAL179,0,B772,UA179
1525156589,53.7969,118.4441,36000,189,534,AA6B7E,EWR,HKG,UAL179,0,B772,UA179
1525156649,53.6501,118.4093,36000,188,534,AA6B7E,EWR,HKG,UAL179,0,B772,UA179
1525156717,53.7719,117.0537,38000,186,519,AA6B7E,EWR,HKG,UAL179,0,B772,UA179
1525156777,53.6203,116.9836,38000,192,515,AA6B7E,EWR,HKG,UAL179,0,B772,UA179
1525156840,53.4736,116.931,38000,192,515,AA6B7E,EWR,HKG,UAL179,0,B772,UA179
1525156904,53.3263,116.8782,38000,192,512,AA6B7E,EWR,HKG,UAL179,0,B772,UA179
1525156962,53.1884,116.8292,38000,191,508,AA6B7E,EWR,HKG,UAL179,0,B772,UA179
1525157023,53.0522,116.7812,38000,191,509,AA6B7E,EWR,HKG,UAL179,0,B772,UA179
1525157084,52.9131,116.7324,38000,191,508,AA6B7E,EWR,HKG,UAL179,64,B772,UA179
1525157147,52.7679,116.682,38000,191,510,AA6B7E,EWR,HKG,UAL179,0,B772,UA179
1525157209,52.6242,116.6323,38000,191,508,AA6B7E,EWR,HKG,UAL179,-64,B772,UA179
1525157269,52.486,116.5849,38000,191,504,AA6B7E,EWR,HKG,UAL179,0,B772,UA179
1525157329,52.3499,116.5384,38000,191,502,AA6B7E,EWR,HKG,UAL179,0,B772,UA179
1525157392,52.2077,116.4904,38000,191,503,AA6B7E,EWR,HKG,UAL179,0,B772,UA179
1525157451,52.0737,116.4452,38000,191,505,AA6B7E,EWR,HKG,UAL179,0,B772,UA179
1525157513,51.9312,116.3976,38000,191,506,AA6B7E,EWR,HKG,UAL179,0,B772,UA179
1525157573,51.7951,116.3523,38000,191,505,AA6B7E,EWR,HKG,UAL179,0,B772,UA179
1525157633,51.6565,116.3065,38000,191,506,AA6B7E,EWR,HKG,UAL179,0,B772,UA179
1525157699,51.5112,116.2588,38000,191,507,AA6B7E,EWR,HKG,UAL179,64,B772,UA179
1525157759,51.3644,116.2109,38000,191,505,AA6B7E,EWR,HKG,UAL179,0,B772,UA179
1525157801,51.2724,116.1812,38000,191,506,AA6B7E,EWR,HKG,UAL179,0,B772,UA179
1525157877,51.1217,116.1602,38000,185,506,AA6B7E,EWR,HKG,UAL179,0,B772,UA179
1525157937,51.0028,116.1437,38000,185,506,AA6B7E,EWR,HKG,UAL179,0,B772,UA179
1525157997,50.8839,116.1272,38000,185,506,AA6B7E,EWR,HKG,UAL179,0,B772,UA179
1525158064,50.6716,115.9893,38000,191,502,AA6B7E,EWR,HKG,UAL179,0,B772,UA179
1525158122,50.5381,115.9472,38000,191,503,AA6B7E,EWR,HKG,UAL179,0,B772,UA179
1525158185,50.3978,115.9034,38000,191,505,AA6B7E,EWR,HKG,UAL179,0,B772,UA179
1525158243,50.2625,115.8614,38000,191,504,AA6B7E,EWR,HKG,UAL179,0,B772,UA179
1525158305,50.1297,115.8307,38000,184,503,AA6B7E,EWR,HKG,UAL179,0,B772,UA179
1525158368,49.9778,115.7738,38000,191,501,AA6B7E,EWR,HKG,UAL179,0,B772,UA179
1525158429,49.8413,115.7182,38000,199,501,AA6B7E,EWR,HKG,UAL179,0,B772,UA179
