timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525146475,34.4381,135.2527,0,309,9,780AB4,KIX,HKG,HKE851,0,A321,UO851
1525146535,34.438,135.2533,0,230,9,780AB4,KIX,HKG,HKE851,0,A321,UO851
1525146595,34.438,135.2534,0,230,0,780AB4,KIX,HKG,HKE851,0,A321,UO851
1525146654,34.438,135.2534,0,230,0,780AB4,KIX,HKG,HKE851,0,A321,UO851
1525146723,34.4378,135.253,0,233,19,780AB4,KIX,HKG,HKE851,0,A321,UO851
1525146780,34.4358,135.2501,0,230,28,780AB4,KIX,HKG,HKE851,0,A321,UO851
1525146841,34.4333,135.2493,0,168,24,780AB4,KIX,HKG,HKE851,0,A321,UO851
1525146874,34.4322,135.2479,0,230,29,780AB4,KIX,HKG,HKE851,0,A321,UO851
1525146962,34.4272,135.2405,0,230,22,780AB4,KIX,HKG,HKE851,0,A321,UO851
1525146962,34.4272,135.2405,0,230,22,780AB4,KIX,HKG,HKE851,0,A321,UO851
1525147130,34.4211,135.2349,0,50,35,780AB4,KIX,HKG,HKE851,0,A321,UO851
1525147205,34.4573,135.284,2025,46,175,780AB4,KIX,HKG,HKE851,1664,A321,UO851
1525147266,34.5044,135.3074,3725,2,212,780AB4,KIX,HKG,HKE851,1024,A321,UO851
1525147332,34.5461,135.2392,5675,276,270,780AB4,KIX,HKG,HKE851,3136,A321,UO851
1525147392,34.533,135.1512,8475,258,279,780AB4,KIX,HKG,HKE851,2432,A321,UO851
1525147454,34.5164,135.0548,10750,258,307,780AB4,KIX,HKG,HKE851,1216,A321,UO851
1525147516,34.4958,134.9371,12250,258,358,780AB4,KIX,HKG,HKE851,2944,A321,UO851
1525147575,34.4753,134.8197,14775,257,359,780AB4,KIX,HKG,HKE851,1664,A321,UO851
1525147634,34.4408,134.7065,16775,230,372,780AB4,KIX,HKG,HKE851,1984,A321,UO851
1525147702,34.3656,134.5981,18850,230,384,780AB4,KIX,HKG,HKE851,2304,A321,UO851
1525147756,34.3018,134.5065,20575,229,391,780AB4,KIX,HKG,HKE851,1472,A321,UO851
1525147825,34.2343,134.3926,21750,242,396,780AB4,KIX,HKG,HKE851,0,A321,UO851
1525147886,34.1492,134.2886,24175,229,402,780AB4,KIX,HKG,HKE851,1280,A321,UO851
1525147945,34.0774,134.1868,25375,229,413,780AB4,KIX,HKG,HKE851,1088,A321,UO851
1525148008,33.9964,134.0719,26725,229,419,780AB4,KIX,HKG,HKE851,1280,A321,UO851
1525148069,33.9191,133.963,27650,229,432,780AB4,KIX,HKG,HKE851,1088,A321,UO851
1525148128,33.8442,133.8576,28600,229,438,780AB4,KIX,HKG,HKE851,1408,A321,UO851
1525148191,33.7533,133.7485,29850,223,441,780AB4,KIX,HKG,HKE851,1472,A321,UO851
1525148250,33.6646,133.6494,31150,223,435,780AB4,KIX,HKG,HKE851,960,A321,UO851
1525148313,33.5728,133.547,32125,223,437,780AB4,KIX,HKG,HKE851,1024,A321,UO851
1525148374,33.4827,133.4467,33300,222,433,780AB4,KIX,HKG,HKE851,1088,A321,UO851
1525148432,33.3943,133.3489,34000,222,430,780AB4,KIX,HKG,HKE851,0,A321,UO851
1525148485,33.3256,133.2552,34000,233,421,780AB4,KIX,HKG,HKE851,0,A321,UO851
1525148553,33.2526,133.1373,34000,234,419,780AB4,KIX,HKG,HKE851,0,A321,UO851
1525148612,33.1813,133.0224,33975,234,415,780AB4,KIX,HKG,HKE851,0,A321,UO851
1525148671,33.1147,132.9149,34000,234,412,780AB4,KIX,HKG,HKE851,-64,A321,UO851
1525148734,33.0438,132.8013,33975,234,410,780AB4,KIX,HKG,HKE851,-64,A321,UO851
1525148797,32.9723,132.6867,33975,233,408,780AB4,KIX,HKG,HKE851,0,A321,UO851
1525148858,32.9,132.5715,33975,233,409,780AB4,KIX,HKG,HKE851,0,A321,UO851
1525148919,32.8321,132.4634,34000,233,410,780AB4,KIX,HKG,HKE851,64,A321,UO851
1525148983,32.7606,132.3501,34025,233,412,780AB4,KIX,HKG,HKE851,0,A321,UO851
1525149050,32.6835,132.2282,34025,233,411,780AB4,KIX,HKG,HKE851,-64,A321,UO851
1525149113,32.6139,132.1127,34000,235,411,780AB4,KIX,HKG,HKE851,0,A321,UO851
1525149173,32.5488,132.0021,34000,235,411,780AB4,KIX,HKG,HKE851,0,A321,UO851
1525149233,32.4827,131.89,34025,235,408,780AB4,KIX,HKG,HKE851,-64,A321,UO851
1525149293,32.4177,131.7801,33975,235,405,780AB4,KIX,HKG,HKE851,0,A321,UO851
1525149352,32.3559,131.676,33950,234,407,780AB4,KIX,HKG,HKE851,0,A321,UO851
1525149424,32.2775,131.5441,34000,234,410,780AB4,KIX,HKG,HKE851,0,A321,UO851
1525149480,32.2144,131.4384,34025,234,411,780AB4,KIX,HKG,HKE851,-64,A321,UO851
1525149544,32.1455,131.3233,34000,234,413,780AB4,KIX,HKG,HKE851,-64,A321,UO851
1525149602,32.0812,131.216,34325,234,416,780AB4,KIX,HKG,HKE851,832,A321,UO851
1525149665,32.0113,131.1004,35725,234,402,780AB4,KIX,HKG,HKE851,512,A321,UO851
1525149730,31.9422,130.9857,36000,234,399,780AB4,KIX,HKG,HKE851,0,A321,UO851
1525149786,31.8831,130.888,36000,234,395,780AB4,KIX,HKG,HKE851,64,A321,UO851
1525149843,31.8214,130.7864,36000,234,397,780AB4,KIX,HKG,HKE851,0,A321,UO851
1525149910,31.7493,130.6682,36000,234,399,780AB4,KIX,HKG,HKE851,64,A321,UO851
1525149965,31.6911,130.573,35975,234,402,780AB4,KIX,HKG,HKE851,0,A321,UO851
