timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner
1527849668,18.0375,112.796,31025,13,459,76AA6A,SIN,HKG,0
1527849716,18.1368,112.8202,31025,13,459,76AA6A,SIN,HKG,0
1527849776,18.261,112.8503,31025,13,459,76AA6A,SIN,HKG,0
1527849848,18.4099,112.8866,31025,13,459,76AA6A,SIN,HKG,0
1527849908,18.5341,112.9168,31025,13,459,76AA6A,SIN,HKG,0
1527849968,18.6582,112.947,31025,13,459,76AA6A,SIN,HKG,0
1527850028,18.7824,112.9773,31025,13,459,76AA6A,SIN,HKG,0
1527850088,18.9065,113.0076,31025,13,459,76AA6A,SIN,HKG,0
1527850148,19.0307,113.0379,31025,13,459,76AA6A,SIN,HKG,0
1527850208,19.1548,113.0682,31025,13,459,76AA6A,SIN,HKG,0
1527850268,19.279,113.0986,31025,13,459,76AA6A,SIN,HKG,0
1527850336,19.0232,114.6769,31000,348,470,76AA6A,SIN,HKG,0
1527850396,19.1317,114.6525,31000,348,470,76AA6A,SIN,HKG,0
1527850460,19.2977,114.678,31025,347,468,76AA6A,SIN,HKG,0
1527850519,19.4286,114.6739,31000,355,411,76AA6A,SIN,HKG,0
1527850584,19.5466,114.6639,31000,355,404,76AA6A,SIN,HKG,0
1527850640,19.6416,114.6447,31000,346,404,76AA6A,SIN,HKG,0
1527850700,19.7341,114.6203,31000,346,404,76AA6A,SIN,HKG,0
1527850767,19.89,114.6347,31000,355,401,76AA6A,SIN,HKG,0
1527850828,19.9964,114.618,31000,345,403,76AA6A,SIN,HKG,0
1527850888,20.1072,114.6069,31000,344,403,76AA6A,SIN,HKG,0
1527850946,20.2227,114.6061,30950,355,405,76AA6A,SIN,HKG,0
1527851006,20.3356,114.5965,30050,355,398,76AA6A,SIN,HKG,0
1527851072,20.4469,114.5762,29400,342,396,76AA6A,SIN,HKG,0
1527851114,20.5333,114.5797,28225,355,392,76AA6A,SIN,HKG,0
1527851190,20.6694,114.568,27000,355,384,76AA6A,SIN,HKG,0
1527851231,20.7416,114.5617,26325,355,381,76AA6A,SIN,HKG,0
1527851302,20.8653,114.5525,25450,359,381,76AA6A,SIN,HKG,0
1527851368,20.9817,114.5537,24925,359,375,76AA6A,SIN,HKG,0
1527851434,21.0978,114.5546,24400,1,374,76AA6A,SIN,HKG,0
1527851501,21.2092,114.556,23750,1,369,76AA6A,SIN,HKG,0
1527851562,21.3152,114.5568,22800,1,353,76AA6A,SIN,HKG,0
1527851623,21.4091,114.5578,22225,1,316,76AA6A,SIN,HKG,0
1527851685,21.498,114.5589,21750,1,310,76AA6A,SIN,HKG,0
1527851743,21.562,114.6036,21250,78,308,76AA6A,SIN,HKG,0
1527851804,21.5103,114.6673,20825,163,308,76AA6A,SIN,HKG,0
1527851867,21.4257,114.6936,20175,175,312,76AA6A,SIN,HKG,0
1527851924,21.368,114.6399,19000,261,320,76AA6A,SIN,HKG,0
1527851988,21.3944,114.5492,16675,322,334,76AA6A,SIN,HKG,0
1527852050,21.4919,114.5308,14075,352,327,76AA6A,SIN,HKG,0
1527852109,21.5728,114.5196,13050,352,295,76AA6A,SIN,HKG,0
1527852169,21.6484,114.4861,12675,321,291,76AA6A,SIN,HKG,0
1527852236,21.7191,114.4268,12150,322,285,76AA6A,SIN,HKG,0
1527852297,21.7826,114.3742,11550,322,282,76AA6A,SIN,HKG,0
1527852351,21.8387,114.3276,10925,322,283,76AA6A,SIN,HKG,0
1527852418,21.9056,114.272,10175,322,271,76AA6A,SIN,HKG,0
1527852444,21.9324,114.2496,9875,322,270,76AA6A,SIN,HKG,0
1527852537,22.0249,114.1726,8800,322,270,76AA6A,SIN,HKG,0
1527852595,22.0814,114.1238,8200,317,267,76AA6A,SIN,HKG,0
1527852656,22.1376,114.0738,7625,325,262,76AA6A,SIN,HKG,0
1527852715,22.1396,114.0068,7275,246,244,76AA6A,SIN,HKG,0
1527852776,22.0996,113.9456,6600,232,239,76AA6A,SIN,HKG,0
1527852839,22.0601,113.8854,5625,249,236,76AA6A,SIN,HKG,0
1527852901,22.0762,113.8131,4900,288,240,76AA6A,SIN,HKG,0
1527852962,22.1162,113.7599,3850,327,233,76AA6A,SIN,HKG,0
1527853025,22.1752,113.7312,3075,341,212,76AA6A,SIN,HKG,0
1527853080,22.2259,113.7154,2550,354,198,76AA6A,SIN,HKG,0
1527853150,22.2646,113.7553,2275,70,166,76AA6A,SIN,HKG,0
1527853212,22.2801,113.8024,1850,70,160,76AA6A,SIN,HKG,0
1527853270,22.2933,113.8435,1125,70,138,76AA6A,SIN,HKG,0
1527853331,22.3059,113.8824,425,71,135,76AA6A,SIN,HKG,0
1527853397,22.3164,113.9154,0,78,39,76AA6A,SIN,HKG,0
1527853459,22.3161,113.92,0,92,23,76AA6A,SIN,HKG,0
1527853514,22.3134,113.9213,0,160,26,76AA6A,SIN,HKG,0
1527853579,22.312,113.9218,0,160,17,76AA6A,SIN,HKG,0
1527853638,22.3115,113.9209,0,250,10,76AA6A,SIN,HKG,0
1527853684,22.3114,113.9207,0,250,2,76AA6A,SIN,HKG,0
1527853684,22.3114,113.9207,0,250,2,76AA6A,SIN,HKG,0
