timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner
1527831894,30.6126,103.9629,3375,22,181,78080A,CTU,HKG,0
1527831959,30.671,103.9902,5025,21,230,78080A,CTU,HKG,0
1527832019,30.7126,104.0568,6775,61,282,78080A,CTU,HKG,0
1527832082,30.752,104.1403,9775,64,278,78080A,CTU,HKG,0
1527832138,30.7229,104.2142,10825,147,324,78080A,CTU,HKG,0
1527832204,30.6304,104.2824,12350,146,371,78080A,CTU,HKG,0
1527832262,30.5457,104.348,14000,146,390,78080A,CTU,HKG,0
1527832321,30.4549,104.418,15825,146,397,78080A,CTU,HKG,0
1527832385,30.358,104.4927,17750,146,399,78080A,CTU,HKG,0
1527832445,30.2627,104.566,19000,146,414,78080A,CTU,HKG,0
1527832507,30.1651,104.6408,20750,146,412,78080A,CTU,HKG,0
1527832568,30.0626,104.698,22575,161,402,78080A,CTU,HKG,0
1527832627,29.9587,104.7386,23950,161,403,78080A,CTU,HKG,0
1527832694,29.8394,104.785,25050,161,413,78080A,CTU,HKG,0
1527832749,29.7346,104.8255,26000,161,420,78080A,CTU,HKG,0
1527832812,29.6217,104.869,27000,161,426,78080A,CTU,HKG,0
1527832872,29.5071,104.9132,28000,161,429,78080A,CTU,HKG,0
1527832936,29.3868,104.9595,29050,161,431,78080A,CTU,HKG,0
1527832995,29.2689,105.0046,29100,161,455,78080A,CTU,HKG,0
1527833059,29.1386,105.0545,29100,161,477,78080A,CTU,HKG,0
1527833118,29.0137,105.1021,29100,161,479,78080A,CTU,HKG,0
1527833175,28.8951,105.1472,29100,161,476,78080A,CTU,HKG,0
1527833232,28.8029,105.2189,29100,127,476,78080A,CTU,HKG,0
1527833304,28.7218,105.3417,29100,127,476,78080A,CTU,HKG,0
1527833362,28.4969,105.2979,29125,161,479,78080A,CTU,HKG,0
1527833424,28.3692,105.3459,29125,161,477,78080A,CTU,HKG,0
1527833488,28.2367,105.3956,29100,161,476,78080A,CTU,HKG,0
1527833548,28.1129,105.452,29100,154,478,78080A,CTU,HKG,0
1527833606,27.995,105.5159,29100,154,477,78080A,CTU,HKG,0
1527833668,27.8725,105.5825,29100,154,478,78080A,CTU,HKG,0
