timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner
1527866256,23.9296,73.0507,40975,94,483,44D104,DXB,HKG,0
1527866316,23.9184,73.1985,40975,94,483,44D104,DXB,HKG,0
1527866379,23.9067,73.3517,40975,94,483,44D104,DXB,HKG,0
1527866436,23.8961,73.4887,40975,94,482,44D104,DXB,HKG,0
1527866495,23.885,73.6301,40975,94,484,44D104,DXB,HKG,0
1527866542,23.8758,73.7457,40975,94,484,44D104,DXB,HKG,0
1527866621,23.8604,73.9383,40975,95,486,44D104,DXB,HKG,0
1527866630,23.8586,73.961,40975,95,486,44D104,DXB,HKG,0
1527866738,23.837,74.2244,41000,95,486,44D104,DXB,HKG,0
1527866809,23.8228,74.3953,41000,95,485,44D104,DXB,HKG,0
1527866839,23.8166,74.469,41000,95,487,44D104,DXB,HKG,0
1527866929,23.7977,74.6908,40975,95,487,44D104,DXB,HKG,0
1527866990,23.7849,74.8391,41000,95,487,44D104,DXB,HKG,0
1527867044,23.7733,74.9715,40975,95,487,44D104,DXB,HKG,0
1527867108,23.7596,75.1279,40975,95,485,44D104,DXB,HKG,0
1527867170,23.7678,75.26,40975,84,484,44D104,DXB,HKG,0
1527867230,23.7539,75.4068,40975,84,485,44D104,DXB,HKG,0
1527867292,23.7195,75.5729,40975,95,479,44D104,DXB,HKG,0
1527867341,23.709,75.6878,41000,95,478,44D104,DXB,HKG,0
1527867414,23.6918,75.8646,40975,96,483,44D104,DXB,HKG,0
1527867472,23.6757,76.0108,40975,96,486,44D104,DXB,HKG,0
1527867536,23.6591,76.1649,41000,96,486,44D104,DXB,HKG,0
1527867603,23.6415,76.3264,40975,96,485,44D104,DXB,HKG,0
1527867665,23.6254,76.4731,40975,96,485,44D104,DXB,HKG,0
1527867724,23.6093,76.6182,40975,96,482,44D104,DXB,HKG,0
1527867789,23.592,76.7718,41000,96,482,44D104,DXB,HKG,0
1527867850,23.5757,76.9173,40975,97,480,44D104,DXB,HKG,0
1527867910,23.5592,77.0612,40975,97,480,44D104,DXB,HKG,0
1527867970,23.5426,77.2057,40975,97,478,44D104,DXB,HKG,0
1527868029,23.5262,77.3475,40975,97,479,44D104,DXB,HKG,0
1527868086,23.5345,77.4658,40975,84,479,44D104,DXB,HKG,0
1527868156,23.4903,77.6533,40975,97,478,44D104,DXB,HKG,0
1527868216,23.474,77.7905,40975,97,479,44D104,DXB,HKG,0
1527868277,23.4566,77.9352,40975,97,478,44D104,DXB,HKG,0
1527868332,23.4403,78.0706,41000,97,476,44D104,DXB,HKG,0
1527868401,23.4201,78.2361,41000,97,476,44D104,DXB,HKG,0
1527868461,23.4026,78.379,40975,97,477,44D104,DXB,HKG,0
1527868522,23.3848,78.5229,40975,97,477,44D104,DXB,HKG,0
1527868580,23.3679,78.6586,41000,97,477,44D104,DXB,HKG,0
1527868647,23.348,78.8172,41000,97,476,44D104,DXB,HKG,0
1527868706,23.33,78.9595,41000,97,478,44D104,DXB,HKG,0
1527868763,23.3126,79.0952,40975,97,476,44D104,DXB,HKG,0
1527868824,23.2941,79.2396,40975,97,477,44D104,DXB,HKG,0
1527868892,23.2735,79.3983,41000,98,476,44D104,DXB,HKG,0
1527868954,23.2539,79.5484,40975,98,478,44D104,DXB,HKG,0
1527869011,23.2361,79.6842,40975,98,477,44D104,DXB,HKG,0
1527869066,23.2454,79.7969,40975,84,477,44D104,DXB,HKG,0
1527869126,23.2571,79.9188,40975,84,477,44D104,DXB,HKG,0
1527869194,23.1827,80.1184,40975,93,478,44D104,DXB,HKG,0
1527869257,23.1754,80.2686,41000,92,480,44D104,DXB,HKG,0
1527869319,23.1681,80.4159,40975,93,479,44D104,DXB,HKG,0
1527869376,23.1608,80.5539,40975,93,478,44D104,DXB,HKG,0
1527869440,23.1526,80.7076,41000,93,477,44D104,DXB,HKG,0
1527869501,23.1447,80.8522,40975,93,477,44D104,DXB,HKG,0
1527869562,23.1366,80.9996,41000,93,478,44D104,DXB,HKG,0
1527869623,23.1283,81.1468,40975,93,480,44D104,DXB,HKG,0
1527869686,23.1197,81.2971,40975,93,479,44D104,DXB,HKG,0
1527869747,23.1114,81.4417,41000,93,477,44D104,DXB,HKG,0
1527869810,23.1026,81.5904,41000,93,479,44D104,DXB,HKG,0
1527869874,23.0933,81.7458,41000,93,477,44D104,DXB,HKG,0
1527869933,23.0845,81.8895,40975,93,478,44D104,DXB,HKG,0
1527869996,23.0756,82.0331,40975,93,478,44D104,DXB,HKG,0
1527870058,23.0661,82.1859,40975,93,477,44D104,DXB,HKG,0
1527870118,23.0602,82.331,41000,92,479,44D104,DXB,HKG,0
1527870179,23.0541,82.4756,41000,92,480,44D104,DXB,HKG,0
1527870236,23.0478,82.6137,40975,92,481,44D104,DXB,HKG,0
1527870289,23.042,82.738,41000,92,483,44D104,DXB,HKG,0
1527870356,23.0531,82.8758,41000,85,483,44D104,DXB,HKG,0
1527870423,23.0265,83.067,40975,92,485,44D104,DXB,HKG,0
1527870461,23.0221,83.157,40975,93,486,44D104,DXB,HKG,0
1527870536,23.0129,83.3415,40975,93,488,44D104,DXB,HKG,0
1527870583,23.0073,83.4525,40975,93,488,44D104,DXB,HKG,0
1527870715,23.0292,83.7267,40975,85,488,44D104,DXB,HKG,0
1527870787,22.9812,83.9526,41000,93,486,44D104,DXB,HKG,0
1527870843,22.9737,84.0909,40975,93,485,44D104,DXB,HKG,0
1527870889,22.9813,84.1858,40975,85,485,44D104,DXB,HKG,0
1527870973,22.9518,84.3997,40975,94,481,44D104,DXB,HKG,0
1527871037,22.9404,84.5547,40975,94,482,44D104,DXB,HKG,0
1527871096,22.93,84.6954,40975,94,484,44D104,DXB,HKG,0
1527871159,22.9185,84.849,41000,94,482,44D104,DXB,HKG,0
1527871227,22.9154,85.0032,41000,85,481,44D104,DXB,HKG,0
1527871288,22.9254,85.128,41000,85,481,44D104,DXB,HKG,0
1527871339,22.8851,85.2812,41000,94,475,44D104,DXB,HKG,0
1527871401,22.8737,85.4288,40975,94,475,44D104,DXB,HKG,0
1527871468,22.8612,85.587,41000,94,479,44D104,DXB,HKG,0
1527871532,22.849,85.7396,40975,94,482,44D104,DXB,HKG,0
1527871586,22.8383,85.8713,40975,94,485,44D104,DXB,HKG,0
1527871653,22.8251,86.0322,40975,95,486,44D104,DXB,HKG,0
1527871711,22.8134,86.1736,41000,95,488,44D104,DXB,HKG,0
1527871779,22.8123,86.3287,40975,85,489,44D104,DXB,HKG,0
1527871837,22.7969,86.4842,41000,93,489,44D104,DXB,HKG,0
1527871897,22.789,86.6237,40975,93,489,44D104,DXB,HKG,0
1527871912,22.7866,86.6669,41000,93,489,44D104,DXB,HKG,0
1527872020,22.7715,86.926,41000,93,488,44D104,DXB,HKG,0
1527872080,22.7629,87.0742,40975,93,486,44D104,DXB,HKG,0
1527872139,22.7542,87.2201,41000,93,483,44D104,DXB,HKG,0
1527872202,22.7455,87.3655,40975,93,482,44D104,DXB,HKG,0
1527872236,22.7402,87.4529,40975,93,482,44D104,DXB,HKG,0
1527872380,22.7187,87.797,41000,93,480,44D104,DXB,HKG,0
1527872435,22.7277,87.9092,41000,85,480,44D104,DXB,HKG,0
1527872503,22.6999,88.0884,40975,94,484,44D104,DXB,HKG,0
1527872568,22.6894,88.2495,40975,94,483,44D104,DXB,HKG,0
1527872633,22.6789,88.4043,41000,94,486,44D104,DXB,HKG,0
1527872693,22.6603,88.5499,40975,100,489,44D104,DXB,HKG,0
1527872750,22.6365,88.6876,40975,100,493,44D104,DXB,HKG,0
1527872800,22.616,88.8098,41000,100,495,44D104,DXB,HKG,0
1527872875,22.5877,88.9957,41000,97,498,44D104,DXB,HKG,0
1527872933,22.5752,89.1396,41000,93,499,44D104,DXB,HKG,0
1527872999,22.5674,89.3016,40975,92,500,44D104,DXB,HKG,0
1527873064,22.5608,89.4655,40975,92,501,44D104,DXB,HKG,0
1527873124,22.5546,89.6152,40975,92,503,44D104,DXB,HKG,0
1527873185,22.5479,89.7667,40975,92,499,44D104,DXB,HKG,0
1527873249,22.5405,89.9288,40975,92,498,44D104,DXB,HKG,0
1527873310,22.5335,90.0784,41000,92,496,44D104,DXB,HKG,0
1527873369,22.5264,90.225,41000,93,493,44D104,DXB,HKG,0
1527873428,22.5196,90.3668,41000,93,491,44D104,DXB,HKG,0
1527873471,22.5142,90.4744,40975,93,490,44D104,DXB,HKG,0
1527873547,22.5049,90.6586,40975,93,488,44D104,DXB,HKG,0
1527873616,22.4962,90.8282,40975,93,486,44D104,DXB,HKG,0
1527873677,22.4885,90.9746,40975,93,486,44D104,DXB,HKG,0
1527873728,22.4819,91.0978,40975,93,486,44D104,DXB,HKG,0
1527873802,22.4724,91.2756,41000,93,486,44D104,DXB,HKG,0
1527873863,22.4642,91.4231,40975,93,486,44D104,DXB,HKG,0
1527873921,22.456,91.5672,41000,93,485,44D104,DXB,HKG,0
1527873964,22.45,91.6719,40975,93,485,44D104,DXB,HKG,0
1527874043,22.4392,91.8577,40975,93,484,44D104,DXB,HKG,0
1527874091,22.4322,91.9755,40975,93,484,44D104,DXB,HKG,0
1527874167,22.4423,92.1316,40975,86,484,44D104,DXB,HKG,0
1527874223,22.4129,92.2945,41000,93,483,44D104,DXB,HKG,0
1527874283,22.4039,92.4404,41000,93,486,44D104,DXB,HKG,0
1527874346,22.3943,92.5925,40975,93,489,44D104,DXB,HKG,0
1527874400,22.387,92.725,40975,90,490,44D104,DXB,HKG,0
1527874465,22.4022,92.8832,40975,81,492,44D104,DXB,HKG,0
1527874536,22.4256,93.053,40975,81,490,44D104,DXB,HKG,0
1527874593,22.4368,93.1736,40975,86,488,44D104,DXB,HKG,0
1527874635,22.469,93.2897,41000,78,485,44D104,DXB,HKG,0
1527874692,22.4931,93.4236,40975,79,483,44D104,DXB,HKG,0
1527874781,22.5309,93.6371,41000,79,484,44D104,DXB,HKG,0
1527874821,22.5476,93.7316,40975,79,486,44D104,DXB,HKG,0
1527874890,22.577,93.898,41000,79,487,44D104,DXB,HKG,0
1527874967,22.6091,94.0821,41000,79,488,44D104,DXB,HKG,0
1527875034,22.637,94.2424,41000,79,489,44D104,DXB,HKG,0
1527875095,22.6625,94.3896,40975,79,488,44D104,DXB,HKG,0
1527875153,22.6863,94.5279,40975,79,486,44D104,DXB,HKG,0
1527875221,22.7137,94.6882,41000,79,485,44D104,DXB,HKG,0
1527875263,22.731,94.7898,40975,79,484,44D104,DXB,HKG,0
1527875345,22.7643,94.9862,41000,79,483,44D104,DXB,HKG,0
1527875400,22.7743,95.1045,41000,87,483,44D104,DXB,HKG,0
1527875463,22.8113,95.2667,41000,79,490,44D104,DXB,HKG,0
1527875521,22.835,95.4097,41000,79,506,44D104,DXB,HKG,0
1527875583,22.8603,95.5624,41000,79,508,44D104,DXB,HKG,0
1527875644,22.8854,95.7156,40975,79,509,44D104,DXB,HKG,0
1527875707,22.9114,95.8747,40975,80,510,44D104,DXB,HKG,0
1527875767,22.9362,96.028,41000,80,511,44D104,DXB,HKG,0
1527875831,22.9621,96.1885,40975,80,511,44D104,DXB,HKG,0
1527875882,22.9829,96.3182,41000,80,513,44D104,DXB,HKG,0
1527875953,23.0111,96.4962,40975,80,512,44D104,DXB,HKG,0
1527876011,23.0341,96.6415,40975,80,510,44D104,DXB,HKG,0
1527876080,23.0617,96.8174,41000,80,510,44D104,DXB,HKG,0
1527876135,23.0833,96.9562,40975,80,510,44D104,DXB,HKG,0
1527876192,23.1058,97.1011,41000,80,509,44D104,DXB,HKG,0
1527876257,23.1304,97.2614,41000,80,509,44D104,DXB,HKG,0
1527876320,23.1548,97.4202,41000,80,508,44D104,DXB,HKG,0
1527876385,23.18,97.5868,40975,80,507,44D104,DXB,HKG,0
1527876447,23.203,97.7396,40975,80,504,44D104,DXB,HKG,0
1527876507,23.2256,97.8902,40975,80,504,44D104,DXB,HKG,0
1527876566,23.2479,98.0404,41000,80,506,44D104,DXB,HKG,0
1527876634,23.2727,98.2089,41000,80,510,44D104,DXB,HKG,0
1527876691,23.294,98.3541,40975,80,512,44D104,DXB,HKG,0
1527876755,23.3177,98.5169,41000,81,513,44D104,DXB,HKG,0
1527876816,23.3398,98.6701,40975,81,511,44D104,DXB,HKG,0
1527876875,23.3616,98.8225,40975,81,508,44D104,DXB,HKG,0
1527876937,23.3757,98.9681,40975,91,506,44D104,DXB,HKG,0
1527876997,23.3736,99.0982,40975,91,506,44D104,DXB,HKG,0
1527877057,23.3715,99.2282,40975,91,506,44D104,DXB,HKG,0
1527877117,23.3694,99.3583,40975,91,506,44D104,DXB,HKG,0
1527877177,23.3674,99.4883,40975,91,506,44D104,DXB,HKG,0
1527877237,23.365,99.6321,40975,91,506,44D104,DXB,HKG,0
1527877292,23.6269,99.7822,40975,60,486,44D104,DXB,HKG,0
1527877365,23.7049,99.9325,41075,60,485,44D104,DXB,HKG,0
1527877427,23.7752,100.0684,41100,60,487,44D104,DXB,HKG,0
1527877489,23.8438,100.2015,41075,60,487,44D104,DXB,HKG,0
1527877544,23.9044,100.3193,41075,60,487,44D104,DXB,HKG,0
1527877612,23.9792,100.4651,41075,60,487,44D104,DXB,HKG,0
1527877675,24.0488,100.6013,41100,60,487,44D104,DXB,HKG,0
1527877737,24.1153,100.7337,41075,61,486,44D104,DXB,HKG,0
1527877795,24.1785,100.8601,41075,61,485,44D104,DXB,HKG,0
1527877855,24.2434,100.9902,41100,61,485,44D104,DXB,HKG,0
1527877919,24.3099,101.1236,41075,61,487,44D104,DXB,HKG,0
1527877981,24.3789,101.2625,41075,61,489,44D104,DXB,HKG,0
1527878040,24.4417,101.3894,41100,61,491,44D104,DXB,HKG,0
1527878100,24.5073,101.5223,41075,61,493,44D104,DXB,HKG,0
1527878160,24.5722,101.6545,41075,62,492,44D104,DXB,HKG,0
1527878219,24.6345,101.7835,41075,62,492,44D104,DXB,HKG,0
1527878281,24.6834,101.9307,41075,87,494,44D104,DXB,HKG,0
1527878345,24.6366,102.0789,41100,123,496,44D104,DXB,HKG,0
1527878403,24.5892,102.2136,41100,101,497,44D104,DXB,HKG,0
1527878464,24.5714,102.366,41100,95,497,44D104,DXB,HKG,0
1527878533,24.5577,102.5404,41075,94,494,44D104,DXB,HKG,0
1527878594,24.5457,102.692,41075,95,492,44D104,DXB,HKG,0
1527878655,24.5334,102.8438,41100,95,491,44D104,DXB,HKG,0
1527878715,24.5212,102.994,41100,95,490,44D104,DXB,HKG,0
1527878779,24.5082,103.1509,41100,95,490,44D104,DXB,HKG,0
1527878833,24.4975,103.2794,41100,95,490,44D104,DXB,HKG,0
1527878904,24.4822,103.4596,41075,95,491,44D104,DXB,HKG,0
1527878963,24.4696,103.607,41075,95,491,44D104,DXB,HKG,0
1527879025,24.4522,103.7584,41100,100,493,44D104,DXB,HKG,0
1527879078,24.4338,103.8717,41100,100,493,44D104,DXB,HKG,0
1527879138,24.4131,103.9975,41100,101,493,44D104,DXB,HKG,0
1527879198,24.3909,104.1229,41100,101,493,44D104,DXB,HKG,0
1527879270,24.3643,104.2733,41100,101,493,44D104,DXB,HKG,0
1527879330,24.3413,104.4031,41100,101,493,44D104,DXB,HKG,0
1527879390,24.3152,104.5505,41100,101,493,44D104,DXB,HKG,0
1527879450,24.2891,104.6979,41100,101,493,44D104,DXB,HKG,0
1527879510,24.2629,104.8452,41100,101,493,44D104,DXB,HKG,0
1527879573,24.2355,104.9999,41100,101,493,44D104,DXB,HKG,0
1527879633,24.2094,105.1472,41100,101,493,44D104,DXB,HKG,0
1527879693,24.1832,105.2945,41100,101,493,44D104,DXB,HKG,0
1527879754,24.1567,105.4442,41100,101,493,44D104,DXB,HKG,0
1527879815,24.1301,105.5939,41100,101,493,44D104,DXB,HKG,0
1527879865,24.0298,105.8031,41075,103,495,44D104,DXB,HKG,0
1527879939,24.0023,105.9578,41075,101,495,44D104,DXB,HKG,0
1527879999,23.98,106.0833,41075,101,495,44D104,DXB,HKG,0
1527880059,23.9577,106.2088,41075,101,495,44D104,DXB,HKG,0
1527880119,23.9354,106.3343,41075,101,495,44D104,DXB,HKG,0
1527880184,23.8557,106.5774,41100,103,495,44D104,DXB,HKG,0
1527880246,23.8384,106.7338,41075,92,498,44D104,DXB,HKG,0
1527880308,23.8312,106.8874,41100,92,497,44D104,DXB,HKG,0
1527880369,23.8246,107.0388,41075,92,492,44D104,DXB,HKG,0
1527880433,23.8177,107.1975,41100,92,489,44D104,DXB,HKG,0
1527880491,23.8114,107.34,41075,92,488,44D104,DXB,HKG,0
1527880551,23.8048,107.4844,41075,92,486,44D104,DXB,HKG,0
1527880607,23.7981,107.6256,41100,93,484,44D104,DXB,HKG,0
1527880674,23.7903,107.789,41075,93,485,44D104,DXB,HKG,0
1527880739,23.7825,107.9454,41100,93,486,44D104,DXB,HKG,0
1527880796,23.7755,108.0852,41100,93,487,44D104,DXB,HKG,0
1527880857,23.7675,108.2365,41075,93,488,44D104,DXB,HKG,0
1527880920,23.7585,108.393,41075,93,489,44D104,DXB,HKG,0
1527880981,23.7497,108.5425,41075,93,491,44D104,DXB,HKG,0
1527881039,23.7414,108.6846,41075,93,493,44D104,DXB,HKG,0
1527881097,23.7328,108.8281,41100,93,495,44D104,DXB,HKG,0
1527881166,23.7223,109.0013,41075,93,497,44D104,DXB,HKG,0
1527881227,23.7096,109.1542,41075,98,497,44D104,DXB,HKG,0
1527881285,23.6829,109.2949,41075,102,498,44D104,DXB,HKG,0
1527881351,23.6493,109.4575,41100,102,497,44D104,DXB,HKG,0
1527881417,23.6171,109.6147,41100,102,495,44D104,DXB,HKG,0
1527881477,23.5868,109.7626,41075,102,495,44D104,DXB,HKG,0
1527881539,23.5519,109.9027,41100,107,496,44D104,DXB,HKG,0
1527881599,23.5177,110.0248,41100,107,496,44D104,DXB,HKG,0
1527881659,23.4928,110.1935,39225,108,495,44D104,DXB,HKG,0
1527881717,23.4658,110.3456,37775,102,495,44D104,DXB,HKG,0
1527881787,23.4304,110.5173,36725,102,493,44D104,DXB,HKG,0
1527881845,23.402,110.6549,35725,102,489,44D104,DXB,HKG,0
1527881904,23.3728,110.7952,34525,102,476,44D104,DXB,HKG,0
1527881969,23.3413,110.9452,33225,102,464,44D104,DXB,HKG,0
1527882029,23.3128,111.0811,32025,102,458,44D104,DXB,HKG,0
1527882099,23.2809,111.2342,31075,102,443,44D104,DXB,HKG,0
1527882153,23.2557,111.356,31075,102,468,44D104,DXB,HKG,0
1527882219,23.2239,111.5086,31075,102,471,44D104,DXB,HKG,0
1527882277,23.1961,111.6411,31075,102,471,44D104,DXB,HKG,0
1527882340,23.1653,111.7875,31075,102,470,44D104,DXB,HKG,0
1527882400,23.1364,111.9258,31075,102,470,44D104,DXB,HKG,0
1527882461,23.1076,112.0645,31075,102,470,44D104,DXB,HKG,0
1527882521,23.0779,112.2031,31075,106,469,44D104,DXB,HKG,0
1527882581,23.0085,112.3213,31075,130,470,44D104,DXB,HKG,0
1527882642,22.9212,112.4277,31075,131,468,44D104,DXB,HKG,0
1527882704,22.82,112.527,31100,149,469,44D104,DXB,HKG,0
1527882766,22.7057,112.5978,30175,148,477,44D104,DXB,HKG,0
1527882825,22.5999,112.6848,28775,137,475,44D104,DXB,HKG,0
1527882896,22.4846,112.7924,27350,133,469,44D104,DXB,HKG,0
1527882949,22.4118,112.891,25725,124,462,44D104,DXB,HKG,0
1527883013,22.3369,113.0085,23600,124,440,44D104,DXB,HKG,0
1527883076,22.2643,113.1218,21500,124,430,44D104,DXB,HKG,0
1527883136,22.1968,113.2267,19475,124,412,44D104,DXB,HKG,0
1527883200,22.1396,113.3405,19000,109,412,44D104,DXB,HKG,0
1527883262,22.1043,113.4589,18525,107,407,44D104,DXB,HKG,0
1527883304,22.0885,113.5421,17425,90,400,44D104,DXB,HKG,0
1527883384,22.0924,113.6933,12925,87,368,44D104,DXB,HKG,0
1527883436,22.0973,113.7917,8825,89,388,44D104,DXB,HKG,0
1527883504,22.0449,113.897,6850,149,353,44D104,DXB,HKG,0
1527883567,21.9538,113.8784,4975,229,333,44D104,DXB,HKG,0
1527883632,21.9521,113.7854,4025,309,298,44D104,DXB,HKG,0
1527883696,22.0226,113.7554,3700,352,246,44D104,DXB,HKG,0
1527883757,22.0905,113.7462,3075,352,245,44D104,DXB,HKG,0
1527883813,22.1547,113.7372,2850,351,234,44D104,DXB,HKG,0
1527883864,22.2047,113.7361,2200,24,189,44D104,DXB,HKG,0
1527883937,22.2558,113.7716,2075,60,184,44D104,DXB,HKG,0
1527883996,22.2717,113.8227,1575,68,174,44D104,DXB,HKG,0
1527884056,22.286,113.8663,800,71,136,44D104,DXB,HKG,0
1527884117,22.2977,113.9026,150,71,124,44D104,DXB,HKG,0
1527884189,22.301,113.9157,0,165,30,44D104,DXB,HKG,0
1527884250,22.3009,113.9181,0,70,17,44D104,DXB,HKG,0
1527884309,22.3011,113.9204,0,160,12,44D104,DXB,HKG,0
1527884370,22.3003,113.9207,0,163,26,44D104,DXB,HKG,0
