timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner
1527856573,18.0705,118.312,30000,317,429,758531,MNL,HKG,0
1527856633,18.1576,118.2265,30000,317,429,758531,MNL,HKG,0
1527856694,18.2461,118.1396,30000,317,429,758531,MNL,HKG,0
1527856754,18.3332,118.0541,30000,317,429,758531,MNL,HKG,0
1527856802,18.4029,117.9856,30000,317,429,758531,MNL,HKG,0
1527856879,18.5146,117.8757,30000,317,429,758531,MNL,HKG,0
1527856945,18.6104,117.7814,30000,317,429,758531,MNL,HKG,0
1527857006,18.699,117.6943,30000,317,429,758531,MNL,HKG,0
1527857066,18.7861,117.6085,30000,317,429,758531,MNL,HKG,0
1527857126,18.8732,117.5227,30000,317,429,758531,MNL,HKG,0
1527857186,18.9602,117.4369,30000,317,429,758531,MNL,HKG,0
1527857246,19.0473,117.351,30000,317,429,758531,MNL,HKG,0
1527857306,19.1333,117.2637,30000,316,429,758531,MNL,HKG,0
1527857366,19.2189,117.1761,30000,316,429,758531,MNL,HKG,0
1527857426,19.3046,117.0885,30000,316,429,758531,MNL,HKG,0
1527857486,19.3903,117.0008,30000,316,429,758531,MNL,HKG,0
1527857546,19.4759,116.9131,30000,316,429,758531,MNL,HKG,0
1527857606,19.5616,116.8253,30000,316,429,758531,MNL,HKG,0
1527857666,19.6472,116.7375,30000,316,429,758531,MNL,HKG,0
1527857730,19.9268,116.7575,30000,313,448,758531,MNL,HKG,0
1527857802,20.0066,116.6174,30000,291,450,758531,MNL,HKG,0
1527857858,20.0703,116.5322,30000,314,450,758531,MNL,HKG,0
1527857914,20.1039,116.4109,30025,314,449,758531,MNL,HKG,0
1527857974,20.1775,116.3298,30025,314,449,758531,MNL,HKG,0
1527858018,20.2323,116.2073,30000,306,449,758531,MNL,HKG,0
1527858103,20.3375,116.0542,29975,306,451,758531,MNL,HKG,0
1527858162,20.4071,115.9669,29800,316,448,758531,MNL,HKG,0
1527858222,20.4817,115.8642,29025,316,440,758531,MNL,HKG,0
1527858279,20.5463,115.7493,26125,305,413,758531,MNL,HKG,0
1527858342,20.6212,115.6747,26125,317,413,758531,MNL,HKG,0
1527858402,20.6748,115.5804,26000,317,368,758531,MNL,HKG,0
1527858469,20.738,115.4682,24950,305,349,758531,MNL,HKG,0
1527858529,20.7933,115.3868,23925,305,336,758531,MNL,HKG,0
1527858592,20.8505,115.3024,22900,305,333,758531,MNL,HKG,0
1527858659,20.9096,115.215,21775,305,323,758531,MNL,HKG,0
1527858724,20.9678,115.1292,20625,305,332,758531,MNL,HKG,0
1527858788,21.0138,115.0393,19600,278,328,758531,MNL,HKG,0
1527858850,21.0248,114.9382,18825,276,322,758531,MNL,HKG,0
1527858909,21.0355,114.8449,18025,277,323,758531,MNL,HKG,0
1527858971,21.0489,114.7495,17175,289,315,758531,MNL,HKG,0
1527859025,21.1088,114.7027,16475,359,312,758531,MNL,HKG,0
1527859088,21.1773,114.7566,15725,46,299,758531,MNL,HKG,0
1527859147,21.2343,114.8202,14925,46,294,758531,MNL,HKG,0
1527859208,21.2944,114.8786,14075,23,290,758531,MNL,HKG,0
1527859277,21.363,114.8264,13225,296,291,758531,MNL,HKG,0
1527859339,21.3994,114.7476,13000,296,289,758531,MNL,HKG,0
1527859387,21.4285,114.6845,13000,296,291,758531,MNL,HKG,0
1527859445,21.4622,114.6113,13000,296,289,758531,MNL,HKG,0
1527859519,21.5022,114.5127,13000,287,288,758531,MNL,HKG,0
1527859584,21.5281,114.4265,13000,287,287,758531,MNL,HKG,0
1527859643,21.5529,114.3447,13000,288,288,758531,MNL,HKG,0
1527859703,21.5779,114.2633,12575,287,285,758531,MNL,HKG,0
1527859768,21.6044,114.1772,11500,288,280,758531,MNL,HKG,0
1527859828,21.6292,114.0962,10475,287,274,758531,MNL,HKG,0
1527859890,21.6518,114.018,9450,286,269,758531,MNL,HKG,0
1527859949,21.6727,113.9413,8475,286,268,758531,MNL,HKG,0
1527860010,21.7294,113.9042,8100,356,261,758531,MNL,HKG,0
1527860073,21.8048,113.8996,8100,356,258,758531,MNL,HKG,0
1527860133,21.8779,113.8911,8075,341,262,758531,MNL,HKG,0
1527860192,21.9448,113.8602,7025,336,263,758531,MNL,HKG,0
1527860252,22.009,113.83,5750,336,258,758531,MNL,HKG,0
1527860312,22.0765,113.8013,4275,341,258,758531,MNL,HKG,0
1527860377,22.1517,113.7741,3075,340,244,758531,MNL,HKG,0
1527860436,22.2094,113.7523,2550,340,206,758531,MNL,HKG,0
1527860502,22.2621,113.7688,2075,33,185,758531,MNL,HKG,0
1527860561,22.2834,113.8126,1625,70,163,758531,MNL,HKG,0
1527860620,22.296,113.8517,925,70,135,758531,MNL,HKG,0
1527860681,22.3082,113.8897,250,70,124,758531,MNL,HKG,0
1527860742,22.3165,113.9159,0,84,31,758531,MNL,HKG,0
1527860807,22.3152,113.9186,0,157,19,758531,MNL,HKG,0
1527860862,22.3137,113.9184,0,230,17,758531,MNL,HKG,0
1527860921,22.3128,113.9179,0,250,11,758531,MNL,HKG,0
1527860921,22.3128,113.9179,0,250,11,758531,MNL,HKG,0
