timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner
1527815168,36.6184,135.8756,35950,240,417,A757A7,ANC,HKG,0
1527815229,36.5621,135.7546,35950,239,417,A757A7,ANC,HKG,0
1527815300,36.4918,135.6041,35950,239,415,A757A7,ANC,HKG,0
1527815350,36.4437,135.5016,35950,239,414,A757A7,ANC,HKG,0
1527815415,36.3802,135.3669,35950,239,415,A757A7,ANC,HKG,0
1527815475,36.3221,135.244,35975,239,415,A757A7,ANC,HKG,0
1527815538,36.2612,135.1155,35950,239,414,A757A7,ANC,HKG,0
1527815596,36.2044,134.9963,35950,239,414,A757A7,ANC,HKG,0
1527815660,36.145,134.8719,35950,239,415,A757A7,ANC,HKG,0
1527815719,36.0877,134.7524,35950,239,416,A757A7,ANC,HKG,0
1527815781,36.024,134.6203,35950,239,417,A757A7,ANC,HKG,0
1527815843,35.9627,134.4937,35950,239,416,A757A7,ANC,HKG,0
1527815904,35.9034,134.3713,35950,239,417,A757A7,ANC,HKG,0
1527815966,35.8406,134.2422,35975,239,417,A757A7,ANC,HKG,0
1527816018,35.7893,134.1373,35975,239,417,A757A7,ANC,HKG,0
1527816090,35.717,133.9899,35975,239,418,A757A7,ANC,HKG,0
1527816151,35.6577,133.8695,35950,239,417,A757A7,ANC,HKG,0
1527816208,35.6019,133.7566,35975,239,416,A757A7,ANC,HKG,0
1527816275,35.5336,133.6188,35975,238,416,A757A7,ANC,HKG,0
1527816335,35.473,133.4971,35975,238,416,A757A7,ANC,HKG,0
1527816399,35.4087,133.3683,35975,238,418,A757A7,ANC,HKG,0
1527816458,35.3482,133.2476,35975,238,419,A757A7,ANC,HKG,0
1527816522,35.2834,133.1189,35950,238,420,A757A7,ANC,HKG,0
1527816576,35.2304,133.014,35950,238,420,A757A7,ANC,HKG,0
1527816646,35.1589,132.8729,35950,238,418,A757A7,ANC,HKG,0
1527816699,35.1027,132.7622,35950,239,413,A757A7,ANC,HKG,0
1527816764,35.0364,132.6324,35950,239,412,A757A7,ANC,HKG,0
1527816824,34.9754,132.5132,35950,239,413,A757A7,ANC,HKG,0
1527816884,34.9138,132.3933,35975,239,413,A757A7,ANC,HKG,0
1527816944,34.8526,132.2747,35975,237,419,A757A7,ANC,HKG,0
1527817004,34.7903,132.1541,35975,237,420,A757A7,ANC,HKG,0
1527817069,34.7228,132.0243,35950,237,422,A757A7,ANC,HKG,0
1527817129,34.6601,131.9041,35975,237,423,A757A7,ANC,HKG,0
1527817189,34.5972,131.7838,35975,237,423,A757A7,ANC,HKG,0
1527817254,34.5295,131.6548,35950,237,424,A757A7,ANC,HKG,0
1527817313,34.4709,131.5435,35950,238,424,A757A7,ANC,HKG,0
1527817379,34.3975,131.4047,35950,237,425,A757A7,ANC,HKG,0
1527817439,34.3343,131.2854,35975,237,426,A757A7,ANC,HKG,0
1527817494,34.2744,131.1729,35975,237,426,A757A7,ANC,HKG,0
1527817559,34.2055,131.0444,35950,236,427,A757A7,ANC,HKG,0
1527817620,34.1265,130.9372,35975,225,430,A757A7,ANC,HKG,0
