timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner
1527811194,23.9773,108.6202,35100,97,477,80071E,DEL,HKG,0
1527811254,23.9591,108.7653,35100,101,478,80071E,DEL,HKG,0
1527811318,23.9302,108.9144,35100,102,483,80071E,DEL,HKG,0
1527811381,23.8995,109.0675,35100,102,486,80071E,DEL,HKG,0
1527811438,23.8673,109.2042,35100,105,486,80071E,DEL,HKG,0
1527811499,23.831,109.3469,35100,105,485,80071E,DEL,HKG,0
1527811563,23.7917,109.4966,35100,106,486,80071E,DEL,HKG,0
1527811626,23.7518,109.647,35100,105,485,80071E,DEL,HKG,0
1527811684,23.7169,109.769,35100,109,484,80071E,DEL,HKG,0
1527811744,23.6797,109.8869,35100,109,484,80071E,DEL,HKG,0
1527811932,23.5612,110.3199,35100,110,487,80071E,DEL,HKG,0
1527812004,23.5141,110.4613,35100,110,487,80071E,DEL,HKG,0
1527812067,23.4778,110.6771,35100,106,480,80071E,DEL,HKG,0
1527812129,23.4399,110.8175,35100,106,478,80071E,DEL,HKG,0
1527812188,23.4024,110.9555,35100,106,481,80071E,DEL,HKG,0
1527812248,23.3619,111.0818,35100,111,482,80071E,DEL,HKG,0
1527812303,23.3334,111.2287,35100,102,488,80071E,DEL,HKG,0
1527812373,23.2995,111.3915,34400,102,488,80071E,DEL,HKG,0
1527812431,23.2699,111.5334,33725,102,482,80071E,DEL,HKG,0
1527812492,23.2397,111.6776,33025,102,486,80071E,DEL,HKG,0
1527812551,23.2101,111.8179,32350,102,482,80071E,DEL,HKG,0
1527812612,23.1802,111.9617,31650,102,472,80071E,DEL,HKG,0
1527812672,23.1524,112.0948,31100,102,463,80071E,DEL,HKG,0
1527812735,23.1216,112.2419,30825,102,467,80071E,DEL,HKG,0
1527812795,23.0925,112.3803,30250,102,468,80071E,DEL,HKG,0
1527812854,23.0487,112.5068,29700,119,478,80071E,DEL,HKG,0
1527812915,22.9803,112.6402,29075,118,479,80071E,DEL,HKG,0
1527812976,22.9146,112.7682,28500,118,483,80071E,DEL,HKG,0
