timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner
1527861038,25.0726,121.233,0,320,2,899072,TPE,HKG,0
1527861083,25.0729,121.2327,0,315,9,899072,TPE,HKG,0
1527861152,25.0728,121.2322,0,230,2,899072,TPE,HKG,0
1527861152,25.0728,121.2322,0,230,2,899072,TPE,HKG,0
1527861391,25.0721,121.2318,0,188,19,899072,TPE,HKG,0
1527861441,25.0708,121.2315,0,230,23,899072,TPE,HKG,0
1527861530,25.0682,121.2282,0,227,28,899072,TPE,HKG,0
1527861566,25.0668,121.2264,0,227,32,899072,TPE,HKG,0
1527861662,25.0628,121.2225,0,185,24,899072,TPE,HKG,0
1527861721,25.0618,121.2227,0,89,0,899072,TPE,HKG,0
1527861776,25.0618,121.2227,0,76,0,899072,TPE,HKG,0
1527861837,25.0618,121.2227,0,76,0,899072,TPE,HKG,0
1527861899,25.0617,121.2229,0,140,14,899072,TPE,HKG,0
1527861966,25.0613,121.224,0,50,9,899072,TPE,HKG,0
1527862023,25.0815,121.2495,800,48,163,899072,TPE,HKG,0
1527862081,25.1123,121.2893,2200,50,203,899072,TPE,HKG,0
1527862144,25.1638,121.3108,2650,2,220,899072,TPE,HKG,0
1527862208,25.2134,121.2293,4125,310,264,899072,TPE,HKG,0
1527862270,25.265,121.1633,6175,310,265,899072,TPE,HKG,0
1527862333,25.2586,121.0857,7900,227,306,899072,TPE,HKG,0
1527862394,25.2005,121.0144,10075,226,315,899072,TPE,HKG,0
1527862453,25.1358,120.9445,12125,224,326,899072,TPE,HKG,0
1527862514,25.0689,120.8724,13950,224,340,899072,TPE,HKG,0
1527862580,24.995,120.7929,15750,224,353,899072,TPE,HKG,0
1527862637,24.9256,120.7187,17325,224,363,899072,TPE,HKG,0
1527862699,24.8535,120.6411,19275,224,359,899072,TPE,HKG,0
1527862756,24.7819,120.5647,20650,224,367,899072,TPE,HKG,0
1527862820,24.7267,120.4752,21350,250,369,899072,TPE,HKG,0
1527862882,24.6278,120.3939,23375,226,380,899072,TPE,HKG,0
1527862941,24.5561,120.313,24225,225,392,899072,TPE,HKG,0
1527863001,24.478,120.225,25175,225,401,899072,TPE,HKG,0
1527863068,24.392,120.1283,26500,225,404,899072,TPE,HKG,0
1527863123,24.318,120.0454,27125,225,420,899072,TPE,HKG,0
1527863192,24.2228,119.9388,27725,225,444,899072,TPE,HKG,0
1527863251,24.1354,119.8412,28600,225,453,899072,TPE,HKG,0
1527863309,24.0508,119.7471,29600,225,456,899072,TPE,HKG,0
1527863374,23.9517,119.6367,30600,225,461,899072,TPE,HKG,0
1527863433,23.8628,119.5382,31500,225,464,899072,TPE,HKG,0
1527863493,23.7745,119.4401,32525,225,462,899072,TPE,HKG,0
1527863557,23.68,119.3358,33650,225,458,899072,TPE,HKG,0
