timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner
1527838815,40.069,116.6055,0,180,0,780BFB,PEK,HKG,0
1527838875,40.0689,116.6055,0,264,2,780BFB,PEK,HKG,0
1527838935,40.0687,116.6031,0,264,27,780BFB,PEK,HKG,0
1527838999,40.0708,116.6012,0,351,33,780BFB,PEK,HKG,0
1527839054,40.0756,116.6005,0,351,22,780BFB,PEK,HKG,0
1527839114,40.0809,116.5997,0,354,16,780BFB,PEK,HKG,0
1527839180,40.0865,116.5988,0,354,16,780BFB,PEK,HKG,0
1527839240,40.0899,116.5976,0,267,23,780BFB,PEK,HKG,0
1527839296,40.0888,116.5949,0,180,17,780BFB,PEK,HKG,0
1527839373,40.0552,116.6005,950,172,168,780BFB,PEK,HKG,0
1527839429,40.0115,116.6078,2700,171,175,780BFB,PEK,HKG,0
1527839490,39.9615,116.6112,3850,182,198,780BFB,PEK,HKG,0
1527839552,39.8985,116.6089,4975,181,255,780BFB,PEK,HKG,0
1527839618,39.8157,116.6052,7325,182,271,780BFB,PEK,HKG,0
1527839678,39.7396,116.602,9450,182,281,780BFB,PEK,HKG,0
1527839736,39.6615,116.583,11300,218,297,780BFB,PEK,HKG,0
1527839800,39.6475,116.4744,13100,273,318,780BFB,PEK,HKG,0
1527839860,39.6522,116.3535,14275,272,355,780BFB,PEK,HKG,0
1527839920,39.6573,116.219,14800,272,381,780BFB,PEK,HKG,0
1527839979,39.6623,116.0826,14800,272,381,780BFB,PEK,HKG,0
1527840040,39.669,115.9456,15600,276,381,780BFB,PEK,HKG,0
1527840103,39.6813,115.8014,17475,276,390,780BFB,PEK,HKG,0
1527840163,39.693,115.6618,19175,276,397,780BFB,PEK,HKG,0
1527840227,39.7326,115.516,20950,288,403,780BFB,PEK,HKG,0
1527840285,39.7085,115.3818,22250,227,419,780BFB,PEK,HKG,0
1527840346,39.6267,115.2672,23250,228,436,780BFB,PEK,HKG,0
1527840409,39.5451,115.1429,24675,218,439,780BFB,PEK,HKG,0
1527840469,39.4593,115.0339,25675,226,445,780BFB,PEK,HKG,0
1527840532,39.3732,114.915,26850,226,447,780BFB,PEK,HKG,0
1527840591,39.289,114.7988,27600,226,454,780BFB,PEK,HKG,0
1527840650,39.2013,114.6791,27600,224,457,780BFB,PEK,HKG,0
1527840717,39.0759,114.6125,27600,181,474,780BFB,PEK,HKG,0
1527840778,38.9416,114.6264,27600,175,478,780BFB,PEK,HKG,0
1527840836,38.8084,114.6411,27600,175,477,780BFB,PEK,HKG,0
1527840893,38.6846,114.6546,27600,175,475,780BFB,PEK,HKG,0
1527840959,38.5426,114.6699,27600,175,479,780BFB,PEK,HKG,0
1527841019,38.4042,114.6849,27600,175,478,780BFB,PEK,HKG,0
1527841085,38.2592,114.7005,27600,175,481,780BFB,PEK,HKG,0
1527841143,38.1322,114.7157,27600,174,475,780BFB,PEK,HKG,0
1527841204,37.9968,114.7318,27600,174,478,780BFB,PEK,HKG,0
1527841267,37.863,114.7475,27600,174,475,780BFB,PEK,HKG,0
1527841331,37.7223,114.7638,27600,174,471,780BFB,PEK,HKG,0
1527841379,37.6137,114.7766,27600,174,472,780BFB,PEK,HKG,0
1527841448,37.4635,114.7941,27600,174,470,780BFB,PEK,HKG,0
1527841516,37.3332,114.7949,27600,184,472,780BFB,PEK,HKG,0
1527841575,37.1902,114.824,27600,175,473,780BFB,PEK,HKG,0
1527841637,37.0566,114.8376,27600,175,469,780BFB,PEK,HKG,0
1527841694,36.9272,114.8508,27600,175,468,780BFB,PEK,HKG,0
1527841755,36.796,114.8663,27600,174,469,780BFB,PEK,HKG,0
1527841815,36.6674,114.8815,27600,174,466,780BFB,PEK,HKG,0
1527841881,36.5311,114.8973,27600,174,465,780BFB,PEK,HKG,0
1527841942,36.3999,114.9123,27600,175,464,780BFB,PEK,HKG,0
1527842002,36.2717,114.9077,27600,184,460,780BFB,PEK,HKG,0
1527842061,36.1425,114.8948,27600,184,461,780BFB,PEK,HKG,0
1527842126,36.0047,114.8812,27600,184,458,780BFB,PEK,HKG,0
