timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner
1527813461,22.5732,120.3428,0,258,9,8990F0,KHH,HKG,0
1527813527,22.5736,120.3432,0,191,2,8990F0,KHH,HKG,0
1527813586,22.574,120.3435,0,261,2,8990F0,KHH,HKG,0
1527813644,22.574,120.3435,0,277,0,8990F0,KHH,HKG,0
1527813709,22.574,120.3435,0,180,0,8990F0,KHH,HKG,0
1527813769,22.574,120.3435,0,180,0,8990F0,KHH,HKG,0
1527813830,22.574,120.3435,0,180,0,8990F0,KHH,HKG,0
1527813890,22.574,120.3435,0,180,0,8990F0,KHH,HKG,0
1527813950,22.574,120.3425,0,272,21,8990F0,KHH,HKG,0
1527814003,22.5741,120.3399,0,272,25,8990F0,KHH,HKG,0
1527814078,22.5746,120.3365,0,317,21,8990F0,KHH,HKG,0
1527814139,22.576,120.3351,0,323,12,8990F0,KHH,HKG,0
1527814200,22.5764,120.335,0,245,0,8990F0,KHH,HKG,0
1527814255,22.5764,120.335,0,64,0,8990F0,KHH,HKG,0
1527814320,22.5764,120.335,0,321,0,8990F0,KHH,HKG,0
1527814379,22.5764,120.335,0,140,0,8990F0,KHH,HKG,0
1527814445,22.5775,120.3355,0,92,0,8990F0,KHH,HKG,0
1527814502,22.5773,120.3423,100,92,105,8990F0,KHH,HKG,0
1527814564,22.5724,120.3887,1525,134,166,8990F0,KHH,HKG,0
1527814630,22.5195,120.3668,3225,212,221,8990F0,KHH,HKG,0
1527814686,22.4781,120.3155,5125,236,261,8990F0,KHH,HKG,0
1527814747,22.4345,120.2438,7175,236,294,8990F0,KHH,HKG,0
1527814807,22.3883,120.1681,9700,236,300,8990F0,KHH,HKG,0
1527814869,22.3437,120.0955,11925,236,300,8990F0,KHH,HKG,0
1527814927,22.2963,120.0185,14175,236,308,8990F0,KHH,HKG,0
1527814994,22.2441,119.9332,16575,236,327,8990F0,KHH,HKG,0
1527815051,22.1939,119.852,18575,236,341,8990F0,KHH,HKG,0
1527815097,22.1528,119.7849,20175,236,350,8990F0,KHH,HKG,0
1527815168,22.091,119.6801,22375,248,363,8990F0,KHH,HKG,0
1527815214,22.0873,119.5974,23675,277,367,8990F0,KHH,HKG,0
1527815297,22.1063,119.4429,25725,277,385,8990F0,KHH,HKG,0
1527815348,22.115,119.3515,26325,274,388,8990F0,KHH,HKG,0
1527815407,22.1325,119.2304,28550,277,393,8990F0,KHH,HKG,0
1527815470,22.1476,119.1054,29700,277,406,8990F0,KHH,HKG,0
1527815541,22.1644,118.9658,31075,277,411,8990F0,KHH,HKG,0
1527815603,22.1798,118.8357,32125,277,419,8990F0,KHH,HKG,0
1527815662,22.1942,118.7156,33000,277,425,8990F0,KHH,HKG,0
1527815723,22.21,118.5829,33850,277,433,8990F0,KHH,HKG,0
1527815783,22.2249,118.4541,34000,276,450,8990F0,KHH,HKG,0
1527815836,22.2381,118.3396,34000,277,441,8990F0,KHH,HKG,0
1527815909,22.2562,118.1818,34000,276,437,8990F0,KHH,HKG,0
1527815970,22.271,118.0503,34000,276,441,8990F0,KHH,HKG,0
1527816025,22.2852,117.9247,34000,277,449,8990F0,KHH,HKG,0
1527816084,22.2925,117.8064,34000,272,448,8990F0,KHH,HKG,0
1527816150,22.3167,117.6496,34000,276,449,8990F0,KHH,HKG,0
1527816195,22.3284,117.5462,34000,276,451,8990F0,KHH,HKG,0
1527816258,22.3315,117.4059,34000,268,458,8990F0,KHH,HKG,0
1527816337,22.3284,117.223,34000,268,458,8990F0,KHH,HKG,0
1527816395,22.3258,117.0902,34000,268,457,8990F0,KHH,HKG,0
1527816460,22.3248,116.9517,34000,271,459,8990F0,KHH,HKG,0
1527816524,22.3227,116.8104,33575,271,459,8990F0,KHH,HKG,0
1527816584,22.3246,116.6933,33575,271,459,8990F0,KHH,HKG,0
1527816644,22.3264,116.5762,33575,271,459,8990F0,KHH,HKG,0
1527816704,22.3283,116.4591,33575,271,459,8990F0,KHH,HKG,0
1527816764,22.3287,116.3421,33575,270,459,8990F0,KHH,HKG,0
1527816818,22.3047,116.1583,29375,268,408,8990F0,KHH,HKG,0
1527816886,22.3012,116.0222,28000,268,392,8990F0,KHH,HKG,0
1527816944,22.2983,115.9112,26875,268,388,8990F0,KHH,HKG,0
1527817005,22.2951,115.7934,26000,268,383,8990F0,KHH,HKG,0
1527817070,22.2919,115.6704,26000,268,384,8990F0,KHH,HKG,0
1527817127,22.289,115.5597,24900,268,383,8990F0,KHH,HKG,0
1527817190,22.2857,115.443,22050,268,360,8990F0,KHH,HKG,0
1527817254,22.2827,115.3342,19650,268,330,8990F0,KHH,HKG,0
1527817319,22.3216,115.2441,18725,316,304,8990F0,KHH,HKG,0
1527817379,22.3844,115.1812,17775,316,304,8990F0,KHH,HKG,0
1527817439,22.4457,115.1191,16825,317,300,8990F0,KHH,HKG,0
1527817481,22.4767,115.0687,16175,276,301,8990F0,KHH,HKG,0
1527817561,22.4044,114.9911,15150,205,301,8990F0,KHH,HKG,0
1527817622,22.3257,114.9515,14475,204,297,8990F0,KHH,HKG,0
1527817683,22.2709,114.8896,13900,254,291,8990F0,KHH,HKG,0
1527817743,22.2658,114.8045,13400,267,290,8990F0,KHH,HKG,0
1527817803,22.2502,114.7188,12875,247,285,8990F0,KHH,HKG,0
1527817867,22.2192,114.637,12000,247,279,8990F0,KHH,HKG,0
1527817906,22.2124,114.5838,11350,267,279,8990F0,KHH,HKG,0
1527817974,22.21,114.4925,10225,268,264,8990F0,KHH,HKG,0
1527818047,22.2675,114.4242,8900,321,262,8990F0,KHH,HKG,0
1527818110,22.3088,114.3567,7575,300,257,8990F0,KHH,HKG,0
1527818171,22.345,114.2886,6375,299,256,8990F0,KHH,HKG,0
1527818230,22.377,114.2288,5525,299,210,8990F0,KHH,HKG,0
1527818290,22.3993,114.1722,4625,260,209,8990F0,KHH,HKG,0
1527818350,22.3805,114.115,3400,251,199,8990F0,KHH,HKG,0
1527818410,22.363,114.0599,2400,250,177,8990F0,KHH,HKG,0
1527818480,22.3453,114.0047,1425,250,150,8990F0,KHH,HKG,0
1527818540,22.3324,113.9646,750,250,138,8990F0,KHH,HKG,0
1527818597,22.3207,113.9284,100,250,134,8990F0,KHH,HKG,0
1527818657,22.314,113.9104,0,219,31,8990F0,KHH,HKG,0
1527818714,22.3136,113.912,0,70,29,8990F0,KHH,HKG,0
1527818778,22.3151,113.9165,0,70,16,8990F0,KHH,HKG,0
1527818844,22.3139,113.9191,0,160,30,8990F0,KHH,HKG,0
1527818889,22.3113,113.9201,0,160,29,8990F0,KHH,HKG,0
1527818966,22.3069,113.9217,0,157,23,8990F0,KHH,HKG,0
1527819017,22.3074,113.924,0,70,28,8990F0,KHH,HKG,0
1527819086,22.3089,113.9275,0,25,24,8990F0,KHH,HKG,0
1527819131,22.3107,113.9284,0,25,21,8990F0,KHH,HKG,0
1527819185,22.3112,113.9294,0,137,14,8990F0,KHH,HKG,0
