timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner
1527811193,33.1511,104.2551,39100,202,472,4D0116,LUX,HKG,0
1527811248,33.0428,104.2567,39075,154,479,4D0116,LUX,HKG,0
1527811311,32.8745,104.2358,39100,177,495,4D0116,LUX,HKG,0
1527811382,32.7235,104.2438,39100,177,497,4D0116,LUX,HKG,0
1527811432,32.5956,104.2503,39100,177,496,4D0116,LUX,HKG,0
1527811495,32.4602,104.2571,39100,177,495,4D0116,LUX,HKG,0
1527811556,32.3127,104.2645,39100,177,492,4D0116,LUX,HKG,0
1527811625,32.1622,104.2719,39075,177,490,4D0116,LUX,HKG,0
1527811679,32.0304,104.2784,39075,177,485,4D0116,LUX,HKG,0
1527811743,31.8987,104.2848,39100,177,483,4D0116,LUX,HKG,0
1527811939,31.4692,104.3058,39100,177,483,4D0116,LUX,HKG,0
1527812001,31.3212,104.313,39075,177,482,4D0116,LUX,HKG,0
1527812067,31.1829,104.3195,39100,177,482,4D0116,LUX,HKG,0
1527812125,31.044,104.3249,39100,178,484,4D0116,LUX,HKG,0
1527812187,30.9127,104.3303,39100,177,483,4D0116,LUX,HKG,0
1527812243,30.7827,104.363,39100,161,497,4D0116,LUX,HKG,0
1527812309,30.6459,104.4155,39100,161,499,4D0116,LUX,HKG,0
1527812367,30.5103,104.4675,39100,161,497,4D0116,LUX,HKG,0
1527812433,30.3737,104.5193,39100,161,496,4D0116,LUX,HKG,0
1527812480,30.2606,104.5622,39100,161,497,4D0116,LUX,HKG,0
1527812550,30.1173,104.6163,39075,161,496,4D0116,LUX,HKG,0
1527812608,29.9819,104.6688,39075,161,497,4D0116,LUX,HKG,0
1527812671,29.855,104.7184,39100,161,498,4D0116,LUX,HKG,0
1527812731,29.7103,104.7745,39100,161,499,4D0116,LUX,HKG,0
1527812794,29.5817,104.8242,39075,161,500,4D0116,LUX,HKG,0
1527812848,29.4535,104.8735,39100,161,502,4D0116,LUX,HKG,0
1527812908,29.3455,104.9513,39100,129,502,4D0116,LUX,HKG,0
1527812973,29.1886,104.9751,39075,161,504,4D0116,LUX,HKG,0
1527813045,29.0304,105.0356,39075,161,505,4D0116,LUX,HKG,0
1527813092,28.9572,105.1033,39100,127,505,4D0116,LUX,HKG,0
1527813164,28.7826,105.1518,39100,141,507,4D0116,LUX,HKG,0
1527813222,28.6335,105.1863,39100,161,507,4D0116,LUX,HKG,0
1527813283,28.4991,105.2372,39075,161,508,4D0116,LUX,HKG,0
1527813344,28.3661,105.2873,39100,161,509,4D0116,LUX,HKG,0
1527813404,28.2297,105.3386,39100,161,510,4D0116,LUX,HKG,0
