timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner
1527813463,19.1439,73.0572,39000,71,486,040101,ADD,HKG,0
1527813512,19.1784,73.1671,38975,71,485,040101,ADD,HKG,0
1527813588,19.231,73.335,38975,71,483,040101,ADD,HKG,0
1527813646,19.2732,73.4706,39000,71,485,040101,ADD,HKG,0
1527813706,19.3156,73.6064,38975,71,486,040101,ADD,HKG,0
1527813771,19.3597,73.7487,39350,71,483,040101,ADD,HKG,0
1527813830,19.4019,73.8847,40100,71,487,040101,ADD,HKG,0
1527813891,19.4441,74.0216,40800,72,489,040101,ADD,HKG,0
1527813950,19.4851,74.1547,40975,72,488,040101,ADD,HKG,0
1527814011,19.5284,74.2957,41000,72,487,040101,ADD,HKG,0
1527814077,19.5735,74.4437,41000,72,486,040101,ADD,HKG,0
1527814139,19.6161,74.5834,40975,72,488,040101,ADD,HKG,0
1527814199,19.6576,74.7217,40975,72,491,040101,ADD,HKG,0
1527814259,19.6983,74.8577,41000,72,489,040101,ADD,HKG,0
1527814320,19.7393,74.9947,40975,72,484,040101,ADD,HKG,0
1527814383,19.782,75.1381,41000,72,486,040101,ADD,HKG,0
1527814437,19.8185,75.2612,40975,72,486,040101,ADD,HKG,0
1527814502,19.8641,75.4112,41000,70,484,040101,ADD,HKG,0
1527814560,19.909,75.5373,40975,69,484,040101,ADD,HKG,0
1527814619,19.9574,75.6715,41000,69,486,040101,ADD,HKG,0
1527814686,20.011,75.8205,40975,69,487,040101,ADD,HKG,0
1527814747,20.0601,75.9575,41000,69,489,040101,ADD,HKG,0
1527814805,20.1071,76.0887,40975,69,487,040101,ADD,HKG,0
1527814867,20.1559,76.2253,40975,69,487,040101,ADD,HKG,0
1527814928,20.2042,76.361,41000,69,487,040101,ADD,HKG,0
1527814989,20.253,76.4984,40975,69,489,040101,ADD,HKG,0
1527815049,20.3018,76.6365,41000,69,490,040101,ADD,HKG,0
1527815110,20.3496,76.772,41000,69,489,040101,ADD,HKG,0
1527815170,20.3947,76.9088,41000,72,491,040101,ADD,HKG,0
1527815231,20.436,77.0474,40975,72,487,040101,ADD,HKG,0
1527815297,20.4811,77.1979,41000,72,488,040101,ADD,HKG,0
1527815353,20.52,77.3269,41000,72,489,040101,ADD,HKG,0
1527815416,20.541,77.4543,41000,80,489,040101,ADD,HKG,0
1527815475,20.6084,77.6041,40975,70,487,040101,ADD,HKG,0
1527815539,20.6562,77.7498,41000,71,485,040101,ADD,HKG,0
1527815603,20.7031,77.8938,41000,70,486,040101,ADD,HKG,0
1527815663,20.7487,78.0322,41000,70,484,040101,ADD,HKG,0
1527815721,20.7913,78.1615,41000,70,484,040101,ADD,HKG,0
1527815783,20.8367,78.3009,40975,70,486,040101,ADD,HKG,0
1527815844,20.8818,78.439,40975,70,484,040101,ADD,HKG,0
1527815908,20.929,78.5843,41000,71,485,040101,ADD,HKG,0
1527815966,20.9716,78.7158,41000,70,483,040101,ADD,HKG,0
1527816028,21.0163,78.8539,41000,70,483,040101,ADD,HKG,0
1527816091,21.0629,78.9987,40975,70,484,040101,ADD,HKG,0
1527816149,21.1026,79.1301,41000,73,483,040101,ADD,HKG,0
1527816213,21.1428,79.2767,40975,73,485,040101,ADD,HKG,0
1527816275,21.1819,79.418,40975,73,485,040101,ADD,HKG,0
1527816338,21.2226,79.5655,41000,73,487,040101,ADD,HKG,0
1527816398,21.2612,79.7055,41000,73,489,040101,ADD,HKG,0
1527816461,21.3005,79.8485,41000,73,488,040101,ADD,HKG,0
1527816519,21.3373,79.9833,40975,73,489,040101,ADD,HKG,0
1527816581,21.3777,80.1315,41000,73,491,040101,ADD,HKG,0
1527816642,21.416,80.2727,40975,73,490,040101,ADD,HKG,0
