timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner
1527813947,18.0404,107.1837,36975,57,439,88085A,DMK,HKG,0
1527814002,18.1008,107.283,37025,57,444,88085A,DMK,HKG,0
1527814076,18.1825,107.4176,37050,57,448,88085A,DMK,HKG,0
1527814138,18.252,107.5325,37000,57,442,88085A,DMK,HKG,0
1527814180,18.2975,107.6083,37000,58,445,88085A,DMK,HKG,0
1527814256,18.3757,107.7216,37000,54,445,88085A,DMK,HKG,0
1527814316,18.4374,107.8112,37000,54,445,88085A,DMK,HKG,0
1527814376,18.4991,107.9007,37000,54,445,88085A,DMK,HKG,0
1527814436,18.5608,107.9903,37000,54,445,88085A,DMK,HKG,0
1527814496,18.6265,108.0865,37000,55,445,88085A,DMK,HKG,0
1527814556,18.6974,108.1933,37000,55,445,88085A,DMK,HKG,0
1527814625,18.8362,108.394,37100,50,453,88085A,DMK,HKG,0
1527814688,18.9082,108.4952,37100,55,453,88085A,DMK,HKG,0
1527814744,18.9942,108.5969,37100,50,457,88085A,DMK,HKG,0
1527814806,19.078,108.7047,37150,50,464,88085A,DMK,HKG,0
1527814867,19.1589,108.8089,37100,50,453,88085A,DMK,HKG,0
1527814927,19.2405,108.9142,37100,50,456,88085A,DMK,HKG,0
1527814988,19.3212,109.0186,37100,50,457,88085A,DMK,HKG,0
1527815052,19.4072,109.1301,37075,50,457,88085A,DMK,HKG,0
1527815110,19.4846,109.2305,37100,50,456,88085A,DMK,HKG,0
1527815168,19.5528,109.3269,37100,56,456,88085A,DMK,HKG,0
1527815228,19.6422,109.4379,37100,51,455,88085A,DMK,HKG,0
1527815300,19.7363,109.5618,37100,51,454,88085A,DMK,HKG,0
1527815355,19.8087,109.6575,37100,51,454,88085A,DMK,HKG,0
1527815419,19.892,109.7676,37075,51,453,88085A,DMK,HKG,0
1527815465,19.9525,109.8477,37100,51,453,88085A,DMK,HKG,0
1527815538,20.048,109.9746,37150,51,450,88085A,DMK,HKG,0
1527815604,20.1338,110.0885,37125,51,447,88085A,DMK,HKG,0
1527815660,20.2057,110.1845,37075,51,446,88085A,DMK,HKG,0
1527815723,20.287,110.2926,37075,51,445,88085A,DMK,HKG,0
1527815784,20.3631,110.398,37125,58,442,88085A,DMK,HKG,0
1527815843,20.4162,110.5153,37125,64,439,88085A,DMK,HKG,0
1527815906,20.469,110.6356,37075,65,436,88085A,DMK,HKG,0
1527815966,20.5208,110.7543,37075,65,436,88085A,DMK,HKG,0
1527816026,20.5717,110.8711,37050,65,437,88085A,DMK,HKG,0
1527816088,20.6249,110.9934,37100,65,440,88085A,DMK,HKG,0
1527816139,20.6677,111.0923,37150,65,441,88085A,DMK,HKG,0
1527816213,20.7312,111.2389,37125,65,441,88085A,DMK,HKG,0
1527816262,20.773,111.3357,37100,65,440,88085A,DMK,HKG,0
1527816321,20.823,111.4517,37100,65,439,88085A,DMK,HKG,0
1527816400,20.8818,111.6127,37100,70,439,88085A,DMK,HKG,0
1527816457,20.9207,111.728,37100,70,439,88085A,DMK,HKG,0
1527816522,20.9652,111.8603,36325,70,441,88085A,DMK,HKG,0
1527816584,21.0077,111.9867,35325,70,441,88085A,DMK,HKG,0
1527816645,21.0497,112.1124,34325,70,447,88085A,DMK,HKG,0
1527816702,21.0898,112.2326,33425,70,447,88085A,DMK,HKG,0
1527816766,21.1335,112.3638,32400,70,452,88085A,DMK,HKG,0
1527816826,21.1772,112.4951,31400,70,461,88085A,DMK,HKG,0
1527816888,21.2219,112.6303,30250,70,473,88085A,DMK,HKG,0
1527816947,21.2651,112.7617,28150,70,481,88085A,DMK,HKG,0
1527817008,21.3095,112.8966,26925,70,458,88085A,DMK,HKG,0
1527817070,21.3532,113.0297,25900,70,452,88085A,DMK,HKG,0
1527817131,21.3943,113.1556,23675,70,437,88085A,DMK,HKG,0
1527817192,21.4335,113.2756,21425,70,425,88085A,DMK,HKG,0
1527817254,21.4732,113.3981,20325,70,390,88085A,DMK,HKG,0
1527817316,21.5071,113.5027,19500,70,343,88085A,DMK,HKG,0
1527817373,21.5388,113.5862,18775,52,305,88085A,DMK,HKG,0
1527817439,21.6014,113.6539,18050,44,289,88085A,DMK,HKG,0
1527817495,21.653,113.7098,17075,49,278,88085A,DMK,HKG,0
1527817561,21.6333,113.7816,16150,159,276,88085A,DMK,HKG,0
1527817622,21.5662,113.7425,15675,225,276,88085A,DMK,HKG,0
1527817683,21.5124,113.6834,15200,225,279,88085A,DMK,HKG,0
1527817730,21.4789,113.6296,15000,263,280,88085A,DMK,HKG,0
1527817785,21.5223,113.5832,15000,359,288,88085A,DMK,HKG,0
1527817868,21.6096,113.6593,15000,43,290,88085A,DMK,HKG,0
1527817925,21.6658,113.7167,15000,43,292,88085A,DMK,HKG,0
1527817986,21.7248,113.7773,15000,43,291,88085A,DMK,HKG,0
1527818046,21.7891,113.8297,15000,29,290,88085A,DMK,HKG,0
1527818112,21.8666,113.8758,15000,28,291,88085A,DMK,HKG,0
1527818172,21.9382,113.9184,15000,29,291,88085A,DMK,HKG,0
1527818232,22.0088,113.9605,15000,29,291,88085A,DMK,HKG,0
1527818289,22.0712,114.0073,14075,55,293,88085A,DMK,HKG,0
1527818350,22.0981,114.0904,13300,71,284,88085A,DMK,HKG,0
1527818411,22.14,114.161,11200,47,281,88085A,DMK,HKG,0
1527818480,22.2007,114.2308,8900,46,275,88085A,DMK,HKG,0
1527818539,22.2682,114.2584,7200,6,260,88085A,DMK,HKG,0
1527818600,22.3325,114.2651,6375,5,249,88085A,DMK,HKG,0
1527818656,22.3877,114.2451,5125,334,205,88085A,DMK,HKG,0
1527818701,22.405,114.2064,4650,286,204,88085A,DMK,HKG,0
1527818783,22.3841,114.1257,3650,251,196,88085A,DMK,HKG,0
1527818839,22.3682,114.076,2750,250,176,88085A,DMK,HKG,0
1527818902,22.3516,114.0243,1825,250,166,88085A,DMK,HKG,0
1527818966,22.3368,113.9782,1000,251,144,88085A,DMK,HKG,0
1527819026,22.3239,113.9381,300,250,138,88085A,DMK,HKG,0
1527819070,22.3161,113.9142,0,250,60,88085A,DMK,HKG,0
1527819145,22.3137,113.9122,0,70,15,88085A,DMK,HKG,0
1527819194,22.3131,113.9146,0,160,34,88085A,DMK,HKG,0
1527819243,22.3102,113.9157,0,157,20,88085A,DMK,HKG,0
