timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner
1527831285,37.5043,126.3594,3075,279,201,AC10D8,ICN,HKG,0
1527831339,37.506,126.2758,4775,271,265,AC10D8,ICN,HKG,0
1527831409,37.4918,126.1778,7650,220,287,AC10D8,ICN,HKG,0
1527831461,37.4225,126.1466,9875,181,302,AC10D8,ICN,HKG,0
1527831531,37.3477,126.2233,11525,130,363,AC10D8,ICN,HKG,0
1527831582,37.2824,126.3175,14200,131,396,AC10D8,ICN,HKG,0
1527831648,37.2033,126.426,17375,139,421,AC10D8,ICN,HKG,0
1527831709,37.0847,126.4949,20375,159,447,AC10D8,ICN,HKG,0
1527831771,36.9654,126.5404,22900,165,466,AC10D8,ICN,HKG,0
1527831840,36.8264,126.5861,25525,165,483,AC10D8,ICN,HKG,0
1527831893,36.7085,126.6247,27500,165,496,AC10D8,ICN,HKG,0
1527831959,36.5604,126.6747,29725,164,503,AC10D8,ICN,HKG,0
1527832019,36.4219,126.7213,32275,164,496,AC10D8,ICN,HKG,0
1527832079,36.2887,126.7661,34025,164,496,AC10D8,ICN,HKG,0
1527832139,36.1579,126.8051,34000,172,488,AC10D8,ICN,HKG,0
1527832204,36.0148,126.7974,34000,185,488,AC10D8,ICN,HKG,0
1527832259,35.8782,126.7825,34000,185,488,AC10D8,ICN,HKG,0
1527832321,35.7389,126.7673,34000,184,498,AC10D8,ICN,HKG,0
1527832381,35.5995,126.7525,34000,184,497,AC10D8,ICN,HKG,0
1527832447,35.4469,126.7362,34000,184,492,AC10D8,ICN,HKG,0
1527832507,35.3116,126.7216,34000,184,491,AC10D8,ICN,HKG,0
1527832565,35.1806,126.7077,34000,184,492,AC10D8,ICN,HKG,0
1527832627,35.0402,126.6928,34000,184,493,AC10D8,ICN,HKG,0
1527832688,34.9023,126.6781,34000,184,492,AC10D8,ICN,HKG,0
1527832752,34.7574,126.6628,34000,184,494,AC10D8,ICN,HKG,0
1527832810,34.6227,126.6487,34000,184,499,AC10D8,ICN,HKG,0
1527832867,34.4887,126.6347,34000,184,502,AC10D8,ICN,HKG,0
1527832931,34.3423,126.6194,34000,184,502,AC10D8,ICN,HKG,0
1527832995,34.1954,126.604,34000,184,503,AC10D8,ICN,HKG,0
1527833057,34.046,126.5886,34000,184,502,AC10D8,ICN,HKG,0
1527833112,33.9311,126.5776,34000,184,503,AC10D8,ICN,HKG,0
1527833172,33.8128,126.5677,34000,184,503,AC10D8,ICN,HKG,0
1527833238,33.6465,126.4827,34000,200,490,AC10D8,ICN,HKG,0
