timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner
1527831892,18.0006,114.7648,38000,350,450,8A05AD,DPS,HKG,0
1527831952,18.1236,114.742,38000,350,450,8A05AD,DPS,HKG,0
1527832012,18.2466,114.7191,38000,350,450,8A05AD,DPS,HKG,0
1527832084,18.3942,114.6917,38000,350,450,8A05AD,DPS,HKG,0
1527832144,18.5172,114.6688,38000,350,450,8A05AD,DPS,HKG,0
1527832204,18.6402,114.646,38000,350,450,8A05AD,DPS,HKG,0
1527832264,18.7633,114.6231,38000,350,450,8A05AD,DPS,HKG,0
1527832324,18.8863,114.6001,38000,350,450,8A05AD,DPS,HKG,0
1527832384,19.0093,114.5772,38000,350,450,8A05AD,DPS,HKG,0
1527832444,19.1323,114.5542,38000,350,450,8A05AD,DPS,HKG,0
1527832508,18.7795,115.73,38000,335,418,8A05AD,DPS,HKG,0
1527832568,18.8688,115.686,38000,335,418,8A05AD,DPS,HKG,0
1527832628,18.9582,115.6419,38000,335,418,8A05AD,DPS,HKG,0
1527832688,19.0476,115.5979,38000,335,418,8A05AD,DPS,HKG,0
1527832747,19.181,115.4668,38000,348,447,8A05AD,DPS,HKG,0
1527832808,19.2965,115.4299,38000,336,464,8A05AD,DPS,HKG,0
1527832868,19.4388,115.4097,38000,348,476,8A05AD,DPS,HKG,0
1527832925,19.5591,115.3829,37075,348,464,8A05AD,DPS,HKG,0
1527832976,19.6649,115.3594,35825,348,444,8A05AD,DPS,HKG,0
1527833058,19.8261,115.3235,33925,348,433,8A05AD,DPS,HKG,0
1527833115,19.9383,115.2984,31900,348,429,8A05AD,DPS,HKG,0
1527833172,20.0344,115.2632,31475,332,412,8A05AD,DPS,HKG,0
1527833232,20.1203,115.2146,31475,332,412,8A05AD,DPS,HKG,0
1527833291,20.2625,115.2258,28625,348,399,8A05AD,DPS,HKG,0
1527833360,20.3725,115.1868,27950,329,392,8A05AD,DPS,HKG,0
1527833420,20.4518,115.136,27950,329,392,8A05AD,DPS,HKG,0
1527833488,20.6096,115.1477,25975,347,394,8A05AD,DPS,HKG,0
1527833546,20.7202,115.1227,26000,348,448,8A05AD,DPS,HKG,0
1527833598,20.8286,115.0983,26000,348,449,8A05AD,DPS,HKG,0
1527833656,20.947,115.0715,26000,347,450,8A05AD,DPS,HKG,0
1527833733,21.0789,114.9913,24875,315,415,8A05AD,DPS,HKG,0
1527833790,21.1566,114.9091,22800,315,407,8A05AD,DPS,HKG,0
1527833852,21.2369,114.8242,21000,315,400,8A05AD,DPS,HKG,0
1527833910,21.3124,114.7442,19250,315,391,8A05AD,DPS,HKG,0
1527833979,21.4011,114.65,17175,315,381,8A05AD,DPS,HKG,0
1527834037,21.4711,114.5756,15550,315,374,8A05AD,DPS,HKG,0
1527834091,21.5537,114.5353,14525,342,319,8A05AD,DPS,HKG,0
1527834157,21.637,114.5068,13025,341,290,8A05AD,DPS,HKG,0
1527834221,21.7216,114.4773,11875,342,284,8A05AD,DPS,HKG,0
1527834282,21.7975,114.4509,11025,342,281,8A05AD,DPS,HKG,0
1527834344,21.8708,114.4253,10250,342,274,8A05AD,DPS,HKG,0
1527834400,21.9404,114.402,9475,347,271,8A05AD,DPS,HKG,0
1527834458,22.0105,114.3996,8725,358,270,8A05AD,DPS,HKG,0
1527834527,22.0999,114.3974,7550,358,265,8A05AD,DPS,HKG,0
1527834587,22.1733,114.3943,6550,357,263,8A05AD,DPS,HKG,0
1527834652,22.2491,114.39,6125,356,240,8A05AD,DPS,HKG,0
1527834712,22.3082,114.362,5475,318,242,8A05AD,DPS,HKG,0
1527834768,22.3518,114.3188,4875,312,206,8A05AD,DPS,HKG,0
1527834837,22.3807,114.2564,4625,287,205,8A05AD,DPS,HKG,0
1527834903,22.3984,114.1952,4625,286,203,8A05AD,DPS,HKG,0
1527834961,22.3873,114.1356,3925,251,209,8A05AD,DPS,HKG,0
1527835009,22.3715,114.0862,2925,251,214,8A05AD,DPS,HKG,0
1527835086,22.3502,114.0198,1775,250,172,8A05AD,DPS,HKG,0
1527835146,22.336,113.9758,1000,250,146,8A05AD,DPS,HKG,0
1527835207,22.3221,113.9326,225,251,148,8A05AD,DPS,HKG,0
1527835266,22.3135,113.907,0,230,27,8A05AD,DPS,HKG,0
1527835327,22.3125,113.9085,0,70,25,8A05AD,DPS,HKG,0
1527835364,22.3139,113.9128,0,70,23,8A05AD,DPS,HKG,0
1527835451,22.3169,113.922,0,70,21,8A05AD,DPS,HKG,0
1527835510,22.3188,113.928,0,70,20,8A05AD,DPS,HKG,0
1527835568,22.3191,113.931,0,149,20,8A05AD,DPS,HKG,0
1527835631,22.318,113.9321,0,78,18,8A05AD,DPS,HKG,0
1527835689,22.3182,113.9328,0,89,0,8A05AD,DPS,HKG,0
1527835689,22.3182,113.9328,0,89,0,8A05AD,DPS,HKG,0
