timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner
1527849907,31.2047,121.8132,2625,9,165,78009C,PVG,HKG,0
1527849970,31.2589,121.8244,3875,10,215,78009C,PVG,HKG,0
1527850031,31.3278,121.8387,5675,10,271,78009C,PVG,HKG,0
1527850092,31.3758,121.8978,8350,80,275,78009C,PVG,HKG,0
1527850151,31.3517,121.9764,10475,153,302,78009C,PVG,HKG,0
1527850210,31.2697,121.9957,12275,168,329,78009C,PVG,HKG,0
1527850272,31.1811,122.0527,13325,136,376,78009C,PVG,HKG,0
1527850336,31.0986,122.1428,15150,136,394,78009C,PVG,HKG,0
1527850398,31.012,122.2364,16900,136,408,78009C,PVG,HKG,0
1527850460,30.9058,122.2847,17700,162,417,78009C,PVG,HKG,0
1527850519,30.7928,122.3266,17800,162,421,78009C,PVG,HKG,0
1527850577,30.6812,122.3677,18950,162,437,78009C,PVG,HKG,0
1527850637,30.5617,122.3995,20250,181,440,78009C,PVG,HKG,0
1527850699,30.4355,122.3928,21675,182,445,78009C,PVG,HKG,0
1527850760,30.3083,122.3854,22900,182,455,78009C,PVG,HKG,0
1527850813,30.1993,122.3792,24225,182,455,78009C,PVG,HKG,0
1527850883,30.05,122.3705,25575,182,464,78009C,PVG,HKG,0
1527850947,29.9088,122.3705,26600,174,479,78009C,PVG,HKG,0
1527850998,29.799,122.3948,27400,168,488,78009C,PVG,HKG,0
1527851068,29.6517,122.408,27600,188,488,78009C,PVG,HKG,0
1527851132,29.5018,122.4189,28250,198,477,78009C,PVG,HKG,0
1527851192,29.3733,122.3814,29250,188,472,78009C,PVG,HKG,0
1527851250,29.2476,122.3701,30175,183,477,78009C,PVG,HKG,0
1527851308,29.1221,122.3499,31100,196,470,78009C,PVG,HKG,0
1527851371,29.0003,122.2872,32075,207,456,78009C,PVG,HKG,0
1527851434,28.8801,122.217,32100,207,454,78009C,PVG,HKG,0
1527851497,28.7664,122.1506,32100,207,454,78009C,PVG,HKG,0
1527851560,28.6658,122.071,32100,227,453,78009C,PVG,HKG,0
1527851622,28.5294,122.0126,32100,207,452,78009C,PVG,HKG,0
1527851685,28.4141,121.9458,32100,207,450,78009C,PVG,HKG,0
1527851747,28.2957,121.8773,32100,207,449,78009C,PVG,HKG,0
1527851806,28.1874,121.8147,32075,207,451,78009C,PVG,HKG,0
1527851866,28.0762,121.7506,32100,207,452,78009C,PVG,HKG,0
1527851928,27.961,121.6897,32125,204,455,78009C,PVG,HKG,0
1527851987,27.8434,121.629,32100,204,457,78009C,PVG,HKG,0
1527852051,27.7206,121.5657,32100,204,460,78009C,PVG,HKG,0
1527852112,27.6034,121.5056,32100,204,461,78009C,PVG,HKG,0
1527852171,27.4856,121.4453,32150,204,460,78009C,PVG,HKG,0
1527852235,27.3632,121.3828,32100,204,459,78009C,PVG,HKG,0
1527852295,27.2474,121.3238,32100,204,459,78009C,PVG,HKG,0
1527852354,27.1357,121.267,32075,204,460,78009C,PVG,HKG,0
1527852419,27.005,121.2007,32100,204,461,78009C,PVG,HKG,0
1527852468,26.9112,121.1533,32100,204,460,78009C,PVG,HKG,0
1527852537,26.7751,121.0846,32100,204,461,78009C,PVG,HKG,0
1527852592,26.6711,121.0243,32100,208,458,78009C,PVG,HKG,0
1527852657,26.5506,120.9518,32100,208,457,78009C,PVG,HKG,0
1527852714,26.4427,120.887,32100,208,459,78009C,PVG,HKG,0
1527852782,26.319,120.8129,32100,208,458,78009C,PVG,HKG,0
1527852843,26.2017,120.7428,32100,208,459,78009C,PVG,HKG,0
1527852904,26.0893,120.6757,32100,208,459,78009C,PVG,HKG,0
1527852963,25.9785,120.6058,32100,216,455,78009C,PVG,HKG,0
1527853027,25.901,120.4935,32100,235,446,78009C,PVG,HKG,0
1527853086,25.8122,120.3926,32100,218,455,78009C,PVG,HKG,0
1527853152,25.6957,120.316,32100,210,459,78009C,PVG,HKG,0
1527853213,25.5905,120.2333,32100,216,455,78009C,PVG,HKG,0
1527853270,25.4916,120.1513,32100,216,454,78009C,PVG,HKG,0
1527853331,25.3881,120.0656,32075,216,457,78009C,PVG,HKG,0
1527853395,25.2832,119.9791,32100,216,460,78009C,PVG,HKG,0
1527853458,25.1754,119.8903,32125,216,460,78009C,PVG,HKG,0
1527853515,25.0756,119.8042,32125,222,458,78009C,PVG,HKG,0
1527853576,24.9884,119.6996,32100,229,454,78009C,PVG,HKG,0
1527853640,24.9013,119.5882,32075,229,453,78009C,PVG,HKG,0
1527853700,24.8187,119.4831,32075,229,453,78009C,PVG,HKG,0
1527853759,24.737,119.3788,32075,229,454,78009C,PVG,HKG,0
1527853823,24.65,119.2679,31625,229,444,78009C,PVG,HKG,0
1527853882,24.5716,119.1688,30725,229,449,78009C,PVG,HKG,0
1527853943,24.4889,119.0642,30000,229,450,78009C,PVG,HKG,0
1527854005,24.4033,118.9563,30000,229,450,78009C,PVG,HKG,0
1527854067,24.3167,118.8471,30000,229,451,78009C,PVG,HKG,0
1527854113,24.254,118.7681,30025,229,452,78009C,PVG,HKG,0
1527854189,24.1523,118.6406,30025,229,453,78009C,PVG,HKG,0
1527854250,24.065,118.5314,30025,228,453,78009C,PVG,HKG,0
1527854313,24.0008,118.4249,30000,248,452,78009C,PVG,HKG,0
1527854377,23.9114,118.3145,29975,248,450,78009C,PVG,HKG,0
1527854425,23.8247,118.233,30000,228,451,78009C,PVG,HKG,0
1527854495,23.7275,118.1133,30000,228,452,78009C,PVG,HKG,0
1527854556,23.6422,118.0085,30000,228,452,78009C,PVG,HKG,0
1527854620,23.5531,117.8993,30000,228,452,78009C,PVG,HKG,0
1527854679,23.4724,117.8008,30000,228,454,78009C,PVG,HKG,0
1527854740,23.3852,117.6942,30000,228,454,78009C,PVG,HKG,0
1527854789,23.3143,117.6124,30000,225,457,78009C,PVG,HKG,0
1527854862,23.2017,117.4948,30000,224,458,78009C,PVG,HKG,0
1527854901,23.1441,117.4347,30000,224,458,78009C,PVG,HKG,0
1527854973,23.0339,117.3197,30000,224,458,78009C,PVG,HKG,0
1527855049,22.9938,117.1786,30000,258,458,78009C,PVG,HKG,0
1527855108,22.8249,117.1029,30000,223,461,78009C,PVG,HKG,0
1527855173,22.7736,116.9878,30000,262,461,78009C,PVG,HKG,0
1527855216,22.619,117.0128,30000,148,461,78009C,PVG,HKG,0
1527855286,22.4894,116.9712,30000,196,436,78009C,PVG,HKG,0
1527855352,22.3559,116.9282,30000,197,441,78009C,PVG,HKG,0
1527855413,22.2926,116.8519,30000,259,439,78009C,PVG,HKG,0
1527855473,22.2944,116.7399,30000,271,439,78009C,PVG,HKG,0
1527855534,22.248,116.5647,30000,274,472,78009C,PVG,HKG,0
1527855587,22.2563,116.4404,30000,274,474,78009C,PVG,HKG,0
1527855655,22.2667,116.2829,29650,273,473,78009C,PVG,HKG,0
1527855713,22.2757,116.1431,28700,273,466,78009C,PVG,HKG,0
1527855770,22.2839,116.0139,27700,273,460,78009C,PVG,HKG,0
1527855840,22.2941,115.8542,26550,273,450,78009C,PVG,HKG,0
1527855861,22.2953,115.8087,26200,270,450,78009C,PVG,HKG,0
1527855965,22.2985,115.6098,26200,271,450,78009C,PVG,HKG,0
1527856003,22.287,115.4935,23825,268,433,78009C,PVG,HKG,0
1527856084,22.2852,115.3297,22175,272,413,78009C,PVG,HKG,0
1527856139,22.2786,115.2085,19400,267,413,78009C,PVG,HKG,0
1527856200,22.275,115.089,18025,268,381,78009C,PVG,HKG,0
1527856267,22.271,114.9626,15900,268,368,78009C,PVG,HKG,0
1527856327,22.2674,114.8543,14200,267,355,78009C,PVG,HKG,0
1527856391,22.2639,114.7464,13075,268,324,78009C,PVG,HKG,0
1527856450,22.2609,114.6576,12725,267,285,78009C,PVG,HKG,0
1527856510,22.2579,114.573,11425,267,280,78009C,PVG,HKG,0
1527856573,22.2552,114.4893,11000,267,276,78009C,PVG,HKG,0
1527856616,22.2529,114.4268,11000,267,276,78009C,PVG,HKG,0
1527856696,22.2488,114.3164,11000,267,275,78009C,PVG,HKG,0
1527856758,22.2266,114.2373,11000,248,275,78009C,PVG,HKG,0
1527856807,22.2028,114.1738,11000,247,278,78009C,PVG,HKG,0
1527856879,22.172,114.0956,11000,247,278,78009C,PVG,HKG,0
1527856936,22.1439,114.0196,9650,247,275,78009C,PVG,HKG,0
1527856987,22.1165,113.9452,7550,247,267,78009C,PVG,HKG,0
1527857051,22.0916,113.8723,6375,265,247,78009C,PVG,HKG,0
