timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner
1527821712,34.4884,135.9499,35975,242,332,846B34,NRT,HKG,0
1527821769,34.4466,135.853,36000,242,335,846B34,NRT,HKG,0
1527821830,34.4023,135.7505,36000,242,337,846B34,NRT,HKG,0
1527821890,34.3606,135.6545,36000,242,336,846B34,NRT,HKG,0
1527821954,34.3135,135.5459,36025,242,337,846B34,NRT,HKG,0
1527822019,34.2654,135.4354,36025,242,338,846B34,NRT,HKG,0
1527822081,34.2213,135.3347,36000,242,337,846B34,NRT,HKG,0
1527822138,34.1797,135.2398,36000,243,332,846B34,NRT,HKG,0
1527822203,34.1319,135.1313,36000,243,332,846B34,NRT,HKG,0
1527822263,34.0875,135.0306,35975,243,334,846B34,NRT,HKG,0
1527822323,34.0437,134.9315,36000,242,340,846B34,NRT,HKG,0
1527822383,33.9986,134.8295,36025,242,341,846B34,NRT,HKG,0
1527822443,33.9552,134.7322,36025,241,341,846B34,NRT,HKG,0
1527822503,33.9095,134.6297,36000,241,342,846B34,NRT,HKG,0
1527822563,33.8647,134.5293,36000,241,341,846B34,NRT,HKG,0
1527822623,33.8197,134.4291,36000,241,341,846B34,NRT,HKG,0
1527822683,33.7754,134.3307,35975,241,339,846B34,NRT,HKG,0
1527822748,33.7265,134.2222,36000,241,338,846B34,NRT,HKG,0
1527822808,33.6841,134.1287,36000,241,339,846B34,NRT,HKG,0
1527822868,33.6372,134.0252,36000,241,342,846B34,NRT,HKG,0
1527822928,33.5906,133.9229,36000,242,344,846B34,NRT,HKG,0
1527822988,33.5454,133.8242,36225,242,344,846B34,NRT,HKG,0
1527823053,33.4943,133.7124,36875,242,347,846B34,NRT,HKG,0
1527823118,33.4431,133.601,37625,242,345,846B34,NRT,HKG,0
1527823173,33.401,133.5098,38000,242,345,846B34,NRT,HKG,0
1527823219,33.3639,133.4295,38000,241,345,846B34,NRT,HKG,0
1527823297,33.3048,133.3017,38000,241,340,846B34,NRT,HKG,0
1527823360,33.2569,133.1993,37975,239,338,846B34,NRT,HKG,0
1527823409,33.2122,133.1218,37975,235,339,846B34,NRT,HKG,0
1527823483,33.1446,133.0068,38000,236,340,846B34,NRT,HKG,0
1527823543,33.0916,132.9166,38000,236,340,846B34,NRT,HKG,0
1527823599,33.0416,132.8318,38000,236,341,846B34,NRT,HKG,0
1527823663,32.982,132.7312,38025,235,343,846B34,NRT,HKG,0
1527823724,32.9266,132.6379,38025,234,343,846B34,NRT,HKG,0
1527823784,32.8729,132.5474,38000,234,345,846B34,NRT,HKG,0
1527823843,32.8176,132.4547,38050,234,341,846B34,NRT,HKG,0
1527823900,32.7897,132.4081,38000,235,339,846B34,NRT,HKG,0
1527823968,32.7045,132.2656,37975,234,337,846B34,NRT,HKG,0
1527824028,32.6522,132.1786,37975,234,337,846B34,NRT,HKG,0
1527824089,32.5965,132.0835,38000,235,339,846B34,NRT,HKG,0
1527824140,32.5514,132.0067,38050,235,338,846B34,NRT,HKG,0
1527824212,32.4869,131.8973,38000,235,337,846B34,NRT,HKG,0
1527824272,32.4324,131.8051,37975,235,337,846B34,NRT,HKG,0
1527824325,32.3849,131.7249,38000,235,337,846B34,NRT,HKG,0
1527824390,32.3289,131.6307,38000,235,334,846B34,NRT,HKG,0
1527824455,32.2708,131.533,38000,235,340,846B34,NRT,HKG,0
1527824513,32.2165,131.4419,38025,234,344,846B34,NRT,HKG,0
1527824571,32.1636,131.3535,38025,234,345,846B34,NRT,HKG,0
1527824635,32.1045,131.2551,38000,235,347,846B34,NRT,HKG,0
1527824700,32.0446,131.1556,38000,235,347,846B34,NRT,HKG,0
1527824760,31.9877,131.0612,38000,235,346,846B34,NRT,HKG,0
1527824821,31.9318,130.9688,37975,234,344,846B34,NRT,HKG,0
1527824889,31.8692,130.8656,37975,234,344,846B34,NRT,HKG,0
1527824945,31.8204,130.7852,37975,235,344,846B34,NRT,HKG,0
1527825005,31.7641,130.6927,38000,234,344,846B34,NRT,HKG,0
1527825065,31.709,130.6024,38000,234,343,846B34,NRT,HKG,0
1527825115,31.6599,130.526,38000,232,343,846B34,NRT,HKG,0
1527825186,31.5891,130.4185,38000,232,342,846B34,NRT,HKG,0
1527825257,31.5217,130.3166,38000,232,343,846B34,NRT,HKG,0
1527825315,31.4634,130.2283,38000,232,345,846B34,NRT,HKG,0
1527825370,31.4101,130.1479,38000,232,345,846B34,NRT,HKG,0
1527825437,31.3448,130.0497,38000,232,345,846B34,NRT,HKG,0
1527825500,31.283,129.9567,38000,232,346,846B34,NRT,HKG,0
1527825559,31.2242,129.8687,38000,232,347,846B34,NRT,HKG,0
1527825619,31.1648,129.78,38000,232,348,846B34,NRT,HKG,0
1527825678,31.1067,129.6932,38000,232,351,846B34,NRT,HKG,0
1527825738,31.0467,129.6037,38025,231,351,846B34,NRT,HKG,0
1527825800,30.9843,129.5112,38000,231,355,846B34,NRT,HKG,0
1527825862,30.9198,129.4157,38000,232,362,846B34,NRT,HKG,0
1527825922,30.8572,129.323,38000,231,366,846B34,NRT,HKG,0
1527825986,30.7917,129.2267,38025,231,368,846B34,NRT,HKG,0
1527826042,30.7328,129.138,38025,232,367,846B34,NRT,HKG,0
1527826103,30.6742,129.0486,37975,233,368,846B34,NRT,HKG,0
1527826163,30.6097,128.9508,37975,233,368,846B34,NRT,HKG,0
1527826224,30.5683,128.8602,37975,242,368,846B34,NRT,HKG,0
1527826284,30.5275,128.7712,37975,242,368,846B34,NRT,HKG,0
1527826344,30.4867,128.6822,37975,242,368,846B34,NRT,HKG,0
1527826412,30.3632,128.5617,38000,242,369,846B34,NRT,HKG,0
1527826466,30.2929,128.4732,37975,232,373,846B34,NRT,HKG,0
1527826536,30.2172,128.3601,38000,232,377,846B34,NRT,HKG,0
1527826588,30.181,128.2814,38000,242,377,846B34,NRT,HKG,0
1527826660,30.1309,128.1724,38000,242,377,846B34,NRT,HKG,0
1527826824,29.9189,127.9016,38000,243,383,846B34,NRT,HKG,0
1527826887,29.835,127.8013,37975,231,382,846B34,NRT,HKG,0
1527826948,29.7934,127.7072,37975,243,382,846B34,NRT,HKG,0
1527826990,29.7192,127.6336,37975,231,384,846B34,NRT,HKG,0
1527827064,29.638,127.5166,38025,231,386,846B34,NRT,HKG,0
1527827128,29.5939,127.4171,38025,243,386,846B34,NRT,HKG,0
1527827188,29.5526,127.3238,38025,243,386,846B34,NRT,HKG,0
1527827254,29.4243,127.21,38000,231,389,846B34,NRT,HKG,0
1527827316,29.3778,127.1138,38000,243,389,846B34,NRT,HKG,0
1527827364,29.3445,127.0388,38000,243,389,846B34,NRT,HKG,0
1527827436,29.2945,126.9262,38000,243,389,846B34,NRT,HKG,0
1527827496,29.2528,126.8325,38000,243,389,846B34,NRT,HKG,0
1527827556,29.2111,126.7388,38000,243,389,846B34,NRT,HKG,0
1527827602,29.0316,126.6521,38000,231,391,846B34,NRT,HKG,0
1527827680,28.9534,126.5265,38000,243,394,846B34,NRT,HKG,0
1527827740,28.901,126.4323,38025,243,394,846B34,NRT,HKG,0
1527827800,28.8588,126.3377,38025,243,394,846B34,NRT,HKG,0
1527827863,28.7316,126.231,38000,230,390,846B34,NRT,HKG,0
1527827912,28.6758,126.1531,37975,230,389,846B34,NRT,HKG,0
1527827988,28.623,126.0351,37975,243,389,846B34,NRT,HKG,0
1527828048,28.5814,125.9419,37975,243,389,846B34,NRT,HKG,0
1527828108,28.4508,125.8406,38000,230,395,846B34,NRT,HKG,0
1527828169,28.381,125.7441,38025,230,397,846B34,NRT,HKG,0
1527828233,28.3065,125.6415,38000,230,397,846B34,NRT,HKG,0
