timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner
1527811196,21.89,113.8912,15000,28,353,48411E,ALA,HKG,0
1527811255,21.9765,113.9402,14550,39,351,48411E,ALA,HKG,0
1527811318,22.0419,114.0229,12650,51,344,48411E,ALA,HKG,0
1527811382,22.106,114.1069,10700,50,339,48411E,ALA,HKG,0
1527811429,22.1514,114.1661,9525,50,302,48411E,ALA,HKG,0
1527811499,22.2107,114.244,8075,50,292,48411E,ALA,HKG,0
1527811550,22.2658,114.2847,6975,2,288,48411E,ALA,HKG,0
1527811629,22.3653,114.2529,6050,341,255,48411E,ALA,HKG,0
1527811691,22.4016,114.1993,4625,282,236,48411E,ALA,HKG,0
1527811744,22.3892,114.1414,3950,252,209,48411E,ALA,HKG,0
1527811938,22.3349,113.9722,900,251,143,48411E,ALA,HKG,0
1527812005,22.3199,113.9259,125,251,145,48411E,ALA,HKG,0
1527812068,22.3129,113.9063,0,222,22,48411E,ALA,HKG,0
1527812128,22.3124,113.9082,0,70,25,48411E,ALA,HKG,0
1527812188,22.314,113.9132,0,70,16,48411E,ALA,HKG,0
1527812246,22.3155,113.9177,0,70,26,48411E,ALA,HKG,0
1527812304,22.313,113.9195,0,160,16,48411E,ALA,HKG,0
1527812364,22.3082,113.9212,0,160,24,48411E,ALA,HKG,0
1527812428,22.3073,113.9239,0,70,33,48411E,ALA,HKG,0
1527812486,22.3091,113.9276,0,25,25,48411E,ALA,HKG,0
1527812542,22.3114,113.9285,0,25,31,48411E,ALA,HKG,0
1527812542,22.3114,113.9285,0,25,31,48411E,ALA,HKG,0
