timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner
1527861108,34.4673,135.9013,32000,243,442,846DEF,NRT,HKG,0
1527861174,34.4054,135.7573,32000,242,447,846DEF,NRT,HKG,0
1527861235,34.3472,135.6227,32000,242,446,846DEF,NRT,HKG,0
1527861294,34.2894,135.4899,32000,242,447,846DEF,NRT,HKG,0
1527861355,34.2314,135.357,32000,242,447,846DEF,NRT,HKG,0
1527861413,34.1749,135.2282,31975,242,447,846DEF,NRT,HKG,0
1527861472,34.1177,135.0984,32000,242,448,846DEF,NRT,HKG,0
1527861534,34.0566,134.96,32000,241,449,846DEF,NRT,HKG,0
1527861593,33.9994,134.8311,31975,242,448,846DEF,NRT,HKG,0
1527861658,33.9353,134.687,32000,241,448,846DEF,NRT,HKG,0
1527861718,33.8763,134.5552,32000,241,449,846DEF,NRT,HKG,0
1527861778,33.8175,134.424,31975,241,448,846DEF,NRT,HKG,0
1527861838,33.759,134.294,32000,241,447,846DEF,NRT,HKG,0
1527861898,33.6995,134.1624,31975,241,447,846DEF,NRT,HKG,0
1527861963,33.635,134.0202,32000,241,446,846DEF,NRT,HKG,0
1527862023,33.5758,133.8904,32450,241,446,846DEF,NRT,HKG,0
1527862083,33.5171,133.7619,34575,241,434,846DEF,NRT,HKG,0
1527862129,33.4736,133.6672,35775,241,431,846DEF,NRT,HKG,0
1527862203,33.4036,133.5151,37000,242,416,846DEF,NRT,HKG,0
1527862270,33.341,133.3796,36975,241,418,846DEF,NRT,HKG,0
1527862329,33.2883,133.2659,36975,241,416,846DEF,NRT,HKG,0
1527862395,33.2212,133.1369,36975,235,417,846DEF,NRT,HKG,0
1527862455,33.1578,133.0289,37000,235,417,846DEF,NRT,HKG,0
1527862513,33.0904,132.9144,37000,235,419,846DEF,NRT,HKG,0
1527862580,33.013,132.7832,37000,234,419,846DEF,NRT,HKG,0
1527862638,32.9489,132.675,37000,234,419,846DEF,NRT,HKG,0
1527862696,32.8831,132.5643,37000,234,418,846DEF,NRT,HKG,0
1527862758,32.8141,132.4485,37000,234,420,846DEF,NRT,HKG,0
1527862821,32.7454,132.3336,37000,234,421,846DEF,NRT,HKG,0
1527862880,32.6771,132.2196,37000,234,422,846DEF,NRT,HKG,0
1527862942,32.6074,132.1017,36975,235,423,846DEF,NRT,HKG,0
1527863002,32.5393,131.9855,37000,235,422,846DEF,NRT,HKG,0
1527863063,32.4718,131.8713,37000,235,421,846DEF,NRT,HKG,0
1527863125,32.4029,131.755,36975,234,420,846DEF,NRT,HKG,0
1527863188,32.3334,131.638,37000,235,421,846DEF,NRT,HKG,0
1527863249,32.2653,131.5236,37000,235,421,846DEF,NRT,HKG,0
1527863305,32.2031,131.4192,36975,235,421,846DEF,NRT,HKG,0
1527863371,32.1304,131.2981,37525,235,424,846DEF,NRT,HKG,0
1527863431,32.0589,131.1791,37975,235,429,846DEF,NRT,HKG,0
1527863491,31.9912,131.0668,38000,235,428,846DEF,NRT,HKG,0
1527863554,31.9181,130.946,38000,235,428,846DEF,NRT,HKG,0
1527863615,31.854,130.8402,38000,235,430,846DEF,NRT,HKG,0
1527863673,31.7848,130.7264,37975,235,432,846DEF,NRT,HKG,0
1527863735,31.7087,130.6017,38000,234,434,846DEF,NRT,HKG,0
1527863795,31.6358,130.4889,37975,232,438,846DEF,NRT,HKG,0
1527863857,31.557,130.3703,37975,232,439,846DEF,NRT,HKG,0
1527863913,31.4909,130.2699,37975,233,439,846DEF,NRT,HKG,0
1527863978,31.4068,130.1427,37975,232,439,846DEF,NRT,HKG,0
1527864038,31.332,130.0302,38000,232,440,846DEF,NRT,HKG,0
1527864103,31.2516,129.9094,37975,232,440,846DEF,NRT,HKG,0
1527864163,31.1769,129.7975,38000,232,442,846DEF,NRT,HKG,0
