timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner
1527819824,24.7538,118.6342,4975,185,275,780050,JJN,HKG,0
1527819884,24.6795,118.6121,7625,227,279,780050,JJN,HKG,0
1527819945,24.6579,118.5321,7900,257,275,780050,JJN,HKG,0
1527820004,24.641,118.4486,10275,257,284,780050,JJN,HKG,0
1527820064,24.6192,118.3535,11825,246,344,780050,JJN,HKG,0
1527820124,24.5624,118.2674,15300,231,338,780050,JJN,HKG,0
1527820188,24.5014,118.183,17750,231,364,780050,JJN,HKG,0
1527820248,24.4337,118.0897,19550,231,397,780050,JJN,HKG,0
1527820309,24.3646,117.9951,19700,231,394,780050,JJN,HKG,0
1527820370,24.3003,117.8976,19675,230,391,780050,JJN,HKG,0
1527820432,24.2179,117.8074,21650,224,403,780050,JJN,HKG,0
1527820492,24.1373,117.7213,21675,224,406,780050,JJN,HKG,0
1527820551,24.0585,117.637,22575,224,396,780050,JJN,HKG,0
1527820614,23.9926,117.5437,25325,238,381,780050,JJN,HKG,0
1527820672,23.9349,117.44,25600,238,420,780050,JJN,HKG,0
1527820737,23.8675,117.3194,25600,238,424,780050,JJN,HKG,0
1527820793,23.8122,117.2206,25600,238,424,780050,JJN,HKG,0
1527820860,23.7438,117.0996,25600,239,424,780050,JJN,HKG,0
1527820920,23.6814,116.9862,25600,239,423,780050,JJN,HKG,0
1527820980,23.6124,116.8832,25575,226,425,780050,JJN,HKG,0
1527821040,23.5296,116.7891,25600,226,426,780050,JJN,HKG,0
1527821098,23.4479,116.7047,25600,217,428,780050,JJN,HKG,0
1527821159,23.3536,116.6263,25600,217,426,780050,JJN,HKG,0
1527821221,23.2526,116.5422,25600,217,426,780050,JJN,HKG,0
1527821284,23.1571,116.4631,25600,217,425,780050,JJN,HKG,0
1527821344,23.0588,116.3935,25600,211,424,780050,JJN,HKG,0
1527821408,22.9608,116.3104,25600,231,434,780050,JJN,HKG,0
1527821468,22.8459,116.2523,25600,211,435,780050,JJN,HKG,0
1527821522,22.7487,116.1883,25600,211,437,780050,JJN,HKG,0
1527821586,22.643,116.1071,25600,217,437,780050,JJN,HKG,0
1527821654,22.5376,116.0211,25575,217,402,780050,JJN,HKG,0
1527821710,22.4556,115.9546,25575,216,385,780050,JJN,HKG,0
1527821771,22.3714,115.8863,24925,217,375,780050,JJN,HKG,0
1527821830,22.299,115.8114,23975,250,347,780050,JJN,HKG,0
1527821879,22.2992,115.7284,23750,268,346,780050,JJN,HKG,0
1527821955,22.3832,115.6346,22700,316,336,780050,JJN,HKG,0
1527822018,22.4537,115.564,21850,317,326,780050,JJN,HKG,0
1527822067,22.5007,115.5048,21250,288,325,780050,JJN,HKG,0
1527822141,22.4729,115.3939,20250,250,321,780050,JJN,HKG,0
1527822201,22.4421,115.3001,19250,250,315,780050,JJN,HKG,0
1527822262,22.4117,115.2107,18250,249,313,780050,JJN,HKG,0
1527822321,22.3892,115.1187,17350,257,331,780050,JJN,HKG,0
1527822385,22.3677,115.0196,16350,256,329,780050,JJN,HKG,0
1527822445,22.3457,114.919,15325,256,325,780050,JJN,HKG,0
1527822506,22.3252,114.8255,14325,256,319,780050,JJN,HKG,0
1527822566,22.3054,114.734,13275,256,303,780050,JJN,HKG,0
1527822623,22.2726,114.659,12350,243,279,780050,JJN,HKG,0
1527822686,22.2359,114.5813,10925,243,276,780050,JJN,HKG,0
1527822731,22.2108,114.5275,10050,243,269,780050,JJN,HKG,0
1527822811,22.227,114.4278,8525,303,259,780050,JJN,HKG,0
1527822872,22.2811,114.3751,7225,318,262,780050,JJN,HKG,0
1527822931,22.3312,114.3252,6300,313,247,780050,JJN,HKG,0
1527822993,22.3724,114.2699,5600,290,210,780050,JJN,HKG,0
1527823057,22.3921,114.2107,4950,290,193,780050,JJN,HKG,0
1527823119,22.3923,114.1506,4050,250,200,780050,JJN,HKG,0
1527823181,22.3746,114.0957,3100,250,192,780050,JJN,HKG,0
1527823234,22.3592,114.0481,2250,250,179,780050,JJN,HKG,0
1527823293,22.3449,114.0033,1450,250,151,780050,JJN,HKG,0
1527823360,22.3296,113.9564,600,251,153,780050,JJN,HKG,0
1527823421,22.3171,113.917,0,250,84,780050,JJN,HKG,0
1527823484,22.3133,113.9107,0,95,29,780050,JJN,HKG,0
1527823498,22.3135,113.9117,0,70,18,780050,JJN,HKG,0
1527823586,22.316,113.9194,0,70,17,780050,JJN,HKG,0
1527823653,22.3128,113.9215,0,160,29,780050,JJN,HKG,0
1527823721,22.3096,113.9227,0,160,20,780050,JJN,HKG,0
1527823755,22.3084,113.9231,0,160,25,780050,JJN,HKG,0
1527823834,22.3079,113.9255,0,70,26,780050,JJN,HKG,0
1527823891,22.3099,113.928,0,25,28,780050,JJN,HKG,0
1527823891,22.3099,113.928,0,25,28,780050,JJN,HKG,0
