timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner
1527811194,36.1101,113.1748,37100,159,488,4CA350,ULN,HKG,0
1527811253,35.9848,113.2314,37100,159,487,4CA350,ULN,HKG,0
1527811317,35.8476,113.2931,37100,159,479,4CA350,ULN,HKG,0
1527811381,35.7146,113.3472,37100,172,468,4CA350,ULN,HKG,0
1527811429,35.6128,113.3365,37100,181,463,4CA350,ULN,HKG,0
1527811497,35.4664,113.3767,37100,161,485,4CA350,ULN,HKG,0
1527811563,35.3305,113.4362,37100,159,488,4CA350,ULN,HKG,0
1527811629,35.1873,113.5004,36100,159,487,4CA350,ULN,HKG,0
1527811689,35.0626,113.5559,36100,159,473,4CA350,ULN,HKG,0
1527811745,34.9445,113.6078,36100,160,476,4CA350,ULN,HKG,0
1527811930,34.5488,113.6251,36100,173,476,4CA350,ULN,HKG,0
1527812004,34.4104,113.6309,36100,178,476,4CA350,ULN,HKG,0
1527812067,34.2502,113.7206,36100,165,480,4CA350,ULN,HKG,0
1527812127,34.1213,113.7611,36100,165,479,4CA350,ULN,HKG,0
1527812187,33.9915,113.8019,36100,165,479,4CA350,ULN,HKG,0
1527812247,33.8621,113.8426,36100,165,480,4CA350,ULN,HKG,0
1527812303,33.7404,113.8806,36125,165,481,4CA350,ULN,HKG,0
1527812371,33.5956,113.9259,36125,165,483,4CA350,ULN,HKG,0
1527812430,33.4668,113.9661,36100,165,484,4CA350,ULN,HKG,0
1527812490,33.3354,114.007,36100,165,484,4CA350,ULN,HKG,0
1527812550,33.2075,114.0473,36100,165,484,4CA350,ULN,HKG,0
1527812611,33.0736,114.0896,36100,165,484,4CA350,ULN,HKG,0
1527812671,32.9432,114.1306,36100,165,483,4CA350,ULN,HKG,0
1527812735,32.807,114.1733,36100,165,483,4CA350,ULN,HKG,0
1527812796,32.676,114.2141,36100,165,482,4CA350,ULN,HKG,0
1527812855,32.5464,114.2546,36100,165,483,4CA350,ULN,HKG,0
1527812914,32.4194,114.294,36100,165,482,4CA350,ULN,HKG,0
1527812976,32.2843,114.3221,36100,179,471,4CA350,ULN,HKG,0
1527813039,32.1478,114.3115,36100,183,469,4CA350,ULN,HKG,0
1527813099,32.0166,114.3502,36125,161,488,4CA350,ULN,HKG,0
1527813162,31.8812,114.3826,36100,180,472,4CA350,ULN,HKG,0
1527813213,31.7725,114.3754,36100,184,469,4CA350,ULN,HKG,0
1527813280,31.626,114.3613,36125,184,469,4CA350,ULN,HKG,0
1527813342,31.4914,114.3481,36125,184,470,4CA350,ULN,HKG,0
1527813390,31.3861,114.3378,36100,186,470,4CA350,ULN,HKG,0
1527813459,31.2513,114.2843,36125,203,450,4CA350,ULN,HKG,0
1527813529,31.1179,114.2142,36100,204,449,4CA350,ULN,HKG,0
1527813586,31.0131,114.159,36100,204,447,4CA350,ULN,HKG,0
1527813648,30.8932,114.0964,36100,204,444,4CA350,ULN,HKG,0
1527813708,30.7841,114.0395,36100,204,440,4CA350,ULN,HKG,0
1527813769,30.6675,113.9787,36125,204,438,4CA350,ULN,HKG,0
1527813831,30.5518,113.9187,36100,204,436,4CA350,ULN,HKG,0
1527813888,30.4487,113.8653,36100,204,435,4CA350,ULN,HKG,0
1527813949,30.3365,113.8073,36125,204,435,4CA350,ULN,HKG,0
1527814011,30.2231,113.7489,36100,204,435,4CA350,ULN,HKG,0
1527814072,30.1075,113.6895,36100,204,436,4CA350,ULN,HKG,0
1527814135,29.9929,113.6307,36100,204,436,4CA350,ULN,HKG,0
1527814195,29.8743,113.593,36100,184,458,4CA350,ULN,HKG,0
1527814258,29.7379,113.582,36100,183,459,4CA350,ULN,HKG,0
1527814317,29.6124,113.5723,36100,183,458,4CA350,ULN,HKG,0
1527814380,29.4793,113.562,36125,184,459,4CA350,ULN,HKG,0
1527814441,29.3521,113.5518,36100,183,459,4CA350,ULN,HKG,0
1527814482,29.2665,113.5452,36125,183,458,4CA350,ULN,HKG,0
1527814556,29.1334,113.5532,36125,177,458,4CA350,ULN,HKG,0
1527814628,28.9555,113.5391,36100,180,460,4CA350,ULN,HKG,0
1527814688,28.826,113.5365,36100,180,460,4CA350,ULN,HKG,0
1527814748,28.7028,113.5342,36125,180,460,4CA350,ULN,HKG,0
1527814809,28.5722,113.532,36100,180,461,4CA350,ULN,HKG,0
