timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner
1527811188,34.6454,104.2021,39100,142,485,4406DE,VIE,HKG,0
1527811248,34.5552,104.2877,39100,142,485,4406DE,VIE,HKG,0
1527811320,34.447,104.3903,39100,142,485,4406DE,VIE,HKG,0
1527811380,34.3561,104.4745,39100,143,485,4406DE,VIE,HKG,0
1527811440,34.2614,104.5608,39100,143,485,4406DE,VIE,HKG,0
1527811500,34.1539,104.6588,39100,143,485,4406DE,VIE,HKG,0
1527811552,33.7786,104.1911,39100,177,491,4406DE,VIE,HKG,0
1527811624,33.6232,104.1987,39100,177,491,4406DE,VIE,HKG,0
1527811680,33.4867,104.2055,39100,177,490,4406DE,VIE,HKG,0
1527811743,33.3537,104.212,39100,177,489,4406DE,VIE,HKG,0
1527811940,32.9159,104.2342,39100,177,491,4406DE,VIE,HKG,0
1527812001,32.7666,104.2417,39100,177,492,4406DE,VIE,HKG,0
1527812067,32.626,104.2488,39100,177,490,4406DE,VIE,HKG,0
1527812124,32.4856,104.2558,39100,177,488,4406DE,VIE,HKG,0
1527812187,32.3521,104.2623,39100,177,488,4406DE,VIE,HKG,0
1527812243,32.2192,104.269,39100,177,487,4406DE,VIE,HKG,0
1527812310,32.0792,104.2759,39100,177,485,4406DE,VIE,HKG,0
1527812367,31.9416,104.2827,39100,177,478,4406DE,VIE,HKG,0
1527812433,31.804,104.2894,39100,177,477,4406DE,VIE,HKG,0
1527812487,31.6734,104.2957,39100,177,478,4406DE,VIE,HKG,0
1527812550,31.5434,104.3022,39100,177,482,4406DE,VIE,HKG,0
1527812606,31.412,104.3086,39100,177,480,4406DE,VIE,HKG,0
1527812666,31.2887,104.3146,39100,177,480,4406DE,VIE,HKG,0
1527812730,31.1306,104.3215,39100,178,480,4406DE,VIE,HKG,0
1527812794,30.9994,104.3267,39100,178,482,4406DE,VIE,HKG,0
1527812849,30.8666,104.3361,39100,170,485,4406DE,VIE,HKG,0
1527812915,30.7318,104.3825,39100,161,495,4406DE,VIE,HKG,0
1527812969,30.6036,104.4319,39100,161,494,4406DE,VIE,HKG,0
1527813039,30.461,104.4862,39100,161,493,4406DE,VIE,HKG,0
1527813095,30.333,104.5348,39100,161,492,4406DE,VIE,HKG,0
1527813164,30.192,104.5881,39100,161,492,4406DE,VIE,HKG,0
1527813216,30.0658,104.636,39100,161,491,4406DE,VIE,HKG,0
1527813279,29.937,104.6864,39100,161,494,4406DE,VIE,HKG,0
1527813337,29.8026,104.7388,39100,161,494,4406DE,VIE,HKG,0
1527813402,29.6742,104.7884,39100,161,495,4406DE,VIE,HKG,0
1527813459,29.5386,104.8408,39100,161,499,4406DE,VIE,HKG,0
1527813530,29.3995,104.8943,39100,161,499,4406DE,VIE,HKG,0
1527813590,29.2675,104.9449,39100,161,499,4406DE,VIE,HKG,0
