timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner
1527811196,46.1355,127.9807,36100,246,481,ABC201,ANC,HKG,0
1527811255,46.0823,127.8037,36075,246,477,ABC201,ANC,HKG,0
1527811321,46.026,127.6172,36100,246,476,ABC201,ANC,HKG,0
1527811384,45.9685,127.4285,36100,246,476,ABC201,ANC,HKG,0
1527811441,45.9208,127.2642,36100,247,474,ABC201,ANC,HKG,0
1527811502,45.8711,127.0899,36100,247,473,ABC201,ANC,HKG,0
1527811561,45.821,126.9175,36075,247,472,ABC201,ANC,HKG,0
1527811606,45.7839,126.791,36100,247,472,ABC201,ANC,HKG,0
1527811678,45.7228,126.5832,36100,247,471,ABC201,ANC,HKG,0
1527811748,45.6636,126.3838,36100,246,470,ABC201,ANC,HKG,0
1527811938,45.4413,125.8765,36100,235,476,ABC201,ANC,HKG,0
1527812002,45.3618,125.7134,36100,235,475,ABC201,ANC,HKG,0
1527812068,45.2781,125.543,36075,235,474,ABC201,ANC,HKG,0
1527812123,45.2088,125.4025,36075,235,474,ABC201,ANC,HKG,0
1527812184,45.1325,125.2486,36075,235,475,ABC201,ANC,HKG,0
1527812248,45.0523,125.0869,36100,235,474,ABC201,ANC,HKG,0
1527812303,44.9833,124.9473,36100,235,476,ABC201,ANC,HKG,0
1527812369,44.8992,124.7783,36100,234,476,ABC201,ANC,HKG,0
1527812431,44.8203,124.6233,36075,234,476,ABC201,ANC,HKG,0
1527812491,44.7434,124.4728,36100,234,476,ABC201,ANC,HKG,0
1527812552,44.6643,124.3187,36075,234,475,ABC201,ANC,HKG,0
1527812611,44.5889,124.1727,36100,234,476,ABC201,ANC,HKG,0
1527812671,44.5105,124.0215,36075,234,476,ABC201,ANC,HKG,0
1527812736,44.4273,123.8616,36100,234,476,ABC201,ANC,HKG,0
1527812795,44.3523,123.7163,36075,234,476,ABC201,ANC,HKG,0
1527812855,44.2738,123.5649,36100,234,475,ABC201,ANC,HKG,0
1527812911,44.2027,123.4288,36100,233,475,ABC201,ANC,HKG,0
1527812973,44.121,123.2733,36075,233,475,ABC201,ANC,HKG,0
1527813036,44.0404,123.1207,36100,233,475,ABC201,ANC,HKG,0
1527813079,43.9846,123.0154,36100,233,474,ABC201,ANC,HKG,0
1527813163,43.8772,122.8093,36100,234,473,ABC201,ANC,HKG,0
1527813220,43.7964,122.6919,36075,214,473,ABC201,ANC,HKG,0
1527813282,43.7267,122.5164,36100,234,471,ABC201,ANC,HKG,0
1527813342,43.6503,122.3695,36075,234,470,ABC201,ANC,HKG,0
1527813402,43.5738,122.2231,36100,234,468,ABC201,ANC,HKG,0
1527813462,43.4944,122.0803,36100,231,469,ABC201,ANC,HKG,0
1527813525,43.4095,121.9336,36100,231,467,ABC201,ANC,HKG,0
1527813586,43.3282,121.7919,36100,231,467,ABC201,ANC,HKG,0
1527813647,43.2479,121.6523,36100,231,466,ABC201,ANC,HKG,0
1527813706,43.1677,121.5139,36100,231,466,ABC201,ANC,HKG,0
1527813767,43.0856,121.3729,36075,231,466,ABC201,ANC,HKG,0
1527813827,43.0045,121.2345,36075,231,467,ABC201,ANC,HKG,0
