timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner
1527811196,21.5935,113.7318,17500,25,368,00B1F3,JNB,HKG,0
1527811257,21.6851,113.7767,16275,24,362,00B1F3,JNB,HKG,0
1527811320,21.7814,113.8259,15000,29,352,00B1F3,JNB,HKG,0
1527811385,21.8727,113.88,14975,28,355,00B1F3,JNB,HKG,0
1527811440,21.9545,113.9286,14000,28,347,00B1F3,JNB,HKG,0
1527811501,22.0414,113.9803,12350,29,365,00B1F3,JNB,HKG,0
1527811565,22.0915,114.0705,9775,71,314,00B1F3,JNB,HKG,0
1527811622,22.1177,114.1547,9075,71,292,00B1F3,JNB,HKG,0
1527811686,22.1681,114.2212,8325,39,274,00B1F3,JNB,HKG,0
1527811749,22.226,114.2735,7300,39,267,00B1F3,JNB,HKG,0
1527811939,22.3995,114.1976,4850,272,206,00B1F3,JNB,HKG,0
1527811986,22.3921,114.1503,4325,250,206,00B1F3,JNB,HKG,0
1527812050,22.373,114.091,2975,251,189,00B1F3,JNB,HKG,0
1527812121,22.3537,114.0308,1950,250,171,00B1F3,JNB,HKG,0
1527812185,22.338,113.9819,1075,250,147,00B1F3,JNB,HKG,0
1527812246,22.3249,113.9412,350,250,140,00B1F3,JNB,HKG,0
1527812306,22.3146,113.9095,0,250,45,00B1F3,JNB,HKG,0
1527812372,22.3119,113.9067,0,70,24,00B1F3,JNB,HKG,0
1527812432,22.3135,113.9116,0,70,18,00B1F3,JNB,HKG,0
1527812492,22.3151,113.9166,0,70,17,00B1F3,JNB,HKG,0
1527812551,22.3159,113.9204,0,151,26,00B1F3,JNB,HKG,0
1527812609,22.3136,113.9225,0,115,28,00B1F3,JNB,HKG,0
1527812670,22.3124,113.9253,0,115,19,00B1F3,JNB,HKG,0
1527812725,22.312,113.9263,0,115,10,00B1F3,JNB,HKG,0
1527812758,22.3119,113.9264,0,115,2,00B1F3,JNB,HKG,0
