timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner
1527847812,18.0721,106.1885,32975,58,475,885171,BKK,HKG,0
1527847884,18.1434,106.3085,32975,58,475,885171,BKK,HKG,0
1527847944,18.2028,106.4086,32975,58,475,885171,BKK,HKG,0
1527848000,18.148,106.6376,33000,57,479,885171,BKK,HKG,0
1527848063,18.157,106.805,32975,77,478,885171,BKK,HKG,0
1527848120,18.2,106.919,32975,57,479,885171,BKK,HKG,0
1527848192,18.2759,107.0374,32975,56,479,885171,BKK,HKG,0
1527848244,18.2587,107.2021,32975,57,480,885171,BKK,HKG,0
1527848304,18.3221,107.301,32975,56,480,885171,BKK,HKG,0
1527848364,18.3854,107.3999,32975,56,480,885171,BKK,HKG,0
1527848436,18.4614,107.5187,32975,56,480,885171,BKK,HKG,0
1527848496,18.5247,107.6177,32975,56,480,885171,BKK,HKG,0
1527848556,18.597,107.7307,32975,56,480,885171,BKK,HKG,0
1527848592,18.5043,107.9835,33100,59,488,885171,BKK,HKG,0
1527848680,18.6035,108.1276,33100,54,488,885171,BKK,HKG,0
1527848740,18.6712,108.226,33100,54,488,885171,BKK,HKG,0
1527848800,18.7389,108.3243,33100,54,488,885171,BKK,HKG,0
1527848860,18.8955,108.4615,33100,55,489,885171,BKK,HKG,0
1527848920,18.9617,108.5614,33100,55,489,885171,BKK,HKG,0
1527848980,19.0278,108.6614,33100,55,489,885171,BKK,HKG,0
1527849040,19.094,108.7614,33100,55,489,885171,BKK,HKG,0
1527849104,19.3773,108.745,33100,57,489,885171,BKK,HKG,0
1527849167,19.5323,108.7977,33100,28,487,885171,BKK,HKG,0
1527849222,19.636,108.8634,33075,38,484,885171,BKK,HKG,0
1527849294,19.757,108.9813,33100,39,485,885171,BKK,HKG,0
1527849350,19.8555,109.0686,33100,46,477,885171,BKK,HKG,0
1527849416,19.943,109.1863,33100,52,476,885171,BKK,HKG,0
1527849479,20.0152,109.3111,33100,66,470,885171,BKK,HKG,0
1527849526,20.0544,109.4123,33075,67,473,885171,BKK,HKG,0
1527849592,20.1088,109.5528,33100,67,471,885171,BKK,HKG,0
1527849669,20.1722,109.7175,33100,67,471,885171,BKK,HKG,0
1527849722,20.2164,109.8328,33075,67,469,885171,BKK,HKG,0
1527849783,20.2662,109.9634,33100,68,467,885171,BKK,HKG,0
1527849843,20.3141,110.0892,33100,68,467,885171,BKK,HKG,0
1527849907,20.3658,110.2254,33100,67,467,885171,BKK,HKG,0
1527849970,20.4174,110.3615,33075,68,467,885171,BKK,HKG,0
1527850025,20.4616,110.4785,33100,68,468,885171,BKK,HKG,0
1527850093,20.5156,110.6218,33075,68,469,885171,BKK,HKG,0
1527850152,20.5645,110.7516,33075,68,470,885171,BKK,HKG,0
1527850209,20.611,110.8758,33075,68,471,885171,BKK,HKG,0
1527850269,20.6594,111.0052,33100,68,468,885171,BKK,HKG,0
1527850339,20.7154,111.1551,33075,68,467,885171,BKK,HKG,0
1527850398,20.7616,111.2794,33100,68,466,885171,BKK,HKG,0
1527850456,20.8181,111.3794,33100,57,466,885171,BKK,HKG,0
1527850517,20.8563,111.5362,33100,69,463,885171,BKK,HKG,0
1527850585,20.9042,111.6808,33075,70,463,885171,BKK,HKG,0
1527850639,20.9434,111.7974,33100,70,463,885171,BKK,HKG,0
1527850700,20.9877,111.9288,33025,70,463,885171,BKK,HKG,0
1527850753,21.0259,112.0424,32275,70,459,885171,BKK,HKG,0
1527850828,21.0958,112.1796,31800,52,459,885171,BKK,HKG,0
1527850887,21.1206,112.3263,30475,70,452,885171,BKK,HKG,0
1527850947,21.1636,112.4562,29650,70,456,885171,BKK,HKG,0
1527851006,21.2054,112.5816,28900,70,451,885171,BKK,HKG,0
1527851072,21.2487,112.7132,28075,70,436,885171,BKK,HKG,0
1527851131,21.2889,112.8355,27250,70,429,885171,BKK,HKG,0
1527851191,21.3282,112.955,26475,70,426,885171,BKK,HKG,0
1527851244,21.3638,113.0635,25725,70,430,885171,BKK,HKG,0
1527851307,21.4017,113.1897,24675,70,428,885171,BKK,HKG,0
1527851364,21.4329,113.2795,24450,47,397,885171,BKK,HKG,0
1527851435,21.4133,113.4233,23100,87,340,885171,BKK,HKG,0
1527851498,21.4215,113.5264,21825,70,327,885171,BKK,HKG,0
1527851562,21.4876,113.5941,20425,33,323,885171,BKK,HKG,0
1527851622,21.563,113.6457,19150,32,315,885171,BKK,HKG,0
1527851688,21.6419,113.7009,16875,34,302,885171,BKK,HKG,0
1527851748,21.7061,113.7611,14075,42,312,885171,BKK,HKG,0
1527851806,21.7645,113.8182,13275,42,290,885171,BKK,HKG,0
1527851868,21.8272,113.876,12050,33,285,885171,BKK,HKG,0
1527851929,21.8947,113.8498,10800,316,280,885171,BKK,HKG,0
1527851987,21.9592,113.809,8725,336,266,885171,BKK,HKG,0
1527852049,22.0277,113.7773,6775,336,239,885171,BKK,HKG,0
1527852108,22.086,113.7534,4900,345,234,885171,BKK,HKG,0
1527852170,22.1531,113.7355,3950,345,224,885171,BKK,HKG,0
1527852236,22.2153,113.7346,3025,31,201,885171,BKK,HKG,0
1527852296,22.2602,113.7662,2350,32,180,885171,BKK,HKG,0
1527852351,22.2799,113.8022,1850,70,150,885171,BKK,HKG,0
1527852416,22.2951,113.8487,1025,70,155,885171,BKK,HKG,0
1527852468,22.3062,113.8836,675,71,148,885171,BKK,HKG,0
1527852538,22.3179,113.9206,0,87,39,885171,BKK,HKG,0
1527852596,22.3166,113.9213,0,253,30,885171,BKK,HKG,0
1527852656,22.3143,113.9209,0,160,28,885171,BKK,HKG,0
1527852714,22.3108,113.9223,0,160,17,885171,BKK,HKG,0
1527852754,22.3085,113.9231,0,160,30,885171,BKK,HKG,0
1527852829,22.308,113.926,0,70,30,885171,BKK,HKG,0
1527852896,22.3098,113.9279,0,25,20,885171,BKK,HKG,0
1527852944,22.3104,113.9272,0,292,12,885171,BKK,HKG,0
1527852987,22.3106,113.9269,0,295,2,885171,BKK,HKG,0
