timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner
1527834038,53.868,105.4121,37000,169,437,A43667,EWR,HKG,0
1527834101,53.7464,105.4497,37000,169,439,A43667,EWR,HKG,0
1527834157,53.63,105.4851,37000,169,440,A43667,EWR,HKG,0
1527834220,53.5067,105.5224,37000,169,441,A43667,EWR,HKG,0
1527834285,53.378,105.5608,37000,169,441,A43667,EWR,HKG,0
1527834341,53.2603,105.5958,37000,169,440,A43667,EWR,HKG,0
1527834401,53.1448,105.63,37000,169,439,A43667,EWR,HKG,0
1527834463,53.0225,105.6661,37000,169,439,A43667,EWR,HKG,0
1527834528,52.8923,105.7041,37000,169,439,A43667,EWR,HKG,0
1527834589,52.7698,105.7399,37000,170,441,A43667,EWR,HKG,0
1527834647,52.6529,105.7737,37000,169,441,A43667,EWR,HKG,0
1527834709,52.5292,105.8093,37000,169,442,A43667,EWR,HKG,0
1527834770,52.4038,105.8452,37000,170,443,A43667,EWR,HKG,0
1527834832,52.279,105.8807,37000,170,444,A43667,EWR,HKG,0
1527834900,52.1412,105.9196,37000,170,445,A43667,EWR,HKG,0
1527834962,52.0158,105.9547,37000,170,445,A43667,EWR,HKG,0
1527835024,51.8899,105.9899,37000,170,447,A43667,EWR,HKG,0
1527835088,51.7595,106.0263,37000,170,447,A43667,EWR,HKG,0
1527835146,51.6404,106.0594,37100,170,446,A43667,EWR,HKG,0
1527835208,51.5152,106.0938,37100,170,447,A43667,EWR,HKG,0
1527835266,51.3978,106.1259,37100,170,448,A43667,EWR,HKG,0
1527835317,51.2958,106.1538,37100,170,448,A43667,EWR,HKG,0
1527835392,51.1398,106.1962,37100,170,449,A43667,EWR,HKG,0
1527835451,51.02,106.2304,37100,169,450,A43667,EWR,HKG,0
1527835510,50.8993,106.2675,37100,169,449,A43667,EWR,HKG,0
1527835570,50.7775,106.3039,37100,169,450,A43667,EWR,HKG,0
1527835631,50.6525,106.3407,37100,169,449,A43667,EWR,HKG,0
1527835695,50.5228,106.3788,37100,169,448,A43667,EWR,HKG,0
1527835755,50.4023,106.4144,37100,169,450,A43667,EWR,HKG,0
1527835818,50.2785,106.4778,37100,146,469,A43667,EWR,HKG,0
1527835884,50.1688,106.63,37100,137,474,A43667,EWR,HKG,0
1527835943,50.0732,106.7648,37100,137,475,A43667,EWR,HKG,0
1527836002,49.9775,106.8981,37100,138,472,A43667,EWR,HKG,0
1527836054,49.8915,107.0169,37100,138,471,A43667,EWR,HKG,0
1527836121,49.7841,107.1652,37100,138,468,A43667,EWR,HKG,0
1527836180,49.6858,107.2657,37100,158,468,A43667,EWR,HKG,0
1527836240,49.5786,107.3069,37100,166,468,A43667,EWR,HKG,0
1527836315,49.4688,107.5949,37100,138,471,A43667,EWR,HKG,0
1527836375,49.3702,107.7276,37100,138,472,A43667,EWR,HKG,0
1527836436,49.2661,107.8123,37100,167,472,A43667,EWR,HKG,0
1527836496,49.1576,107.8506,37100,167,472,A43667,EWR,HKG,0
1527836556,49.0491,107.8889,37100,167,472,A43667,EWR,HKG,0
1527836616,48.9405,107.927,37100,167,472,A43667,EWR,HKG,0
1527836680,48.8634,108.3989,37100,139,480,A43667,EWR,HKG,0
1527836738,48.7652,108.527,37100,139,480,A43667,EWR,HKG,0
1527836803,48.6572,108.6671,37100,139,482,A43667,EWR,HKG,0
1527836863,48.5538,108.8006,37100,139,481,A43667,EWR,HKG,0
1527836925,48.4501,108.9335,37100,139,482,A43667,EWR,HKG,0
1527836983,48.3518,109.059,37100,139,481,A43667,EWR,HKG,0
1527837046,48.2434,109.1965,37100,139,482,A43667,EWR,HKG,0
1527837112,48.1352,109.333,37100,139,483,A43667,EWR,HKG,0
1527837168,48.0392,109.4534,37100,139,485,A43667,EWR,HKG,0
1527837232,47.9235,109.5223,37100,170,485,A43667,EWR,HKG,0
1527837292,47.8239,109.7216,37100,140,484,A43667,EWR,HKG,0
1527837357,47.7127,109.8594,37100,140,485,A43667,EWR,HKG,0
1527837395,47.6444,109.9435,37100,140,485,A43667,EWR,HKG,0
1527837470,47.514,110.1029,37100,140,489,A43667,EWR,HKG,0
1527837532,47.4036,110.2055,37100,160,489,A43667,EWR,HKG,0
1527837588,47.3044,110.2775,37100,172,489,A43667,EWR,HKG,0
1527837655,47.1915,110.4936,37100,140,493,A43667,EWR,HKG,0
1527837719,47.0791,110.6282,37100,140,494,A43667,EWR,HKG,0
1527837779,46.9696,110.7585,37100,140,497,A43667,EWR,HKG,0
1527837840,46.8623,110.8857,37100,140,499,A43667,EWR,HKG,0
1527837897,46.7604,111.0059,37100,141,501,A43667,EWR,HKG,0
1527837960,46.6481,111.1375,37100,141,502,A43667,EWR,HKG,0
1527838027,46.5256,111.2802,37100,141,505,A43667,EWR,HKG,0
1527838088,46.414,111.4095,37100,141,508,A43667,EWR,HKG,0
1527838149,46.3035,111.537,37100,141,505,A43667,EWR,HKG,0
1527838205,46.1983,111.6576,37100,141,507,A43667,EWR,HKG,0
1527838267,46.0838,111.788,37100,141,508,A43667,EWR,HKG,0
1527838327,45.9723,111.9142,37100,141,510,A43667,EWR,HKG,0
1527838391,45.8531,112.0483,37100,141,512,A43667,EWR,HKG,0
1527838451,45.744,112.1707,37100,141,514,A43667,EWR,HKG,0
1527838512,45.6293,112.2985,37100,141,515,A43667,EWR,HKG,0
1527838572,45.515,112.4252,37100,142,516,A43667,EWR,HKG,0
1527838631,45.405,112.5465,37100,142,516,A43667,EWR,HKG,0
1527838691,45.2924,112.67,37100,142,512,A43667,EWR,HKG,0
1527838752,45.1772,112.7958,37100,142,510,A43667,EWR,HKG,0
1527838815,45.0597,112.9233,37100,142,509,A43667,EWR,HKG,0
1527838874,44.9507,113.0411,37100,142,508,A43667,EWR,HKG,0
1527838933,44.8419,113.158,37100,142,507,A43667,EWR,HKG,0
1527838994,44.7083,113.224,37100,179,488,A43667,EWR,HKG,0
1527839059,44.5643,113.2198,37100,180,491,A43667,EWR,HKG,0
1527839116,44.4319,113.2176,37100,180,494,A43667,EWR,HKG,0
1527839178,44.2915,113.2323,37100,176,495,A43667,EWR,HKG,0
1527839238,44.1546,113.2358,37100,180,493,A43667,EWR,HKG,0
1527839307,43.9951,113.2305,37100,181,493,A43667,EWR,HKG,0
1527839365,43.8663,113.2251,37100,181,490,A43667,EWR,HKG,0
1527839430,43.7173,113.2189,37100,181,489,A43667,EWR,HKG,0
1527839483,43.5991,113.2139,37100,181,484,A43667,EWR,HKG,0
1527839548,43.4538,113.2079,37100,181,484,A43667,EWR,HKG,0
1527839615,43.3033,113.2018,37100,181,481,A43667,EWR,HKG,0
1527839677,43.1689,113.1964,37100,181,482,A43667,EWR,HKG,0
1527839733,43.041,113.1913,37100,181,483,A43667,EWR,HKG,0
1527839794,42.905,113.1865,37100,181,483,A43667,EWR,HKG,0
1527839858,42.7624,113.1822,37100,181,482,A43667,EWR,HKG,0
1527839912,42.6515,113.1828,37100,178,481,A43667,EWR,HKG,0
1527839977,42.5003,113.1737,37100,181,479,A43667,EWR,HKG,0
1527840039,42.3651,113.1694,37100,181,478,A43667,EWR,HKG,0
1527840105,42.2153,113.1649,37100,181,477,A43667,EWR,HKG,0
1527840150,42.1217,113.1619,37100,181,476,A43667,EWR,HKG,0
1527840227,41.9468,113.1565,37100,181,475,A43667,EWR,HKG,0
1527840280,41.8404,113.1586,37100,177,476,A43667,EWR,HKG,0
1527840340,41.7283,113.1665,37100,177,476,A43667,EWR,HKG,0
1527840412,41.5937,113.1759,37100,177,476,A43667,EWR,HKG,0
1527840472,41.4227,113.4214,37100,154,507,A43667,EWR,HKG,0
1527840531,41.2982,113.4998,37100,154,505,A43667,EWR,HKG,0
1527840590,41.1742,113.5778,37125,154,505,A43667,EWR,HKG,0
1527840653,41.043,113.6597,37100,154,506,A43667,EWR,HKG,0
1527840714,40.9117,113.7415,37100,154,507,A43667,EWR,HKG,0
1527840776,40.781,113.8227,37100,154,501,A43667,EWR,HKG,0
1527840833,40.6609,113.8967,37500,155,505,A43667,EWR,HKG,0
1527840886,40.5477,113.9662,38375,154,509,A43667,EWR,HKG,0
1527840960,40.3909,114.0583,39400,158,508,A43667,EWR,HKG,0
1527841010,40.2786,114.1092,39950,161,511,A43667,EWR,HKG,0
1527841082,40.122,114.1787,40100,161,507,A43667,EWR,HKG,0
1527841144,39.9784,114.2421,40100,161,508,A43667,EWR,HKG,0
1527841207,39.8395,114.3031,40100,161,508,A43667,EWR,HKG,0
1527841267,39.705,114.3619,40100,161,509,A43667,EWR,HKG,0
1527841328,39.5703,114.4205,40100,161,510,A43667,EWR,HKG,0
1527841390,39.4296,114.4814,40100,161,510,A43667,EWR,HKG,0
1527841450,39.2948,114.5396,40100,161,511,A43667,EWR,HKG,0
1527841513,39.1529,114.5968,40100,166,507,A43667,EWR,HKG,0
1527841574,39.0142,114.6181,40100,174,498,A43667,EWR,HKG,0
1527841634,38.877,114.6332,40100,175,497,A43667,EWR,HKG,0
1527841696,38.7436,114.6385,40100,183,496,A43667,EWR,HKG,0
1527841752,38.6065,114.663,40100,175,490,A43667,EWR,HKG,0
1527841812,38.471,114.6778,40100,175,484,A43667,EWR,HKG,0
1527841879,38.3238,114.6936,40100,175,483,A43667,EWR,HKG,0
1527841936,38.2052,114.6978,40100,183,479,A43667,EWR,HKG,0
1527841999,38.0572,114.7248,40100,174,479,A43667,EWR,HKG,0
1527842059,37.924,114.7404,40100,174,480,A43667,EWR,HKG,0
1527842126,37.7769,114.7576,40100,174,482,A43667,EWR,HKG,0
1527842186,37.6425,114.7733,40100,174,479,A43667,EWR,HKG,0
1527842241,37.5228,114.7872,40100,174,478,A43667,EWR,HKG,0
1527842308,37.3772,114.8038,40100,174,473,A43667,EWR,HKG,0
1527842371,37.2372,114.8195,40100,174,471,A43667,EWR,HKG,0
1527842431,37.1066,114.8341,40100,174,471,A43667,EWR,HKG,0
1527842496,36.9678,114.8496,40100,174,476,A43667,EWR,HKG,0
1527842546,36.8542,114.8624,40100,174,479,A43667,EWR,HKG,0
1527842606,36.7261,114.8767,40100,174,477,A43667,EWR,HKG,0
1527842675,36.5708,114.8938,40100,174,474,A43667,EWR,HKG,0
1527842737,36.441,114.8799,40100,203,448,A43667,EWR,HKG,0
1527842800,36.3306,114.8685,40100,184,447,A43667,EWR,HKG,0
1527842857,36.2476,114.7052,40100,194,467,A43667,EWR,HKG,0
1527842921,36.1097,114.6849,40100,184,479,A43667,EWR,HKG,0
1527842980,35.9854,114.6748,40100,183,475,A43667,EWR,HKG,0
1527843030,35.8677,114.6621,40100,184,478,A43667,EWR,HKG,0
1527843101,35.7085,114.6467,40100,184,483,A43667,EWR,HKG,0
1527843160,35.5895,114.6368,40100,183,484,A43667,EWR,HKG,0
1527843222,35.4394,114.621,40100,184,485,A43667,EWR,HKG,0
1527843287,35.2933,114.6072,40100,184,483,A43667,EWR,HKG,0
1527843345,35.1639,114.595,40100,184,481,A43667,EWR,HKG,0
1527843405,35.0328,114.5825,40100,184,481,A43667,EWR,HKG,0
1527843467,34.8956,114.5697,40100,184,479,A43667,EWR,HKG,0
1527843535,34.743,114.5554,40100,184,478,A43667,EWR,HKG,0
1527843596,34.6081,114.5426,40100,184,477,A43667,EWR,HKG,0
1527843657,34.4751,114.5298,40100,184,478,A43667,EWR,HKG,0
1527843720,34.3355,114.5164,40100,184,478,A43667,EWR,HKG,0
1527843779,34.2006,114.5039,40100,184,480,A43667,EWR,HKG,0
1527843840,34.0743,114.4923,40100,184,479,A43667,EWR,HKG,0
1527843898,33.9405,114.4799,40100,184,480,A43667,EWR,HKG,0
1527843959,33.8053,114.4676,40100,184,480,A43667,EWR,HKG,0
1527844024,33.6628,114.4544,40100,184,482,A43667,EWR,HKG,0
1527844085,33.5274,114.4414,40100,184,484,A43667,EWR,HKG,0
1527844144,33.3926,114.4284,40100,184,484,A43667,EWR,HKG,0
1527844202,33.264,114.4162,40100,184,482,A43667,EWR,HKG,0
1527844265,33.1225,114.4026,40100,184,482,A43667,EWR,HKG,0
1527844328,32.9859,114.3895,40100,184,480,A43667,EWR,HKG,0
1527844385,32.8592,114.3775,40100,184,481,A43667,EWR,HKG,0
1527844436,32.7477,114.367,40100,184,481,A43667,EWR,HKG,0
1527844504,32.5937,114.3525,40100,184,481,A43667,EWR,HKG,0
1527844570,32.4437,114.3383,40100,184,483,A43667,EWR,HKG,0
1527844634,32.3019,114.3251,40100,184,483,A43667,EWR,HKG,0
1527844692,32.1741,114.3134,40100,184,484,A43667,EWR,HKG,0
1527844739,32.0705,114.2929,40100,192,474,A43667,EWR,HKG,0
1527844812,31.9539,114.182,40100,212,456,A43667,EWR,HKG,0
1527844879,31.819,114.127,40100,194,474,A43667,EWR,HKG,0
1527844932,31.7054,114.0948,40100,193,474,A43667,EWR,HKG,0
1527844997,31.5649,114.0551,40100,193,472,A43667,EWR,HKG,0
1527845064,31.4229,114.0146,40100,193,473,A43667,EWR,HKG,0
1527845124,31.2957,113.9787,40100,193,472,A43667,EWR,HKG,0
1527845182,31.1691,113.943,40100,193,473,A43667,EWR,HKG,0
1527845239,31.0513,113.91,40100,193,473,A43667,EWR,HKG,0
1527845297,30.9253,113.8747,40100,193,475,A43667,EWR,HKG,0
1527845363,30.7844,113.8354,40100,193,476,A43667,EWR,HKG,0
1527845425,30.6534,113.7989,40100,193,477,A43667,EWR,HKG,0
1527845484,30.5241,113.7631,40100,193,478,A43667,EWR,HKG,0
1527845538,30.4078,113.731,40100,193,478,A43667,EWR,HKG,0
1527845604,30.2659,113.6917,40100,193,475,A43667,EWR,HKG,0
1527845675,30.1153,113.6503,40100,193,476,A43667,EWR,HKG,0
1527845732,29.9938,113.6169,40100,193,477,A43667,EWR,HKG,0
1527845777,29.8994,113.5959,40100,187,483,A43667,EWR,HKG,0
1527845860,29.7089,113.5799,40100,183,489,A43667,EWR,HKG,0
1527845920,29.5763,113.5695,40100,183,488,A43667,EWR,HKG,0
1527845980,29.436,113.5584,40100,184,487,A43667,EWR,HKG,0
1527846041,29.3041,113.5481,40100,184,486,A43667,EWR,HKG,0
1527846104,29.162,113.5369,40100,184,486,A43667,EWR,HKG,0
1527846162,29.0249,113.5261,40100,184,487,A43667,EWR,HKG,0
1527846220,28.8942,113.5159,40100,183,487,A43667,EWR,HKG,0
1527846286,28.75,113.5045,40100,183,488,A43667,EWR,HKG,0
1527846347,28.6126,113.4955,40100,183,486,A43667,EWR,HKG,0
1527846408,28.4748,113.4865,40100,183,483,A43667,EWR,HKG,0
1527846465,28.3457,113.4781,40100,183,484,A43667,EWR,HKG,0
1527846529,28.2021,113.4686,40100,183,485,A43667,EWR,HKG,0
1527846595,28.0568,113.4585,40100,184,484,A43667,EWR,HKG,0
1527846652,27.928,113.4467,40100,184,485,A43667,EWR,HKG,0
1527846719,27.7771,113.4497,40100,169,493,A43667,EWR,HKG,0
1527846779,27.6422,113.4919,40100,163,497,A43667,EWR,HKG,0
1527846838,27.5134,113.5337,40100,164,499,A43667,EWR,HKG,0
1527846898,27.3779,113.5768,40100,164,498,A43667,EWR,HKG,0
1527846962,27.2372,113.6212,40100,164,497,A43667,EWR,HKG,0
1527847022,27.1023,113.6637,40100,164,497,A43667,EWR,HKG,0
1527847085,26.9689,113.7056,40100,164,496,A43667,EWR,HKG,0
1527847144,26.8346,113.7477,40100,164,497,A43667,EWR,HKG,0
1527847193,26.7256,113.7819,40100,164,498,A43667,EWR,HKG,0
1527847268,26.5789,113.7876,40100,178,498,A43667,EWR,HKG,0
1527847328,26.4614,113.7922,40100,178,498,A43667,EWR,HKG,0
1527847388,26.344,113.7967,40100,178,498,A43667,EWR,HKG,0
1527847448,26.2266,113.8013,40100,178,498,A43667,EWR,HKG,0
1527847508,26.1009,113.8062,40100,178,498,A43667,EWR,HKG,0
1527847580,25.9351,113.8127,40100,178,498,A43667,EWR,HKG,0
1527847640,25.7969,113.818,40100,178,498,A43667,EWR,HKG,0
1527847700,25.6587,113.8234,40100,178,498,A43667,EWR,HKG,0
1527847759,25.4623,114.1659,34025,165,501,A43667,EWR,HKG,0
1527847816,25.3341,114.2034,32950,165,499,A43667,EWR,HKG,0
1527847883,25.1829,114.2476,32100,165,498,A43667,EWR,HKG,0
1527847930,25.0815,114.2656,32100,177,494,A43667,EWR,HKG,0
1527847998,24.9263,114.2368,32100,191,489,A43667,EWR,HKG,0
1527848060,24.7863,114.206,32100,191,491,A43667,EWR,HKG,0
1527848124,24.647,114.1759,32100,191,491,A43667,EWR,HKG,0
1527848189,24.4999,114.144,32100,191,491,A43667,EWR,HKG,0
1527848250,24.3636,114.114,32100,192,492,A43667,EWR,HKG,0
1527848311,24.2321,114.0763,32100,195,492,A43667,EWR,HKG,0
1527848365,24.1128,114.0406,32100,195,491,A43667,EWR,HKG,0
1527848424,23.9775,114.0,32100,195,493,A43667,EWR,HKG,0
1527848494,23.825,113.9533,32100,195,496,A43667,EWR,HKG,0
1527848553,23.6924,113.9127,32100,195,497,A43667,EWR,HKG,0
1527848608,23.5725,113.8762,32100,195,496,A43667,EWR,HKG,0
1527848679,23.4179,113.8292,32100,195,498,A43667,EWR,HKG,0
1527848731,23.3191,113.7995,31500,196,498,A43667,EWR,HKG,0
1527848800,23.1449,113.7472,30150,195,493,A43667,EWR,HKG,0
1527848863,23.0061,113.7054,30100,195,489,A43667,EWR,HKG,0
1527848921,22.8822,113.6681,29350,195,486,A43667,EWR,HKG,0
1527848983,22.7472,113.627,27075,195,468,A43667,EWR,HKG,0
1527849047,22.6188,113.588,25575,195,446,A43667,EWR,HKG,0
1527849106,22.4988,113.5516,25125,195,452,A43667,EWR,HKG,0
1527849168,22.3796,113.515,23475,195,439,A43667,EWR,HKG,0
1527849226,22.2642,113.4797,21450,195,426,A43667,EWR,HKG,0
1527849293,22.1368,113.4978,21000,161,416,A43667,EWR,HKG,0
1527849356,22.0202,113.5398,21000,164,418,A43667,EWR,HKG,0
1527849411,21.921,113.5212,20625,204,394,A43667,EWR,HKG,0
1527849481,21.8137,113.4678,20100,205,343,A43667,EWR,HKG,0
1527849540,21.7328,113.4278,19225,204,318,A43667,EWR,HKG,0
1527849606,21.6379,113.4253,17700,159,307,A43667,EWR,HKG,0
1527849666,21.5598,113.4576,16550,154,299,A43667,EWR,HKG,0
1527849712,21.5307,113.5118,15625,91,294,A43667,EWR,HKG,0
1527849783,21.5851,113.5992,14100,48,295,A43667,EWR,HKG,0
1527849847,21.6412,113.6674,12900,48,287,A43667,EWR,HKG,0
1527849906,21.6931,113.7316,11725,49,281,A43667,EWR,HKG,0
1527849973,21.7491,113.8017,11000,49,280,A43667,EWR,HKG,0
1527850032,21.7935,113.8713,10425,58,278,A43667,EWR,HKG,0
1527850091,21.8463,113.9213,9375,28,268,A43667,EWR,HKG,0
1527850134,21.8939,113.9431,8575,4,266,A43667,EWR,HKG,0
1527850210,21.958,113.8779,7525,306,243,A43667,EWR,HKG,0
1527850268,22.0078,113.835,6525,327,241,A43667,EWR,HKG,0
1527850339,22.0752,113.7888,5300,327,237,A43667,EWR,HKG,0
1527850399,22.1274,113.7528,4700,327,209,A43667,EWR,HKG,0
1527850454,22.1699,113.724,3500,327,205,A43667,EWR,HKG,0
1527850519,22.2225,113.7108,2500,32,175,A43667,EWR,HKG,0
1527850582,22.2611,113.7446,2150,64,167,A43667,EWR,HKG,0
1527850643,22.2765,113.7914,2075,70,166,A43667,EWR,HKG,0
1527850705,22.2916,113.838,1225,70,153,A43667,EWR,HKG,0
1527850767,22.3053,113.8806,500,70,139,A43667,EWR,HKG,0
1527850826,22.3164,113.9149,0,70,74,A43667,EWR,HKG,0
1527850886,22.3177,113.9248,0,67,16,A43667,EWR,HKG,0
1527850946,22.3195,113.9304,0,73,17,A43667,EWR,HKG,0
1527851002,22.3172,113.9317,0,160,30,A43667,EWR,HKG,0
1527851056,22.3161,113.9328,0,106,11,A43667,EWR,HKG,0
1527851089,22.316,113.933,0,89,0,A43667,EWR,HKG,0
