timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner
1527829942,18.0304,111.4398,32975,56,478,8880C0,SGN,HKG,0
1527830004,18.1153,111.5411,32975,36,479,8880C0,SGN,HKG,0
1527830057,18.1726,111.6629,33000,56,478,8880C0,SGN,HKG,0
1527830109,18.235,111.7612,33000,56,478,8880C0,SGN,HKG,0
1527830184,18.3579,111.8328,33000,25,478,8880C0,SGN,HKG,0
1527830244,18.4601,111.883,33000,25,478,8880C0,SGN,HKG,0
1527830304,18.5619,111.934,33000,26,478,8880C0,SGN,HKG,0
1527830364,18.6162,112.181,32975,23,477,8880C0,SGN,HKG,0
1527830424,18.7198,112.2274,32975,23,477,8880C0,SGN,HKG,0
1527830484,18.8234,112.2738,32975,23,477,8880C0,SGN,HKG,0
1527830544,18.927,112.3203,32975,23,477,8880C0,SGN,HKG,0
1527830604,19.0306,112.3668,32975,23,477,8880C0,SGN,HKG,0
1527830676,19.1696,112.4292,32975,23,477,8880C0,SGN,HKG,0
1527830736,19.2915,112.484,32975,23,477,8880C0,SGN,HKG,0
1527830796,19.4133,112.5389,32975,23,477,8880C0,SGN,HKG,0
1527830859,19.6086,112.6109,33000,9,478,8880C0,SGN,HKG,0
1527830901,19.6998,112.6276,33000,9,477,8880C0,SGN,HKG,0
1527830976,19.8283,112.6884,33000,24,477,8880C0,SGN,HKG,0
1527831036,19.9311,112.7371,33000,24,477,8880C0,SGN,HKG,0
1527831094,20.1059,112.702,31225,9,428,8880C0,SGN,HKG,0
1527831153,20.2179,112.7229,30250,9,428,8880C0,SGN,HKG,0
1527831228,20.3304,112.784,30250,27,428,8880C0,SGN,HKG,0
1527831284,20.4671,112.7687,28350,9,394,8880C0,SGN,HKG,0
1527831348,20.5698,112.8031,27950,29,395,8880C0,SGN,HKG,0
1527831408,20.6505,112.8528,27950,30,395,8880C0,SGN,HKG,0
1527831472,20.7939,112.8443,26475,29,389,8880C0,SGN,HKG,0
1527831531,20.9078,112.8502,25975,9,382,8880C0,SGN,HKG,0
1527831589,21.0103,112.8691,26000,9,382,8880C0,SGN,HKG,0
1527831648,21.1147,112.8884,25975,9,400,8880C0,SGN,HKG,0
1527831715,21.2265,112.9485,25225,43,430,8880C0,SGN,HKG,0
1527831770,21.3057,113.029,24300,45,416,8880C0,SGN,HKG,0
1527831840,21.3839,113.1418,23225,58,410,8880C0,SGN,HKG,0
1527831898,21.4393,113.2415,22250,59,399,8880C0,SGN,HKG,0
1527831960,21.4983,113.3465,21250,58,390,8880C0,SGN,HKG,0
1527832019,21.5538,113.4456,20250,59,382,8880C0,SGN,HKG,0
1527832085,21.6111,113.548,19225,59,376,8880C0,SGN,HKG,0
1527832144,21.6654,113.6448,18000,58,369,8880C0,SGN,HKG,0
1527832202,21.7163,113.7363,16300,59,364,8880C0,SGN,HKG,0
1527832264,21.7779,113.8235,15000,30,359,8880C0,SGN,HKG,0
1527832325,21.8658,113.8751,15000,29,360,8880C0,SGN,HKG,0
1527832387,21.9572,113.9297,14975,29,362,8880C0,SGN,HKG,0
1527832446,22.0459,113.9826,15000,28,362,8880C0,SGN,HKG,0
1527832508,22.0933,114.0722,14800,72,345,8880C0,SGN,HKG,0
1527832566,22.1209,114.1609,14125,70,306,8880C0,SGN,HKG,0
1527832627,22.1494,114.2485,12875,70,290,8880C0,SGN,HKG,0
1527832689,22.1834,114.3257,11450,39,286,8880C0,SGN,HKG,0
1527832744,22.2486,114.3528,10250,2,278,8880C0,SGN,HKG,0
1527832811,22.3323,114.3373,8550,332,262,8880C0,SGN,HKG,0
1527832873,22.3895,114.2954,7025,296,243,8880C0,SGN,HKG,0
1527832935,22.3974,114.2254,5325,275,206,8880C0,SGN,HKG,0
1527832994,22.3972,114.1675,4375,254,203,8880C0,SGN,HKG,0
1527833058,22.3781,114.107,3275,251,198,8880C0,SGN,HKG,0
1527833114,22.3611,114.0537,2325,251,196,8880C0,SGN,HKG,0
1527833176,22.3438,113.9999,1400,251,162,8880C0,SGN,HKG,0
1527833240,22.329,113.954,575,250,152,8880C0,SGN,HKG,0
1527833302,22.316,113.9138,0,253,67,8880C0,SGN,HKG,0
1527833362,22.3133,113.9111,0,70,22,8880C0,SGN,HKG,0
1527833421,22.3144,113.9143,0,70,15,8880C0,SGN,HKG,0
1527833489,22.3152,113.9186,0,163,26,8880C0,SGN,HKG,0
1527833542,22.3123,113.9197,0,160,15,8880C0,SGN,HKG,0
1527833606,22.3074,113.9215,0,160,34,8880C0,SGN,HKG,0
1527833667,22.3075,113.9243,0,70,27,8880C0,SGN,HKG,0
1527833728,22.3089,113.9275,0,25,25,8880C0,SGN,HKG,0
1527833787,22.3113,113.9287,0,25,17,8880C0,SGN,HKG,0
1527833837,22.3111,113.9294,0,135,10,8880C0,SGN,HKG,0
1527833880,22.311,113.9296,0,180,0,8880C0,SGN,HKG,0
