timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner
1527840164,18.0494,118.9785,35275,313,465,75847B,MNL,HKG,0
1527840224,18.1374,118.8792,35275,313,465,75847B,MNL,HKG,0
1527840284,18.2254,118.7798,35275,313,465,75847B,MNL,HKG,0
1527840344,18.3134,118.6804,35275,313,465,75847B,MNL,HKG,0
1527840404,18.4015,118.5809,35275,313,465,75847B,MNL,HKG,0
1527840464,18.4895,118.4814,35275,313,465,75847B,MNL,HKG,0
1527840524,18.5775,118.3818,35275,313,465,75847B,MNL,HKG,0
1527840584,18.6655,118.2822,35275,313,465,75847B,MNL,HKG,0
1527840644,18.7536,118.1825,35275,313,465,75847B,MNL,HKG,0
1527840716,18.8592,118.0629,35275,313,465,75847B,MNL,HKG,0
1527840776,18.9931,117.9537,38000,312,452,75847B,MNL,HKG,0
1527840836,19.0644,117.8699,38000,312,452,75847B,MNL,HKG,0
1527840896,19.1358,117.786,38000,312,452,75847B,MNL,HKG,0
1527840956,19.2071,117.7021,38000,312,452,75847B,MNL,HKG,0
1527841016,19.2785,117.6181,38000,312,452,75847B,MNL,HKG,0
1527841088,19.3792,117.4996,38000,312,452,75847B,MNL,HKG,0
1527841136,19.4464,117.4205,38000,312,452,75847B,MNL,HKG,0
1527841208,19.5472,117.3018,38000,312,452,75847B,MNL,HKG,0
1527841268,19.6311,117.2028,38000,312,452,75847B,MNL,HKG,0
1527841328,19.7151,117.1038,38000,312,452,75847B,MNL,HKG,0
1527841388,19.799,117.0047,38000,312,452,75847B,MNL,HKG,0
1527841448,19.883,116.9055,38000,312,452,75847B,MNL,HKG,0
1527841508,19.9669,116.8064,38000,312,452,75847B,MNL,HKG,0
1527841568,20.0509,116.7071,38000,312,452,75847B,MNL,HKG,0
1527841628,20.1348,116.6078,38000,312,452,75847B,MNL,HKG,0
1527841688,20.2188,116.5085,38000,312,452,75847B,MNL,HKG,0
1527841748,20.3027,116.4091,38000,312,452,75847B,MNL,HKG,0
1527841820,20.4035,116.2897,38000,312,452,75847B,MNL,HKG,0
1527841880,20.4874,116.1902,38000,312,452,75847B,MNL,HKG,0
1527841940,20.5714,116.0907,38000,312,452,75847B,MNL,HKG,0
1527842000,20.374,115.6961,38025,320,460,75847B,MNL,HKG,0
1527842056,20.4607,115.6106,37975,320,459,75847B,MNL,HKG,0
1527842127,20.582,115.4868,37550,317,456,75847B,MNL,HKG,0
1527842185,20.6709,115.3991,35425,317,459,75847B,MNL,HKG,0
1527842245,20.7652,115.3061,32400,317,467,75847B,MNL,HKG,0
1527842305,20.8604,115.2119,30000,317,454,75847B,MNL,HKG,0
1527842369,20.9574,115.1158,28100,317,421,75847B,MNL,HKG,0
1527842430,21.0388,115.0346,26325,315,372,75847B,MNL,HKG,0
1527842482,21.1007,114.9686,24575,315,345,75847B,MNL,HKG,0
1527842554,21.1795,114.8851,21875,315,330,75847B,MNL,HKG,0
1527842616,21.2439,114.8169,20025,315,325,75847B,MNL,HKG,0
1527842676,21.3101,114.7469,18550,315,318,75847B,MNL,HKG,0
1527842737,21.374,114.6791,17100,315,312,75847B,MNL,HKG,0
1527842798,21.4353,114.614,15700,315,308,75847B,MNL,HKG,0
1527842858,21.4999,114.5554,14300,340,302,75847B,MNL,HKG,0
1527842918,21.577,114.5281,13250,342,292,75847B,MNL,HKG,0
1527842981,21.6501,114.4849,13000,322,291,75847B,MNL,HKG,0
1527843041,21.7165,114.43,11925,322,285,75847B,MNL,HKG,0
1527843102,21.7783,114.3789,10675,322,278,75847B,MNL,HKG,0
1527843155,21.8326,114.3337,9925,322,270,75847B,MNL,HKG,0
1527843226,21.9029,114.2753,9275,322,268,75847B,MNL,HKG,0
1527843289,21.9639,114.2246,8475,322,265,75847B,MNL,HKG,0
1527843350,22.0183,114.1711,8125,307,267,75847B,MNL,HKG,0
1527843406,22.0186,114.0958,7725,267,263,75847B,MNL,HKG,0
1527843466,22.0156,114.0195,6875,267,244,75847B,MNL,HKG,0
1527843535,22.0128,113.9363,6100,268,240,75847B,MNL,HKG,0
1527843594,22.0275,113.8671,5425,287,239,75847B,MNL,HKG,0
1527843653,22.0619,113.8117,4775,317,242,75847B,MNL,HKG,0
1527843718,22.1232,113.7675,4000,331,238,75847B,MNL,HKG,0
1527843778,22.1778,113.7356,3350,331,208,75847B,MNL,HKG,0
1527843839,22.2315,113.7283,2800,32,198,75847B,MNL,HKG,0
1527843900,22.267,113.7621,2600,70,155,75847B,MNL,HKG,0
1527843961,22.2811,113.8054,1850,70,150,75847B,MNL,HKG,0
1527844021,22.2948,113.848,1075,70,142,75847B,MNL,HKG,0
1527844081,22.3076,113.8876,400,70,136,75847B,MNL,HKG,0
1527844142,22.3166,113.916,0,84,24,75847B,MNL,HKG,0
1527844202,22.3153,113.9171,0,250,27,75847B,MNL,HKG,0
1527844266,22.3133,113.9145,0,163,27,75847B,MNL,HKG,0
1527844324,22.3107,113.9157,0,95,20,75847B,MNL,HKG,0
1527844360,22.311,113.9165,0,70,2,75847B,MNL,HKG,0
