timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner
1527848250,24.8403,118.6168,2475,30,172,7808FE,JJN,HKG,0
1527848308,24.8764,118.6605,4400,84,241,7808FE,JJN,HKG,0
1527848364,24.8313,118.6976,6900,179,257,7808FE,JJN,HKG,0
1527848433,24.7457,118.6714,8625,212,293,7808FE,JJN,HKG,0
1527848493,24.6788,118.6187,11000,233,313,7808FE,JJN,HKG,0
1527848556,24.655,118.5172,13275,257,338,7808FE,JJN,HKG,0
1527848617,24.6331,118.4088,13800,257,367,7808FE,JJN,HKG,0
1527848681,24.5885,118.3038,13950,231,370,7808FE,JJN,HKG,0
1527848738,24.5336,118.2161,16625,254,357,7808FE,JJN,HKG,0
1527848800,24.5245,118.1049,19325,265,347,7808FE,JJN,HKG,0
1527848864,24.5152,117.9935,19700,264,348,7808FE,JJN,HKG,0
1527848927,24.5006,117.8826,19850,245,354,7808FE,JJN,HKG,0
1527848986,24.43,117.8036,21700,222,367,7808FE,JJN,HKG,0
1527849044,24.3575,117.7303,23100,222,380,7808FE,JJN,HKG,0
1527849107,24.2706,117.6427,23600,222,420,7808FE,JJN,HKG,0
1527849169,24.179,117.5508,23600,222,450,7808FE,JJN,HKG,0
1527849228,24.0977,117.4509,23600,243,451,7808FE,JJN,HKG,0
1527849297,24.0204,117.3182,23600,222,451,7808FE,JJN,HKG,0
1527849357,23.9271,117.2248,23600,222,451,7808FE,JJN,HKG,0
1527849414,23.8394,117.1373,23600,222,451,7808FE,JJN,HKG,0
1527849479,23.7422,117.0322,23600,226,450,7808FE,JJN,HKG,0
1527849540,23.6544,116.9322,23600,226,453,7808FE,JJN,HKG,0
1527849608,23.5581,116.8226,23600,226,454,7808FE,JJN,HKG,0
1527849665,23.4725,116.7278,23600,222,452,7808FE,JJN,HKG,0
1527849724,23.376,116.6455,23600,217,453,7808FE,JJN,HKG,0
1527849781,23.2822,116.5673,23600,217,454,7808FE,JJN,HKG,0
1527849843,23.1774,116.4804,23600,217,455,7808FE,JJN,HKG,0
1527849907,23.0689,116.3906,23600,217,453,7808FE,JJN,HKG,0
1527849973,22.9568,116.302,23600,210,455,7808FE,JJN,HKG,0
1527850034,22.8444,116.2389,23600,207,454,7808FE,JJN,HKG,0
1527850087,22.7429,116.1823,23600,208,455,7808FE,JJN,HKG,0
1527850135,22.6618,116.1194,23600,224,456,7808FE,JJN,HKG,0
1527850210,22.5851,115.9719,23600,242,456,7808FE,JJN,HKG,0
1527850266,22.5298,115.8553,23600,242,457,7808FE,JJN,HKG,0
1527850341,22.4629,115.7148,23600,242,413,7808FE,JJN,HKG,0
1527850396,22.4143,115.613,23600,242,414,7808FE,JJN,HKG,0
1527850459,22.3581,115.4957,23600,242,415,7808FE,JJN,HKG,0
1527850520,22.3045,115.3847,23600,242,415,7808FE,JJN,HKG,0
1527850581,22.2815,115.2606,22350,267,412,7808FE,JJN,HKG,0
1527850644,22.2772,115.1331,19425,267,418,7808FE,JJN,HKG,0
1527850703,22.2729,115.0079,17075,267,402,7808FE,JJN,HKG,0
1527850766,22.2686,114.8873,15350,267,373,7808FE,JJN,HKG,0
1527850827,22.2648,114.7779,13600,267,354,7808FE,JJN,HKG,0
1527850886,22.2611,114.6726,12100,267,350,7808FE,JJN,HKG,0
1527850945,22.2576,114.5701,11150,267,340,7808FE,JJN,HKG,0
1527851006,22.2544,114.4754,11025,267,289,7808FE,JJN,HKG,0
1527851068,22.2514,114.3915,11000,267,275,7808FE,JJN,HKG,0
1527851120,22.2487,114.3172,11000,267,278,7808FE,JJN,HKG,0
1527851191,22.2217,114.2244,11000,248,280,7808FE,JJN,HKG,0
1527851249,22.1933,114.1485,10950,248,279,7808FE,JJN,HKG,0
1527851301,22.1532,114.0909,9850,226,278,7808FE,JJN,HKG,0
1527851367,22.0971,114.0255,8350,226,275,7808FE,JJN,HKG,0
1527851434,22.0452,113.9588,7350,245,246,7808FE,JJN,HKG,0
1527851486,22.0258,113.9001,6275,254,243,7808FE,JJN,HKG,0
1527851564,22.0702,113.8235,4700,317,239,7808FE,JJN,HKG,0
1527851623,22.1213,113.7771,3325,332,243,7808FE,JJN,HKG,0
1527851686,22.1855,113.7471,2625,336,226,7808FE,JJN,HKG,0
1527851727,22.2227,113.7407,2200,356,204,7808FE,JJN,HKG,0
1527851808,22.2754,113.7888,2100,69,175,7808FE,JJN,HKG,0
1527851866,22.29,113.8331,1325,70,137,7808FE,JJN,HKG,0
1527851927,22.3021,113.8708,650,70,130,7808FE,JJN,HKG,0
1527851987,22.3135,113.9061,0,70,105,7808FE,JJN,HKG,0
1527852049,22.3161,113.9191,0,101,32,7808FE,JJN,HKG,0
1527852110,22.3141,113.921,0,160,28,7808FE,JJN,HKG,0
1527852171,22.3118,113.9219,0,160,13,7808FE,JJN,HKG,0
1527852224,22.3104,113.9224,0,160,13,7808FE,JJN,HKG,0
1527852282,22.3088,113.923,0,160,24,7808FE,JJN,HKG,0
1527852321,22.3068,113.9237,0,160,23,7808FE,JJN,HKG,0
1527852403,22.3076,113.9276,0,70,15,7808FE,JJN,HKG,0
1527852443,22.3087,113.9313,0,70,20,7808FE,JJN,HKG,0
1527852506,22.3109,113.9341,0,340,27,7808FE,JJN,HKG,0
1527852573,22.312,113.9326,0,250,2,7808FE,JJN,HKG,0
