timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner
1527833232,18.0152,112.7996,31000,13,478,76AA70,SIN,HKG,0
1527833304,18.1703,112.8373,31000,13,478,76AA70,SIN,HKG,0
1527833364,18.2996,112.8687,31000,13,478,76AA70,SIN,HKG,0
1527833424,18.4289,112.9002,31000,13,478,76AA70,SIN,HKG,0
1527833484,18.5582,112.9317,31000,13,478,76AA70,SIN,HKG,0
1527833544,18.6875,112.9632,31000,13,478,76AA70,SIN,HKG,0
1527833604,18.8168,112.9947,31000,13,478,76AA70,SIN,HKG,0
1527833664,18.9461,113.0262,31000,13,478,76AA70,SIN,HKG,0
1527833724,19.0753,113.0578,31000,13,478,76AA70,SIN,HKG,0
1527833784,19.2046,113.0894,31000,13,478,76AA70,SIN,HKG,0
1527833844,19.3339,113.121,31000,13,478,76AA70,SIN,HKG,0
1527833904,19.4632,113.1527,31000,13,478,76AA70,SIN,HKG,0
1527833976,19.6184,113.1907,31000,13,478,76AA70,SIN,HKG,0
1527834036,19.7473,113.2238,31000,14,478,76AA70,SIN,HKG,0
1527834098,19.3072,114.7141,31000,354,407,76AA70,SIN,HKG,0
1527834152,19.4092,114.704,31000,354,406,76AA70,SIN,HKG,0
1527834224,19.5269,114.6794,31000,346,406,76AA70,SIN,HKG,0
1527834284,19.6199,114.6548,31000,346,406,76AA70,SIN,HKG,0
1527834344,19.7128,114.6302,31000,346,406,76AA70,SIN,HKG,0
1527834404,19.8058,114.6055,31000,346,406,76AA70,SIN,HKG,0
1527834459,19.9866,114.6439,31000,354,406,76AA70,SIN,HKG,0
1527834529,20.1162,114.6303,31000,354,406,76AA70,SIN,HKG,0
1527834585,20.2243,114.619,30625,354,403,76AA70,SIN,HKG,0
1527834641,20.3278,114.6081,29825,354,396,76AA70,SIN,HKG,0
1527834704,20.4216,114.5775,29825,343,396,76AA70,SIN,HKG,0
1527834758,20.5395,114.5858,28125,354,396,76AA70,SIN,HKG,0
1527834835,20.6818,114.5707,26925,354,385,76AA70,SIN,HKG,0
1527834898,20.7868,114.5597,26000,354,360,76AA70,SIN,HKG,0
1527834954,20.8751,114.5533,25300,359,336,76AA70,SIN,HKG,0
1527835021,20.9805,114.5543,24550,359,330,76AA70,SIN,HKG,0
1527835080,21.0721,114.5552,23875,52,328,76AA70,SIN,HKG,0
1527835146,21.1707,114.5561,23150,52,324,76AA70,SIN,HKG,0
1527835208,21.2522,114.5745,22750,32,322,76AA70,SIN,HKG,0
1527835248,21.3235,114.5576,22000,319,316,76AA70,SIN,HKG,0
1527835324,21.4329,114.5586,21125,39,312,76AA70,SIN,HKG,0
1527835391,21.5295,114.5639,20375,15,308,76AA70,SIN,HKG,0
1527835450,21.5566,114.6366,19675,116,305,76AA70,SIN,HKG,0
1527835492,21.5096,114.6686,19250,163,307,76AA70,SIN,HKG,0
1527835566,21.4095,114.7019,18425,162,304,76AA70,SIN,HKG,0
1527835636,21.3196,114.6996,18000,191,306,76AA70,SIN,HKG,0
1527835694,21.3591,114.5951,15150,341,328,76AA70,SIN,HKG,0
1527835758,21.4508,114.5666,14150,343,317,76AA70,SIN,HKG,0
1527835824,21.5446,114.5368,13100,343,315,76AA70,SIN,HKG,0
1527835885,21.6287,114.5102,13000,343,315,76AA70,SIN,HKG,0
1527835944,21.7122,114.4807,12350,341,313,76AA70,SIN,HKG,0
1527836005,21.7938,114.4523,11575,342,307,76AA70,SIN,HKG,0
1527836066,21.8757,114.4237,10750,342,300,76AA70,SIN,HKG,0
1527836120,21.9382,114.4009,10550,341,298,76AA70,SIN,HKG,0
1527836190,22.0397,114.3662,8900,341,292,76AA70,SIN,HKG,0
1527836249,22.1153,114.3399,8050,341,289,76AA70,SIN,HKG,0
1527836313,22.197,114.3096,7050,337,286,76AA70,SIN,HKG,0
1527836374,22.2713,114.276,6025,336,284,76AA70,SIN,HKG,0
1527836434,22.3402,114.2448,5275,337,260,76AA70,SIN,HKG,0
1527836494,22.3943,114.2035,4900,296,221,76AA70,SIN,HKG,0
1527836561,22.3875,114.1363,3850,251,208,76AA70,SIN,HKG,0
1527836621,22.3695,114.0799,2875,250,198,76AA70,SIN,HKG,0
1527836680,22.3517,114.0246,1875,250,183,76AA70,SIN,HKG,0
1527836737,22.3376,113.9808,1125,250,148,76AA70,SIN,HKG,0
1527836804,22.3224,113.9336,275,251,151,76AA70,SIN,HKG,0
1527836865,22.314,113.9104,0,222,15,76AA70,SIN,HKG,0
1527836925,22.314,113.913,0,70,15,76AA70,SIN,HKG,0
1527836985,22.3147,113.9154,0,70,27,76AA70,SIN,HKG,0
1527837034,22.3152,113.9168,0,70,2,76AA70,SIN,HKG,0
1527837092,22.3152,113.9168,0,70,2,76AA70,SIN,HKG,0
1527837152,22.3152,113.9168,0,70,0,76AA70,SIN,HKG,0
1527837152,22.3152,113.9168,0,70,0,76AA70,SIN,HKG,0
1527837342,22.3152,113.9168,0,103,0,76AA70,SIN,HKG,0
1527837413,22.3152,113.9176,0,123,22,76AA70,SIN,HKG,0
1527837470,22.3138,113.9155,0,250,34,76AA70,SIN,HKG,0
1527837530,22.3113,113.9153,0,160,28,76AA70,SIN,HKG,0
1527837557,22.3108,113.9159,0,73,17,76AA70,SIN,HKG,0
1527837616,22.311,113.9165,0,180,0,76AA70,SIN,HKG,0
