timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner
1527848792,24.2539,120.6007,0,103,9,8990AE,RMQ,HKG,0
1527848857,24.2535,120.601,0,180,0,8990AE,RMQ,HKG,0
1527848857,24.2535,120.601,0,180,0,8990AE,RMQ,HKG,0
1527848985,24.2574,120.6033,0,87,28,8990AE,RMQ,HKG,0
1527848996,24.2572,120.6041,0,106,33,8990AE,RMQ,HKG,0
1527849091,24.2537,120.6096,0,196,32,8990AE,RMQ,HKG,0
1527849161,24.2496,120.609,0,109,33,8990AE,RMQ,HKG,0
1527849173,24.2494,120.6098,0,106,30,8990AE,RMQ,HKG,0
1527849480,24.297,120.6177,2025,354,174,8990AE,RMQ,HKG,0
1527849542,24.3186,120.5701,3300,242,252,8990AE,RMQ,HKG,0
1527849608,24.2642,120.4864,5550,229,337,8990AE,RMQ,HKG,0
1527849667,24.201,120.4061,8800,229,354,8990AE,RMQ,HKG,0
1527849724,24.1385,120.3261,11675,229,370,8990AE,RMQ,HKG,0
1527849784,24.0711,120.2399,14375,229,387,8990AE,RMQ,HKG,0
1527849846,23.9963,120.1447,16825,229,406,8990AE,RMQ,HKG,0
1527849908,23.919,120.0464,19150,229,419,8990AE,RMQ,HKG,0
1527849971,23.838,119.9435,21375,229,430,8990AE,RMQ,HKG,0
1527850031,23.7589,119.8434,23150,229,444,8990AE,RMQ,HKG,0
1527850093,23.6764,119.7394,24800,229,455,8990AE,RMQ,HKG,0
1527850152,23.5932,119.6323,26325,233,463,8990AE,RMQ,HKG,0
1527850196,23.5439,119.5487,27050,237,472,8990AE,RMQ,HKG,0
1527850269,23.454,119.3938,28025,237,486,8990AE,RMQ,HKG,0
1527850339,23.3699,119.2491,28000,237,488,8990AE,RMQ,HKG,0
1527850400,23.2966,119.1232,28000,237,489,8990AE,RMQ,HKG,0
1527850460,23.2229,118.9967,28000,237,489,8990AE,RMQ,HKG,0
1527850518,23.1531,118.8776,28000,237,489,8990AE,RMQ,HKG,0
1527850582,23.075,118.7449,28000,237,487,8990AE,RMQ,HKG,0
1527850642,23.0023,118.6217,28000,237,487,8990AE,RMQ,HKG,0
1527850697,22.9374,118.512,28000,237,485,8990AE,RMQ,HKG,0
1527850758,22.8615,118.3847,28000,237,486,8990AE,RMQ,HKG,0
