timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner
1527830143,37.4545,126.4473,0,247,26,800738,ICN,HKG,0
1527830304,37.448,126.4418,0,151,22,800738,ICN,HKG,0
1527830315,37.4477,126.4421,0,151,23,800738,ICN,HKG,0
1527830971,37.4725,126.4162,775,324,161,800738,ICN,HKG,0
1527831038,37.5028,126.372,3300,304,163,800738,ICN,HKG,0
1527831092,37.5059,126.3081,4375,267,249,800738,ICN,HKG,0
1527831151,37.5073,126.2209,7000,271,275,800738,ICN,HKG,0
1527831225,37.4311,126.1527,10375,180,308,800738,ICN,HKG,0
1527831289,37.3504,126.2194,11975,131,367,800738,ICN,HKG,0
1527831328,37.3059,126.2836,13950,131,377,800738,ICN,HKG,0
1527831409,37.2088,126.4201,17725,136,404,800738,ICN,HKG,0
1527831469,37.1048,126.4848,20350,159,427,800738,ICN,HKG,0
1527831528,36.9897,126.5323,22850,165,445,800738,ICN,HKG,0
1527831589,36.867,126.5727,25225,165,453,800738,ICN,HKG,0
1527831649,36.7407,126.6142,27425,165,467,800738,ICN,HKG,0
1527831714,36.6014,126.6609,29650,164,481,800738,ICN,HKG,0
1527831774,36.4735,126.7039,31425,164,502,800738,ICN,HKG,0
1527831839,36.3224,126.7546,33350,164,503,800738,ICN,HKG,0
1527831893,36.2014,126.7953,35250,165,498,800738,ICN,HKG,0
1527831959,36.0494,126.8012,37125,185,498,800738,ICN,HKG,0
1527832017,35.9117,126.7862,38000,185,497,800738,ICN,HKG,0
1527832084,35.7593,126.7695,38000,184,497,800738,ICN,HKG,0
1527832142,35.6262,126.7553,37975,184,496,800738,ICN,HKG,0
1527832205,35.4869,126.7403,38000,185,495,800738,ICN,HKG,0
1527832262,35.3507,126.7259,37975,184,496,800738,ICN,HKG,0
1527832323,35.2091,126.7107,37975,185,498,800738,ICN,HKG,0
1527832388,35.062,126.695,38000,185,504,800738,ICN,HKG,0
1527832449,34.9207,126.68,37975,185,505,800738,ICN,HKG,0
1527832506,34.7865,126.666,38000,184,502,800738,ICN,HKG,0
1527832568,34.6474,126.6513,38000,184,500,800738,ICN,HKG,0
1527832627,34.5066,126.6364,38000,184,499,800738,ICN,HKG,0
1527832690,34.3609,126.6212,38000,184,500,800738,ICN,HKG,0
1527832752,34.2304,126.5872,37975,204,501,800738,ICN,HKG,0
1527832810,34.0805,126.592,38000,184,503,800738,ICN,HKG,0
1527832871,33.9408,126.5775,38000,184,499,800738,ICN,HKG,0
1527832931,33.8053,126.5512,38000,196,490,800738,ICN,HKG,0
