timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner
1527851124,18.0204,107.1385,32975,54,468,7501E6,KUL,HKG,0
1527851184,18.0853,107.2325,32975,54,468,7501E6,KUL,HKG,0
1527851230,18.1509,107.3654,32975,57,470,7501E6,KUL,HKG,0
1527851304,18.2313,107.4818,32975,54,470,7501E6,KUL,HKG,0
1527851364,18.2965,107.5763,32975,54,470,7501E6,KUL,HKG,0
1527851436,18.3747,107.6898,32975,54,470,7501E6,KUL,HKG,0
1527851496,18.4396,107.7845,32975,55,470,7501E6,KUL,HKG,0
1527851556,18.5099,107.8905,32975,55,470,7501E6,KUL,HKG,0
1527851616,18.5847,108.0032,32975,55,470,7501E6,KUL,HKG,0
1527851688,18.6745,108.1385,32975,55,470,7501E6,KUL,HKG,0
1527851748,18.7493,108.2514,32975,55,470,7501E6,KUL,HKG,0
1527851800,18.8472,108.4171,33075,55,465,7501E6,KUL,HKG,0
1527851860,18.9101,108.5121,33075,55,465,7501E6,KUL,HKG,0
1527851916,19.0188,108.6286,33075,50,467,7501E6,KUL,HKG,0
1527851984,19.118,108.7444,33075,38,468,7501E6,KUL,HKG,0
1527852043,19.2155,108.8245,33075,37,467,7501E6,KUL,HKG,0
1527852104,19.3022,108.9165,33100,56,467,7501E6,KUL,HKG,0
1527852172,19.4395,109.0064,33075,37,467,7501E6,KUL,HKG,0
1527852235,19.5454,109.0931,33125,37,463,7501E6,KUL,HKG,0
1527852296,19.649,109.1792,33025,38,463,7501E6,KUL,HKG,0
1527852344,19.7103,109.253,33025,58,463,7501E6,KUL,HKG,0
1527852418,19.8603,109.3496,33100,36,464,7501E6,KUL,HKG,0
1527852468,19.9285,109.4249,33100,57,463,7501E6,KUL,HKG,0
1527852536,20.0461,109.5294,33100,47,457,7501E6,KUL,HKG,0
1527852575,20.0987,109.5982,33100,53,455,7501E6,KUL,HKG,0
1527852651,20.1842,109.7292,33125,60,453,7501E6,KUL,HKG,0
1527852721,20.2695,109.8611,33050,57,446,7501E6,KUL,HKG,0
1527852782,20.3374,109.9739,33050,57,448,7501E6,KUL,HKG,0
1527852844,20.3925,110.1004,33050,70,449,7501E6,KUL,HKG,0
1527852904,20.4338,110.2266,33100,70,449,7501E6,KUL,HKG,0
1527852962,20.4734,110.3475,33125,70,447,7501E6,KUL,HKG,0
1527853025,20.5163,110.4797,33075,71,447,7501E6,KUL,HKG,0
1527853092,20.5613,110.6184,33100,71,447,7501E6,KUL,HKG,0
1527853153,20.6019,110.7441,33075,71,446,7501E6,KUL,HKG,0
1527853210,20.641,110.8655,33075,71,448,7501E6,KUL,HKG,0
1527853273,20.6819,110.9931,33100,71,447,7501E6,KUL,HKG,0
1527853330,20.7218,111.1174,33100,71,446,7501E6,KUL,HKG,0
1527853396,20.7642,111.2502,33075,71,444,7501E6,KUL,HKG,0
1527853455,20.8049,111.3782,33075,71,444,7501E6,KUL,HKG,0
1527853517,20.8456,111.5062,33075,71,445,7501E6,KUL,HKG,0
1527853575,20.8861,111.6259,33100,70,446,7501E6,KUL,HKG,0
1527853642,20.9327,111.7638,33100,70,445,7501E6,KUL,HKG,0
1527853698,20.9727,111.8829,33100,70,444,7501E6,KUL,HKG,0
1527853754,21.0107,111.9965,33075,70,444,7501E6,KUL,HKG,0
1527853826,21.0596,112.1426,33075,70,443,7501E6,KUL,HKG,0
1527853877,21.1108,112.2262,33100,52,443,7501E6,KUL,HKG,0
1527853945,21.1423,112.3911,33050,70,441,7501E6,KUL,HKG,0
1527854007,21.1841,112.5171,32350,70,413,7501E6,KUL,HKG,0
1527854070,21.2217,112.6311,31400,70,394,7501E6,KUL,HKG,0
1527854127,21.2578,112.7404,30425,70,392,7501E6,KUL,HKG,0
1527854193,21.2976,112.8616,28450,70,393,7501E6,KUL,HKG,0
1527854249,21.331,112.9633,26650,70,387,7501E6,KUL,HKG,0
1527854312,21.368,113.0764,24675,70,378,7501E6,KUL,HKG,0
1527854374,21.4006,113.1765,23375,70,339,7501E6,KUL,HKG,0
1527854436,21.4324,113.2734,21100,70,321,7501E6,KUL,HKG,0
