timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner
1527843536,18.0429,110.4922,23000,36,425,88803B,DAD,HKG,0
1527843596,18.1383,110.5651,23000,36,425,88803B,DAD,HKG,0
1527843776,18.021,111.3875,27000,28,458,88803B,DAD,HKG,0
1527843836,18.1164,111.4409,27000,28,458,88803B,DAD,HKG,0
1527843885,18.108,111.6873,27000,56,460,88803B,DAD,HKG,0
1527843960,18.2261,111.7566,27000,26,460,88803B,DAD,HKG,0
1527844020,18.3236,111.8067,27000,26,460,88803B,DAD,HKG,0
1527844080,18.4212,111.8568,27000,26,460,88803B,DAD,HKG,0
1527844140,18.5187,111.907,27000,26,460,88803B,DAD,HKG,0
1527844200,18.6232,111.9607,27000,26,460,88803B,DAD,HKG,0
1527844260,18.7379,112.0198,27000,26,460,88803B,DAD,HKG,0
1527844320,18.8527,112.0789,27000,26,460,88803B,DAD,HKG,0
1527844388,18.8627,112.4229,27000,21,464,88803B,DAD,HKG,0
1527844448,18.9649,112.4644,27000,21,464,88803B,DAD,HKG,0
1527844508,19.0671,112.5059,27000,21,464,88803B,DAD,HKG,0
1527844568,19.1694,112.5474,27000,21,464,88803B,DAD,HKG,0
1527844628,19.2716,112.5889,27000,21,464,88803B,DAD,HKG,0
1527844700,19.4119,112.6471,27000,22,464,88803B,DAD,HKG,0
1527844760,19.5313,112.6982,27000,22,464,88803B,DAD,HKG,0
1527844799,19.7328,112.6333,27000,9,466,88803B,DAD,HKG,0
1527844872,19.855,112.6911,27000,24,466,88803B,DAD,HKG,0
1527844932,19.9555,112.7387,27000,24,466,88803B,DAD,HKG,0
1527844992,20.0559,112.7863,27000,24,466,88803B,DAD,HKG,0
1527845064,20.2551,112.743,26075,27,388,88803B,DAD,HKG,0
1527845124,20.3577,112.7626,26000,28,383,88803B,DAD,HKG,0
1527845181,20.4691,112.7688,26000,9,385,88803B,DAD,HKG,0
1527845244,20.5719,112.8024,26000,29,387,88803B,DAD,HKG,0
1527845308,20.6945,112.8104,26000,10,386,88803B,DAD,HKG,0
1527845364,20.7844,112.8419,26000,29,386,88803B,DAD,HKG,0
1527845415,20.8862,112.846,26000,9,387,88803B,DAD,HKG,0
1527845487,21.0135,112.8697,26000,9,386,88803B,DAD,HKG,0
1527845545,21.1156,112.8886,26000,9,386,88803B,DAD,HKG,0
1527845615,21.2365,112.9251,26000,26,386,88803B,DAD,HKG,0
1527845673,21.3181,112.9927,25975,47,387,88803B,DAD,HKG,0
1527845733,21.3716,113.0866,25475,68,356,88803B,DAD,HKG,0
1527845794,21.438,113.1618,24000,37,347,88803B,DAD,HKG,0
1527845857,21.5179,113.2271,22650,37,336,88803B,DAD,HKG,0
1527845921,21.5926,113.2928,21150,56,328,88803B,DAD,HKG,0
1527845978,21.5795,113.3765,20225,127,320,88803B,DAD,HKG,0
1527846032,21.5299,113.4427,19375,128,313,88803B,DAD,HKG,0
1527846100,21.4692,113.5234,17900,129,311,88803B,DAD,HKG,0
1527846145,21.4407,113.5812,17150,92,300,88803B,DAD,HKG,0
1527846221,21.5178,113.6498,15700,21,302,88803B,DAD,HKG,0
1527846286,21.6022,113.6856,14175,22,300,88803B,DAD,HKG,0
1527846346,21.6737,113.7285,13000,42,288,88803B,DAD,HKG,0
1527846408,21.7377,113.7827,11650,27,285,88803B,DAD,HKG,0
1527846468,21.8083,113.8222,10325,28,280,88803B,DAD,HKG,0
1527846528,21.8756,113.8615,9125,28,271,88803B,DAD,HKG,0
1527846594,21.9503,113.8497,8100,337,249,88803B,DAD,HKG,0
1527846655,22.0148,113.8209,7000,337,243,88803B,DAD,HKG,0
1527846718,22.0718,113.7844,6025,326,213,88803B,DAD,HKG,0
1527846776,22.1217,113.7547,4975,337,216,88803B,DAD,HKG,0
1527846828,22.1683,113.7336,4375,337,197,88803B,DAD,HKG,0
1527846897,22.2242,113.7076,3175,336,190,88803B,DAD,HKG,0
1527846962,22.2582,113.7349,2650,70,160,88803B,DAD,HKG,0
1527847022,22.2728,113.78,2175,70,155,88803B,DAD,HKG,0
1527847083,22.2871,113.8241,1500,70,149,88803B,DAD,HKG,0
1527847139,22.2992,113.8615,825,70,138,88803B,DAD,HKG,0
1527847200,22.3121,113.9015,125,70,132,88803B,DAD,HKG,0
1527847268,22.3162,113.919,0,101,25,88803B,DAD,HKG,0
1527847336,22.3149,113.9207,0,160,29,88803B,DAD,HKG,0
1527847396,22.3118,113.9219,0,165,13,88803B,DAD,HKG,0
1527847452,22.3114,113.9208,0,250,2,88803B,DAD,HKG,0
1527847482,22.3114,113.9207,0,180,0,88803B,DAD,HKG,0
