timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner
1527820289,25.0777,121.2378,0,312,12,899053,TPE,HKG,0
1527820289,25.0777,121.2378,0,312,12,899053,TPE,HKG,0
1527820786,25.0751,121.2352,0,230,11,899053,TPE,HKG,0
1527820856,25.0738,121.2335,0,227,19,899053,TPE,HKG,0
1527820915,25.0738,121.2335,0,227,19,899053,TPE,HKG,0
1527820967,25.0705,121.2311,0,230,28,899053,TPE,HKG,0
1527821018,25.0684,121.2284,0,227,17,899053,TPE,HKG,0
1527821072,25.0665,121.226,0,227,29,899053,TPE,HKG,0
1527821136,25.0647,121.2237,0,227,23,899053,TPE,HKG,0
1527821458,25.0642,121.2231,0,227,12,899053,TPE,HKG,0
1527821471,25.0641,121.223,0,227,10,899053,TPE,HKG,0
1527821833,25.062,121.2226,0,149,12,899053,TPE,HKG,0
1527821888,25.0619,121.2227,0,89,0,899053,TPE,HKG,0
1527821942,25.0619,121.2227,0,89,0,899053,TPE,HKG,0
1527822017,25.0617,121.2229,0,140,18,899053,TPE,HKG,0
1527822064,25.0614,121.2242,0,53,11,899053,TPE,HKG,0
1527822139,25.0756,121.2421,450,48,156,899053,TPE,HKG,0
1527822202,25.1052,121.2806,2300,49,181,899053,TPE,HKG,0
1527822248,25.1375,121.3095,3625,7,213,899053,TPE,HKG,0
1527822320,25.1959,121.25,5575,310,276,899053,TPE,HKG,0
1527822383,25.247,121.185,7075,311,268,899053,TPE,HKG,0
1527822431,25.279,121.1311,7075,277,268,899053,TPE,HKG,0
1527822506,25.2253,121.0438,10150,228,282,899053,TPE,HKG,0
1527822566,25.1662,120.9765,11425,223,328,899053,TPE,HKG,0
1527822628,25.0948,120.9005,12800,224,365,899053,TPE,HKG,0
1527822687,25.0211,120.8216,14900,224,371,899053,TPE,HKG,0
1527822751,24.9404,120.7347,16650,224,387,899053,TPE,HKG,0
1527822809,24.8645,120.6536,17950,224,407,899053,TPE,HKG,0
1527822873,24.7776,120.5607,19525,224,415,899053,TPE,HKG,0
1527822926,24.7026,120.4882,20850,214,423,899053,TPE,HKG,0
1527822992,24.5922,120.4053,22500,214,428,899053,TPE,HKG,0
1527823055,24.4874,120.3256,23675,214,441,899053,TPE,HKG,0
1527823108,24.4012,120.2596,24700,215,447,899053,TPE,HKG,0
1527823179,24.2801,120.165,25950,215,459,899053,TPE,HKG,0
1527823234,24.1787,120.0864,27150,215,461,899053,TPE,HKG,0
1527823294,24.0754,120.0067,28125,215,469,899053,TPE,HKG,0
1527823358,23.9614,119.9189,29700,215,464,899053,TPE,HKG,0
1527823416,23.8578,119.8392,30875,215,464,899053,TPE,HKG,0
1527823477,23.7531,119.7589,32200,215,459,899053,TPE,HKG,0
1527823544,23.6367,119.6693,33425,215,459,899053,TPE,HKG,0
1527823604,23.5549,119.5682,34000,239,448,899053,TPE,HKG,0
1527823665,23.4869,119.4506,33975,237,452,899053,TPE,HKG,0
1527823729,23.4165,119.3296,33975,237,454,899053,TPE,HKG,0
1527823789,23.3489,119.2133,34000,237,453,899053,TPE,HKG,0
