timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner
1527813640,18.0966,111.3977,41000,28,465,78019C,SGN,HKG,0
1527813700,18.1935,111.4519,41000,28,465,78019C,SGN,HKG,0
1527813770,18.2143,111.729,41000,56,465,78019C,SGN,HKG,0
1527813824,18.2869,111.8096,41000,36,465,78019C,SGN,HKG,0
1527813884,18.3864,111.8585,41000,25,465,78019C,SGN,HKG,0
1527813944,18.4858,111.9074,41000,25,465,78019C,SGN,HKG,0
1527814004,18.5852,111.9563,41000,25,465,78019C,SGN,HKG,0
1527814079,18.6463,112.2418,41000,27,463,78019C,SGN,HKG,0
1527814136,18.7428,112.2849,41000,22,463,78019C,SGN,HKG,0
1527814196,18.8441,112.3281,41000,22,463,78019C,SGN,HKG,0
1527814256,18.9453,112.3713,41000,22,463,78019C,SGN,HKG,0
1527814316,19.0465,112.415,41000,23,463,78019C,SGN,HKG,0
1527814376,19.1471,112.4602,41000,23,463,78019C,SGN,HKG,0
1527814436,19.2654,112.5134,41000,23,463,78019C,SGN,HKG,0
1527814496,19.3837,112.5666,41000,23,463,78019C,SGN,HKG,0
1527814560,19.5888,112.6074,41000,9,456,78019C,SGN,HKG,0
1527814625,19.7238,112.6322,41000,9,455,78019C,SGN,HKG,0
1527814668,19.8133,112.6486,41000,9,453,78019C,SGN,HKG,0
1527814740,19.9324,112.7032,41000,25,453,78019C,SGN,HKG,0
1527814800,20.0293,112.7513,41000,25,453,78019C,SGN,HKG,0
1527814868,20.2302,112.7534,40725,27,457,78019C,SGN,HKG,0
1527814928,20.3263,112.8056,40725,27,457,78019C,SGN,HKG,0
1527814989,20.4838,112.7719,38150,9,458,78019C,SGN,HKG,0
1527815049,20.6127,112.7957,37150,9,461,78019C,SGN,HKG,0
1527815111,20.7413,112.8195,36150,9,463,78019C,SGN,HKG,0
1527815170,20.8661,112.8427,34575,9,466,78019C,SGN,HKG,0
1527815209,20.9484,112.8579,33200,9,460,78019C,SGN,HKG,0
1527815301,21.1311,112.9045,30400,21,442,78019C,SGN,HKG,0
1527815356,21.2311,112.9632,28725,34,433,78019C,SGN,HKG,0
1527815418,21.3233,113.0526,26325,49,433,78019C,SGN,HKG,0
1527815474,21.3853,113.1499,24650,61,419,78019C,SGN,HKG,0
1527815537,21.4337,113.2779,23525,70,451,78019C,SGN,HKG,0
1527815603,21.4777,113.4137,21600,70,438,78019C,SGN,HKG,0
1527815660,21.5157,113.5308,20000,70,425,78019C,SGN,HKG,0
1527815724,21.5826,113.6347,18375,44,409,78019C,SGN,HKG,0
1527815785,21.6606,113.7176,17450,45,369,78019C,SGN,HKG,0
1527815845,21.7318,113.7868,16325,41,325,78019C,SGN,HKG,0
1527815906,21.8092,113.8426,15075,28,311,78019C,SGN,HKG,0
1527815966,21.8812,113.885,15000,28,292,78019C,SGN,HKG,0
1527816026,21.9528,113.9274,15000,28,292,78019C,SGN,HKG,0
1527816089,22.0281,113.9724,15000,29,294,78019C,SGN,HKG,0
1527816150,22.0812,114.0348,14150,72,296,78019C,SGN,HKG,0
1527816217,22.109,114.1252,12100,70,289,78019C,SGN,HKG,0
1527816276,22.1361,114.2051,10900,60,283,78019C,SGN,HKG,0
1527816340,22.1943,114.2676,8900,22,279,78019C,SGN,HKG,0
1527816397,22.2672,114.2797,6950,6,271,78019C,SGN,HKG,0
1527816460,22.3389,114.2664,5550,346,242,78019C,SGN,HKG,0
1527816522,22.386,114.2246,5025,291,212,78019C,SGN,HKG,0
1527816568,22.4,114.1805,4625,270,205,78019C,SGN,HKG,0
1527816642,22.3786,114.1083,3275,250,201,78019C,SGN,HKG,0
1527816709,22.3591,114.0477,2225,250,177,78019C,SGN,HKG,0
1527816765,22.3449,114.0035,1425,250,153,78019C,SGN,HKG,0
1527816829,22.3313,113.9611,675,251,138,78019C,SGN,HKG,0
1527816875,22.3216,113.931,150,250,134,78019C,SGN,HKG,0
1527816946,22.3133,113.9103,0,143,28,78019C,SGN,HKG,0
1527816985,22.3138,113.9125,0,70,16,78019C,SGN,HKG,0
1527817064,22.3148,113.9188,0,160,31,78019C,SGN,HKG,0
1527817130,22.3103,113.9204,0,160,16,78019C,SGN,HKG,0
1527817190,22.3075,113.9215,0,160,16,78019C,SGN,HKG,0
1527817229,22.3075,113.9215,0,160,17,78019C,SGN,HKG,0
1527817320,22.3074,113.9215,0,160,13,78019C,SGN,HKG,0
1527817379,22.3069,113.9227,0,70,26,78019C,SGN,HKG,0
1527817438,22.3078,113.9254,0,70,30,78019C,SGN,HKG,0
1527817486,22.3091,113.9276,0,25,24,78019C,SGN,HKG,0
1527817540,22.3116,113.9289,0,36,31,78019C,SGN,HKG,0
1527817607,22.3129,113.9334,0,98,26,78019C,SGN,HKG,0
1527817650,22.3133,113.9347,0,70,21,78019C,SGN,HKG,0
