timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner
1527833360,53.9344,120.5786,35975,192,497,ABE56D,SEA,HKG,0
1527833420,53.7995,120.5299,35975,192,497,ABE56D,SEA,HKG,0
1527833480,53.6645,120.4815,35975,192,497,ABE56D,SEA,HKG,0
1527833540,53.5296,120.4331,35975,192,497,ABE56D,SEA,HKG,0
1527833600,53.3946,120.385,35975,192,497,ABE56D,SEA,HKG,0
1527833660,53.2597,120.337,35975,192,497,ABE56D,SEA,HKG,0
1527833732,53.0977,120.2795,35975,192,497,ABE56D,SEA,HKG,0
1527833792,52.9628,120.2319,35975,192,497,ABE56D,SEA,HKG,0
1527833852,52.8279,120.1843,35975,192,497,ABE56D,SEA,HKG,0
1527833912,52.6929,120.137,35975,192,497,ABE56D,SEA,HKG,0
1527833972,52.558,120.0897,35975,192,497,ABE56D,SEA,HKG,0
1527834038,52.6764,118.654,35975,211,485,ABE56D,SEA,HKG,0
1527834098,52.5618,118.5378,35975,211,483,ABE56D,SEA,HKG,0
1527834160,52.4443,118.4192,36000,211,482,ABE56D,SEA,HKG,0
1527834216,52.3348,118.3096,35975,211,481,ABE56D,SEA,HKG,0
1527834280,52.2179,118.193,35975,211,481,ABE56D,SEA,HKG,0
1527834342,52.0992,118.0749,36000,211,483,ABE56D,SEA,HKG,0
1527834402,51.9817,117.9588,35975,211,484,ABE56D,SEA,HKG,0
1527834460,51.8739,117.853,36000,211,481,ABE56D,SEA,HKG,0
1527834528,51.747,117.7293,35975,211,480,ABE56D,SEA,HKG,0
1527834580,51.6479,117.6331,35975,211,481,ABE56D,SEA,HKG,0
1527834644,51.5283,117.6035,35975,187,481,ABE56D,SEA,HKG,0
1527834704,51.4157,117.5813,35975,187,481,ABE56D,SEA,HKG,0
1527834764,51.303,117.5592,35975,187,481,ABE56D,SEA,HKG,0
1527834808,51.2142,117.2186,35975,210,481,ABE56D,SEA,HKG,0
1527834900,51.0358,117.051,35975,210,481,ABE56D,SEA,HKG,0
1527834963,50.9149,116.9381,36000,210,481,ABE56D,SEA,HKG,0
1527835023,50.8001,116.8316,36000,210,480,ABE56D,SEA,HKG,0
1527835087,50.6782,116.7191,36000,210,477,ABE56D,SEA,HKG,0
1527835147,50.5611,116.6117,36000,210,476,ABE56D,SEA,HKG,0
1527835204,50.456,116.516,36000,210,476,ABE56D,SEA,HKG,0
1527835254,50.3653,116.4213,35975,218,474,ABE56D,SEA,HKG,0
1527835320,50.25,116.3221,35975,185,472,ABE56D,SEA,HKG,0
1527835392,50.1169,116.3039,35975,185,472,ABE56D,SEA,HKG,0
1527835439,50.0694,115.9925,36000,222,471,ABE56D,SEA,HKG,0
1527835511,49.9544,115.8276,36000,222,473,ABE56D,SEA,HKG,0
1527835572,49.8471,115.754,36000,184,475,ABE56D,SEA,HKG,0
1527835631,49.7183,115.6516,36000,199,481,ABE56D,SEA,HKG,0
1527835689,49.5975,115.5872,36000,199,483,ABE56D,SEA,HKG,0
1527835753,49.4629,115.5155,36000,199,483,ABE56D,SEA,HKG,0
1527835823,49.3136,115.4364,36000,199,484,ABE56D,SEA,HKG,0
1527835882,49.185,115.3686,36000,199,483,ABE56D,SEA,HKG,0
