timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner
1527811192,24.397,104.0923,39100,101,488,896488,AUH,HKG,0
1527811252,24.375,104.2164,39100,101,488,896488,AUH,HKG,0
1527811312,24.353,104.3405,39100,101,488,896488,AUH,HKG,0
1527811384,24.3228,104.5112,39100,101,488,896488,AUH,HKG,0
1527811432,24.3021,104.628,39100,101,488,896488,AUH,HKG,0
1527811492,24.2762,104.7738,39100,101,488,896488,AUH,HKG,0
1527811564,24.2452,104.9489,39100,101,488,896488,AUH,HKG,0
1527811624,24.2193,105.0947,39100,101,488,896488,AUH,HKG,0
1527811684,24.1934,105.2405,39100,101,488,896488,AUH,HKG,0
1527811744,24.1676,105.3862,39100,101,488,896488,AUH,HKG,0
1527811936,24.0848,105.8525,39100,101,488,896488,AUH,HKG,0
1527812008,24.0538,106.0272,39100,101,488,896488,AUH,HKG,0
1527812053,23.9417,106.2167,39100,79,489,896488,AUH,HKG,0
1527812128,23.9159,106.3719,39100,101,489,896488,AUH,HKG,0
1527812188,23.8939,106.4958,39100,101,489,896488,AUH,HKG,0
1527812248,23.8719,106.6197,39100,101,489,896488,AUH,HKG,0
1527812308,23.8499,106.7435,39100,101,489,896488,AUH,HKG,0
1527812373,24.0506,106.9978,39100,90,490,896488,AUH,HKG,0
1527812427,24.0399,107.1309,39075,94,486,896488,AUH,HKG,0
1527812490,24.0277,107.2851,39100,95,486,896488,AUH,HKG,0
1527812550,24.0148,107.4343,39100,97,489,896488,AUH,HKG,0
1527812611,24.0007,107.5829,39100,92,490,896488,AUH,HKG,0
1527812671,23.9958,107.7323,39100,91,487,896488,AUH,HKG,0
1527812733,23.9911,107.8812,39100,91,486,896488,AUH,HKG,0
1527812794,24.0008,108.0349,39075,85,480,896488,AUH,HKG,0
1527812856,24.0055,108.1811,39075,90,478,896488,AUH,HKG,0
1527812916,24.0031,108.3268,39075,90,480,896488,AUH,HKG,0
1527812972,24.0009,108.4628,39100,91,484,896488,AUH,HKG,0
1527813044,23.998,108.6368,39100,91,489,896488,AUH,HKG,0
1527813101,23.9759,108.7769,39075,102,492,896488,AUH,HKG,0
1527813164,23.9458,108.9309,39100,102,495,896488,AUH,HKG,0
1527813225,23.9137,109.0788,39100,107,497,896488,AUH,HKG,0
1527813282,23.8723,109.2108,39100,108,496,896488,AUH,HKG,0
1527813344,23.8264,109.3564,39100,108,496,896488,AUH,HKG,0
1527813401,23.7816,109.4981,39075,108,499,896488,AUH,HKG,0
1527813464,23.7351,109.6458,39075,108,501,896488,AUH,HKG,0
1527813520,23.696,109.7697,39100,109,500,896488,AUH,HKG,0
1527813584,23.6451,109.9318,39075,108,498,896488,AUH,HKG,0
1527813640,23.6026,110.0669,39075,108,498,896488,AUH,HKG,0
1527813704,23.5618,110.1962,39075,109,498,896488,AUH,HKG,0
1527813771,23.5057,110.3759,39100,108,499,896488,AUH,HKG,0
1527813825,23.4647,110.5065,39100,108,498,896488,AUH,HKG,0
1527813892,23.4192,110.6515,39000,109,494,896488,AUH,HKG,0
1527813950,23.3712,110.7956,35975,115,467,896488,AUH,HKG,0
1527814011,23.3168,110.9229,33050,108,472,896488,AUH,HKG,0
1527814080,23.2784,111.081,31075,103,469,896488,AUH,HKG,0
1527814141,23.2491,111.2205,31100,102,473,896488,AUH,HKG,0
1527814202,23.2206,111.3589,31075,102,474,896488,AUH,HKG,0
1527814263,23.1913,111.4999,31075,102,472,896488,AUH,HKG,0
1527814320,23.1637,111.632,31100,102,471,896488,AUH,HKG,0
