timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner
1527837593,21.2251,110.3552,0,264,0,780587,ZHA,HKG,0
1527837629,21.2242,110.3555,0,163,43,780587,ZHA,HKG,0
1527837715,21.1784,110.3851,2800,126,162,780587,ZHA,HKG,0
1527837775,21.1441,110.4301,3950,129,225,780587,ZHA,HKG,0
1527837839,21.1005,110.4871,5700,127,235,780587,ZHA,HKG,0
1527837900,21.0797,110.5542,8700,104,245,780587,ZHA,HKG,0
1527837952,21.0634,110.6199,10550,104,290,780587,ZHA,HKG,0
1527838026,21.036,110.7309,14400,104,315,780587,ZHA,HKG,0
1527838088,21.0131,110.8239,17750,104,325,780587,ZHA,HKG,0
1527838131,20.9954,110.895,18725,104,361,780587,ZHA,HKG,0
1527838208,20.9633,111.0211,18700,105,378,780587,ZHA,HKG,0
1527838268,20.9402,111.1133,18700,105,378,780587,ZHA,HKG,0
1527838307,20.9152,111.2105,18700,104,377,780587,ZHA,HKG,0
1527838392,20.8847,111.3414,18700,104,377,780587,ZHA,HKG,0
1527838452,20.8632,111.4338,18700,104,377,780587,ZHA,HKG,0
1527838511,20.8707,111.5799,18700,70,375,780587,ZHA,HKG,0
1527838573,20.9059,111.6853,18000,70,367,780587,ZHA,HKG,0
1527838634,20.9406,111.7883,18000,70,364,780587,ZHA,HKG,0
1527838686,20.9711,111.8785,18000,70,367,780587,ZHA,HKG,0
1527838756,21.0073,111.9857,18000,70,367,780587,ZHA,HKG,0
1527838816,21.0369,112.0729,18000,70,367,780587,ZHA,HKG,0
1527838875,21.0791,112.2019,18000,70,369,780587,ZHA,HKG,0
1527838935,21.1145,112.3075,18000,70,395,780587,ZHA,HKG,0
1527839000,21.1524,112.4205,18000,70,396,780587,ZHA,HKG,0
1527839059,21.1916,112.5407,18000,70,396,780587,ZHA,HKG,0
1527839118,21.2266,112.6462,18000,70,396,780587,ZHA,HKG,0
1527839178,21.264,112.7597,18000,70,395,780587,ZHA,HKG,0
1527839237,21.3001,112.8693,18000,70,394,780587,ZHA,HKG,0
1527839308,21.3455,113.0049,17750,67,411,780587,ZHA,HKG,0
1527839369,21.4001,113.1133,16850,61,408,780587,ZHA,HKG,0
1527839431,21.4557,113.2208,16000,61,405,780587,ZHA,HKG,0
1527839488,21.5082,113.3235,15175,61,402,780587,ZHA,HKG,0
1527839551,21.5641,113.4319,14275,61,396,780587,ZHA,HKG,0
1527839604,21.6101,113.5221,13450,61,377,780587,ZHA,HKG,0
1527839677,21.667,113.6335,12350,61,343,780587,ZHA,HKG,0
1527839731,21.7093,113.7164,11550,61,341,780587,ZHA,HKG,0
1527839800,21.7614,113.8125,11000,51,307,780587,ZHA,HKG,0
1527839860,21.8225,113.8749,9575,42,301,780587,ZHA,HKG,0
1527839920,21.8989,113.8847,8050,336,285,780587,ZHA,HKG,0
1527839980,21.9704,113.8474,6425,333,284,780587,ZHA,HKG,0
1527840045,22.0442,113.8087,5250,333,266,780587,ZHA,HKG,0
1527840088,22.0914,113.7839,4525,334,258,780587,ZHA,HKG,0
1527840161,22.1753,113.752,3250,342,246,780587,ZHA,HKG,0
1527840224,22.2329,113.7321,2825,342,222,780587,ZHA,HKG,0
1527840288,22.2722,113.7785,2150,69,161,780587,ZHA,HKG,0
1527840348,22.2873,113.8247,1450,71,148,780587,ZHA,HKG,0
1527840413,22.3009,113.8666,725,70,143,780587,ZHA,HKG,0
1527840471,22.3134,113.9055,100,70,135,780587,ZHA,HKG,0
1527840533,22.3163,113.9185,0,101,25,780587,ZHA,HKG,0
1527840591,22.3152,113.9206,0,160,24,780587,ZHA,HKG,0
1527840652,22.3135,113.9227,0,115,29,780587,ZHA,HKG,0
1527840713,22.3118,113.9251,0,205,23,780587,ZHA,HKG,0
1527840718,22.3116,113.925,0,205,23,780587,ZHA,HKG,0
