timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner
1527845394,29.7151,106.6592,0,106,15,7801D4,CKG,HKG,0
1527845485,29.7147,106.6606,0,106,18,7801D4,CKG,HKG,0
1527845515,29.7146,106.6616,0,50,13,7801D4,CKG,HKG,0
1527845613,29.7307,106.6671,0,16,160,7801D4,CKG,HKG,0
1527845676,29.7745,106.689,3450,34,182,7801D4,CKG,HKG,0
1527845736,29.828,106.7308,4800,32,269,7801D4,CKG,HKG,0
1527845797,29.8938,106.7771,7775,31,284,7801D4,CKG,HKG,0
1527845859,29.9433,106.8552,10275,62,305,7801D4,CKG,HKG,0
1527845907,29.9705,106.9345,11425,89,353,7801D4,CKG,HKG,0
1527845981,29.9251,107.0498,14750,149,329,7801D4,CKG,HKG,0
1527846039,29.8336,107.0413,15475,197,364,7801D4,CKG,HKG,0
1527846103,29.7256,107.0037,16600,197,397,7801D4,CKG,HKG,0
1527846162,29.6288,106.9542,18275,204,399,7801D4,CKG,HKG,0
1527846222,29.5237,106.8986,20900,204,376,7801D4,CKG,HKG,0
1527846287,29.4185,106.8854,23175,177,368,7801D4,CKG,HKG,0
1527846337,29.3313,106.8899,24325,177,373,7801D4,CKG,HKG,0
1527846407,29.209,106.8957,24950,177,375,7801D4,CKG,HKG,0
1527846469,29.1026,106.9007,25775,177,394,7801D4,CKG,HKG,0
1527846531,28.9824,106.9064,26075,177,426,7801D4,CKG,HKG,0
1527846595,28.8536,106.9127,26575,177,448,7801D4,CKG,HKG,0
1527846654,28.727,106.919,27250,177,459,7801D4,CKG,HKG,0
1527846722,28.5854,106.9274,28750,177,449,7801D4,CKG,HKG,0
1527846778,28.4707,106.9341,30475,177,430,7801D4,CKG,HKG,0
1527846839,28.3519,106.9408,31475,177,429,7801D4,CKG,HKG,0
1527846898,28.2311,106.9475,32250,177,435,7801D4,CKG,HKG,0
1527846962,28.1011,106.9548,32975,177,441,7801D4,CKG,HKG,0
1527847023,27.9759,106.9614,33100,177,459,7801D4,CKG,HKG,0
1527847084,27.8449,106.9681,33100,177,473,7801D4,CKG,HKG,0
1527847143,27.7132,106.9749,33100,177,470,7801D4,CKG,HKG,0
1527847208,27.5746,106.9819,33100,177,470,7801D4,CKG,HKG,0
1527847268,27.4433,106.9886,33100,177,469,7801D4,CKG,HKG,0
1527847334,27.2983,106.9968,33100,177,470,7801D4,CKG,HKG,0
1527847395,27.1669,107.0048,33125,174,470,7801D4,CKG,HKG,0
1527847456,27.0414,107.0474,33125,152,478,7801D4,CKG,HKG,0
1527847507,26.951,107.1227,33100,136,483,7801D4,CKG,HKG,0
1527847562,26.8792,107.2427,33100,113,490,7801D4,CKG,HKG,0
1527847642,26.829,107.4293,33100,106,489,7801D4,CKG,HKG,0
1527847690,26.7984,107.5485,33075,106,487,7801D4,CKG,HKG,0
1527847759,26.7545,107.7187,33075,106,489,7801D4,CKG,HKG,0
1527847820,26.6914,107.8281,33075,127,489,7801D4,CKG,HKG,0
1527847880,26.6219,107.9312,33075,127,489,7801D4,CKG,HKG,0
1527847940,26.5525,108.0342,33075,127,489,7801D4,CKG,HKG,0
1527848000,26.483,108.1372,33075,127,489,7801D4,CKG,HKG,0
1527848064,26.5625,108.4563,34925,103,486,7801D4,CKG,HKG,0
1527848124,26.5294,108.6031,35100,104,483,7801D4,CKG,HKG,0
1527848190,26.4917,108.7646,35100,104,484,7801D4,CKG,HKG,0
1527848254,26.4488,108.9086,35100,113,484,7801D4,CKG,HKG,0
1527848310,26.3853,109.0321,35100,125,483,7801D4,CKG,HKG,0
1527848368,26.3005,109.1406,35100,136,480,7801D4,CKG,HKG,0
1527848434,26.1861,109.2456,35125,141,477,7801D4,CKG,HKG,0
1527848497,26.0815,109.3391,35075,141,477,7801D4,CKG,HKG,0
1527848556,25.9753,109.4272,35075,151,475,7801D4,CKG,HKG,0
1527848612,25.859,109.4834,35100,156,473,7801D4,CKG,HKG,0
1527848681,25.7254,109.5489,35100,154,472,7801D4,CKG,HKG,0
1527848741,25.6235,109.6453,35125,136,479,7801D4,CKG,HKG,0
1527848799,25.5315,109.7418,35075,136,478,7801D4,CKG,HKG,0
1527848866,25.424,109.855,35075,136,480,7801D4,CKG,HKG,0
1527848929,25.3212,109.9631,35100,136,480,7801D4,CKG,HKG,0
1527848986,25.2285,110.0603,35125,136,478,7801D4,CKG,HKG,0
1527849042,25.1377,110.1553,35100,136,477,7801D4,CKG,HKG,0
1527849108,25.0455,110.2631,35100,128,476,7801D4,CKG,HKG,0
1527849159,24.952,110.3523,35075,135,476,7801D4,CKG,HKG,0
1527849226,24.8458,110.4646,35100,136,478,7801D4,CKG,HKG,0
1527849284,24.7555,110.5597,35100,136,479,7801D4,CKG,HKG,0
1527849354,24.6417,110.6794,35100,136,480,7801D4,CKG,HKG,0
1527849413,24.5462,110.7809,35100,135,482,7801D4,CKG,HKG,0
1527849480,24.4425,110.893,35125,135,482,7801D4,CKG,HKG,0
1527849523,24.3711,110.9696,35100,135,482,7801D4,CKG,HKG,0
1527849608,24.2491,111.1289,35100,119,488,7801D4,CKG,HKG,0
1527849668,24.183,111.2525,35125,120,488,7801D4,CKG,HKG,0
1527849720,24.1215,111.348,35125,127,487,7801D4,CKG,HKG,0
1527849772,24.0634,111.4759,34975,120,482,7801D4,CKG,HKG,0
1527849846,23.9799,111.6314,33825,120,477,7801D4,CKG,HKG,0
1527849907,23.9122,111.7571,32800,119,477,7801D4,CKG,HKG,0
1527849970,23.8482,111.8925,31800,116,481,7801D4,CKG,HKG,0
1527850032,23.7839,112.0274,31075,117,480,7801D4,CKG,HKG,0
1527850089,23.7255,112.1495,31100,116,480,7801D4,CKG,HKG,0
1527850152,23.6677,112.2823,31100,115,479,7801D4,CKG,HKG,0
1527850209,23.61,112.4125,31100,115,479,7801D4,CKG,HKG,0
1527850270,23.5534,112.5394,31100,115,479,7801D4,CKG,HKG,0
1527850341,23.4824,112.6935,31075,120,483,7801D4,CKG,HKG,0
1527850398,23.419,112.8189,31150,133,489,7801D4,CKG,HKG,0
1527850459,23.3111,112.913,31100,140,482,7801D4,CKG,HKG,0
1527850519,23.2108,113.0078,31100,138,476,7801D4,CKG,HKG,0
1527850583,23.1102,113.1049,31075,139,474,7801D4,CKG,HKG,0
1527850641,23.0031,113.1843,31075,151,477,7801D4,CKG,HKG,0
1527850702,22.8751,113.2413,31125,162,479,7801D4,CKG,HKG,0
1527850769,22.7374,113.2895,31125,161,479,7801D4,CKG,HKG,0
1527850827,22.6111,113.3334,30850,162,476,7801D4,CKG,HKG,0
1527850889,22.4854,113.3766,28450,162,472,7801D4,CKG,HKG,0
1527850946,22.3614,113.3824,26100,188,461,7801D4,CKG,HKG,0
1527851008,22.231,113.3641,24100,180,435,7801D4,CKG,HKG,0
1527851071,22.1211,113.4167,21600,135,419,7801D4,CKG,HKG,0
1527851133,22.0373,113.5026,19775,136,393,7801D4,CKG,HKG,0
1527851193,21.953,113.5692,18950,157,379,7801D4,CKG,HKG,0
1527851233,21.8862,113.5994,17800,156,373,7801D4,CKG,HKG,0
1527851311,21.766,113.6547,15350,156,359,7801D4,CKG,HKG,0
1527851369,21.7058,113.7255,13475,101,352,7801D4,CKG,HKG,0
1527851433,21.7568,113.8125,11550,28,342,7801D4,CKG,HKG,0
1527851501,21.8431,113.861,10625,8,286,7801D4,CKG,HKG,0
1527851561,21.9175,113.859,9175,336,271,7801D4,CKG,HKG,0
1527851619,21.9849,113.8285,7900,337,265,7801D4,CKG,HKG,0
1527851686,22.06,113.7958,6350,337,262,7801D4,CKG,HKG,0
1527851746,22.1282,113.765,5175,336,252,7801D4,CKG,HKG,0
1527851806,22.1918,113.7506,4550,351,225,7801D4,CKG,HKG,0
1527851866,22.2486,113.7533,3525,33,204,7801D4,CKG,HKG,0
1527851926,22.2792,113.8002,1875,70,185,7801D4,CKG,HKG,0
1527851987,22.2938,113.8449,1100,70,139,7801D4,CKG,HKG,0
1527852050,22.3068,113.885,400,71,132,7801D4,CKG,HKG,0
1527852109,22.3164,113.9151,0,75,43,7801D4,CKG,HKG,0
1527852169,22.3162,113.9202,0,70,14,7801D4,CKG,HKG,0
1527852235,22.3173,113.9234,0,70,15,7801D4,CKG,HKG,0
1527852296,22.3191,113.9291,0,70,19,7801D4,CKG,HKG,0
1527852350,22.3187,113.9312,0,160,23,7801D4,CKG,HKG,0
1527852385,22.318,113.9315,0,155,0,7801D4,CKG,HKG,0
1527852418,22.3178,113.9315,0,160,2,7801D4,CKG,HKG,0
1527852501,22.3175,113.9312,0,261,16,7801D4,CKG,HKG,0
