timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner
1527858586,34.3944,135.9831,25975,248,448,7801BE,NRT,HKG,0
1527858656,34.3411,135.8226,26000,248,447,7801BE,NRT,HKG,0
1527858721,34.2902,135.669,26000,248,447,7801BE,NRT,HKG,0
1527858787,34.2392,135.5175,26000,249,447,7801BE,NRT,HKG,0
1527858847,34.1927,135.3778,26000,248,447,7801BE,NRT,HKG,0
1527858906,34.1456,135.2381,25975,248,447,7801BE,NRT,HKG,0
1527858966,34.0979,135.0986,25975,248,448,7801BE,NRT,HKG,0
1527859027,34.0502,134.9587,26000,248,448,7801BE,NRT,HKG,0
1527859086,33.9955,134.8252,26000,242,453,7801BE,NRT,HKG,0
1527859146,33.9362,134.6913,25975,241,454,7801BE,NRT,HKG,0
1527859207,33.8762,134.5576,25975,242,452,7801BE,NRT,HKG,0
1527859276,33.8054,134.399,26000,242,451,7801BE,NRT,HKG,0
1527859337,33.745,134.2655,25975,242,452,7801BE,NRT,HKG,0
1527859396,33.6858,134.1339,25975,242,453,7801BE,NRT,HKG,0
1527859456,33.6247,134.0005,25975,242,453,7801BE,NRT,HKG,0
1527859512,33.5711,133.8824,26000,241,456,7801BE,NRT,HKG,0
1527859577,33.5029,133.7311,26000,242,453,7801BE,NRT,HKG,0
1527859639,33.4464,133.6091,25975,241,457,7801BE,NRT,HKG,0
1527859697,33.3843,133.4738,25975,241,460,7801BE,NRT,HKG,0
1527859769,33.308,133.3088,26000,241,462,7801BE,NRT,HKG,0
1527859829,33.2433,133.1741,25975,237,463,7801BE,NRT,HKG,0
1527859889,33.1717,133.053,25975,235,460,7801BE,NRT,HKG,0
1527859937,33.1162,132.9571,25975,235,462,7801BE,NRT,HKG,0
1527860009,33.023,132.7986,26000,235,460,7801BE,NRT,HKG,0
1527860072,32.9427,132.6639,25975,234,459,7801BE,NRT,HKG,0
1527860131,32.8714,132.5438,25975,234,459,7801BE,NRT,HKG,0
1527860194,32.7947,132.4144,26000,234,456,7801BE,NRT,HKG,0
1527860250,32.7259,132.2996,25975,234,457,7801BE,NRT,HKG,0
1527860311,32.6503,132.1727,25975,234,456,7801BE,NRT,HKG,0
1527860379,32.5694,132.0354,25975,235,455,7801BE,NRT,HKG,0
1527860432,32.5036,131.9224,26000,235,456,7801BE,NRT,HKG,0
1527860502,32.4226,131.787,25975,235,457,7801BE,NRT,HKG,0
1527860562,32.3485,131.6621,26000,235,456,7801BE,NRT,HKG,0
1527860621,32.2751,131.5371,25975,235,457,7801BE,NRT,HKG,0
1527860682,32.201,131.4126,26000,235,455,7801BE,NRT,HKG,0
1527860740,32.1325,131.2988,25975,235,455,7801BE,NRT,HKG,0
1527860800,32.0614,131.1794,26000,235,454,7801BE,NRT,HKG,0
1527860865,31.979,131.0443,26000,235,451,7801BE,NRT,HKG,0
1527860925,31.9073,130.9245,25975,235,450,7801BE,NRT,HKG,0
1527860985,31.8385,130.8111,26000,234,447,7801BE,NRT,HKG,0
1527861045,31.7642,130.6893,26000,235,441,7801BE,NRT,HKG,0
1527861105,31.6924,130.5708,26000,234,437,7801BE,NRT,HKG,0
1527861170,31.6167,130.4572,26000,232,430,7801BE,NRT,HKG,0
1527861231,31.5413,130.3424,25975,232,434,7801BE,NRT,HKG,0
1527861290,31.4665,130.229,25975,232,434,7801BE,NRT,HKG,0
1527861350,31.3913,130.1171,26000,232,436,7801BE,NRT,HKG,0
1527861411,31.3196,130.0087,26000,232,438,7801BE,NRT,HKG,0
1527861473,31.2388,129.8867,26025,232,442,7801BE,NRT,HKG,0
1527861536,31.1629,129.7734,26625,232,446,7801BE,NRT,HKG,0
1527861597,31.0834,129.6563,27375,232,442,7801BE,NRT,HKG,0
1527861659,31.0092,129.5459,28025,232,441,7801BE,NRT,HKG,0
1527861718,30.9316,129.43,28700,232,441,7801BE,NRT,HKG,0
1527861776,30.8573,129.3219,29350,232,441,7801BE,NRT,HKG,0
1527861840,30.7769,129.2034,29975,232,437,7801BE,NRT,HKG,0
1527861902,30.7136,129.0869,30000,242,435,7801BE,NRT,HKG,0
1527861965,30.6196,128.9637,29975,232,435,7801BE,NRT,HKG,0
1527862004,30.5722,128.8934,30000,232,434,7801BE,NRT,HKG,0
1527862087,30.4718,128.7408,30000,232,432,7801BE,NRT,HKG,0
1527862148,30.4145,128.6325,29975,242,433,7801BE,NRT,HKG,0
1527862208,30.3666,128.5279,29975,242,433,7801BE,NRT,HKG,0
1527862268,30.3186,128.4234,29975,242,433,7801BE,NRT,HKG,0
1527862328,30.2706,128.319,29975,242,433,7801BE,NRT,HKG,0
1527862388,30.2226,128.2145,29975,242,433,7801BE,NRT,HKG,0
1527862448,30.1679,128.0954,29975,242,433,7801BE,NRT,HKG,0
1527862508,30.1115,127.9727,29975,242,433,7801BE,NRT,HKG,0
1527862580,30.0437,127.8256,29975,242,433,7801BE,NRT,HKG,0
1527862632,29.8069,127.7295,29975,243,447,7801BE,NRT,HKG,0
1527862692,29.759,127.6213,29975,243,447,7801BE,NRT,HKG,0
1527862752,29.7095,127.514,29975,242,447,7801BE,NRT,HKG,0
1527862812,29.66,127.4068,29975,242,447,7801BE,NRT,HKG,0
1527862884,29.6005,127.2783,29975,242,447,7801BE,NRT,HKG,0
1527862944,29.5423,127.1523,29975,242,447,7801BE,NRT,HKG,0
1527863004,29.484,127.0264,29975,242,447,7801BE,NRT,HKG,0
1527863064,29.4257,126.9006,29975,242,447,7801BE,NRT,HKG,0
1527863124,29.3675,126.7749,29975,242,447,7801BE,NRT,HKG,0
1527863184,29.3092,126.6492,29975,242,447,7801BE,NRT,HKG,0
1527863244,29.2509,126.5236,29975,242,447,7801BE,NRT,HKG,0
1527863304,29.1926,126.3981,29975,242,447,7801BE,NRT,HKG,0
1527863376,29.1227,126.2475,29975,242,447,7801BE,NRT,HKG,0
1527863436,29.0645,126.1221,29975,242,447,7801BE,NRT,HKG,0
1527863490,28.6278,126.1222,30000,229,465,7801BE,NRT,HKG,0
1527863556,28.5654,125.9992,29975,243,465,7801BE,NRT,HKG,0
1527863600,28.4802,125.9138,30000,231,468,7801BE,NRT,HKG,0
1527863675,28.3764,125.7666,30000,231,465,7801BE,NRT,HKG,0
1527863736,28.2974,125.6563,30000,231,466,7801BE,NRT,HKG,0
1527863779,28.2398,125.5763,29975,231,467,7801BE,NRT,HKG,0
1527863860,28.1413,125.4205,30000,244,468,7801BE,NRT,HKG,0
