timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner
1527849849,24.5612,118.1512,1600,55,152,7807A4,XMN,HKG,0
1527849907,24.5429,118.1909,3675,145,181,7807A4,XMN,HKG,0
1527849972,24.4936,118.1797,5525,236,218,7807A4,XMN,HKG,0
1527850031,24.4515,118.1174,7175,232,274,7807A4,XMN,HKG,0
1527850093,24.403,118.0493,9775,231,291,7807A4,XMN,HKG,0
1527850152,24.349,117.9725,11250,235,349,7807A4,XMN,HKG,0
1527850212,24.2892,117.8837,12925,226,368,7807A4,XMN,HKG,0
1527850271,24.2158,117.805,14550,224,373,7807A4,XMN,HKG,0
1527850338,24.1317,117.7152,17275,224,391,7807A4,XMN,HKG,0
1527850399,24.0519,117.6301,19650,224,403,7807A4,XMN,HKG,0
1527850458,23.972,117.5438,19700,224,403,7807A4,XMN,HKG,0
1527850519,23.8922,117.4577,19700,224,401,7807A4,XMN,HKG,0
1527850581,23.828,117.355,19700,251,394,7807A4,XMN,HKG,0
1527850642,23.7947,117.2397,19700,252,394,7807A4,XMN,HKG,0
1527850699,23.7566,117.1338,19700,237,395,7807A4,XMN,HKG,0
1527850768,23.6959,117.0147,19700,241,396,7807A4,XMN,HKG,0
1527850829,23.6362,116.9125,19700,230,399,7807A4,XMN,HKG,0
1527850890,23.5575,116.8218,20700,226,418,7807A4,XMN,HKG,0
1527850946,23.4809,116.735,21725,224,427,7807A4,XMN,HKG,0
1527851007,23.3858,116.6531,21700,217,428,7807A4,XMN,HKG,0
1527851074,23.282,116.5666,21700,217,425,7807A4,XMN,HKG,0
1527851134,23.1878,116.4884,21700,217,425,7807A4,XMN,HKG,0
1527851190,23.0974,116.4134,21700,217,425,7807A4,XMN,HKG,0
1527851249,23.0042,116.3366,21700,217,424,7807A4,XMN,HKG,0
1527851310,22.901,116.2709,21700,207,425,7807A4,XMN,HKG,0
1527851369,22.7965,116.2122,21700,207,428,7807A4,XMN,HKG,0
1527851434,22.6864,116.1421,21700,217,427,7807A4,XMN,HKG,0
1527851497,22.5919,116.0653,21700,217,399,7807A4,XMN,HKG,0
1527851564,22.5387,115.9679,21700,264,399,7807A4,XMN,HKG,0
1527851620,22.4419,115.9067,20800,257,394,7807A4,XMN,HKG,0
1527851688,22.3216,115.8455,19575,217,388,7807A4,XMN,HKG,0
1527851743,22.2991,115.7346,18050,267,384,7807A4,XMN,HKG,0
1527851805,22.2951,115.6127,18000,267,381,7807A4,XMN,HKG,0
1527851863,22.2913,115.5028,18000,267,378,7807A4,XMN,HKG,0
1527851922,22.2874,115.3947,17275,267,378,7807A4,XMN,HKG,0
1527851985,22.2834,115.2786,16225,267,369,7807A4,XMN,HKG,0
1527852050,22.2791,115.1591,15075,267,355,7807A4,XMN,HKG,0
1527852109,22.2755,115.0576,14025,267,329,7807A4,XMN,HKG,0
1527852169,22.2719,114.9635,13200,267,304,7807A4,XMN,HKG,0
1527852236,22.2683,114.8643,13000,267,289,7807A4,XMN,HKG,0
1527852294,22.2649,114.7821,13000,267,286,7807A4,XMN,HKG,0
1527852350,22.2623,114.7023,12100,267,284,7807A4,XMN,HKG,0
1527852419,22.2592,114.6047,11000,268,276,7807A4,XMN,HKG,0
1527852468,22.2567,114.5438,11000,267,272,7807A4,XMN,HKG,0
1527852537,22.2534,114.4449,11000,268,273,7807A4,XMN,HKG,0
1527852597,22.2504,114.3619,11000,267,277,7807A4,XMN,HKG,0
1527852656,22.2427,114.2802,11000,252,276,7807A4,XMN,HKG,0
1527852717,22.2138,114.2023,11000,248,279,7807A4,XMN,HKG,0
1527852765,22.1903,114.1404,10375,247,278,7807A4,XMN,HKG,0
1527852844,22.1469,114.0439,9050,227,277,7807A4,XMN,HKG,0
1527852907,22.0928,113.981,8125,227,263,7807A4,XMN,HKG,0
1527852963,22.0473,113.9287,7375,227,253,7807A4,XMN,HKG,0
1527853021,22.0114,113.8711,6575,265,241,7807A4,XMN,HKG,0
1527853080,22.052,113.817,5450,317,240,7807A4,XMN,HKG,0
1527853150,22.1103,113.7681,4575,337,212,7807A4,XMN,HKG,0
1527853204,22.1576,113.7467,4000,336,205,7807A4,XMN,HKG,0
1527853268,22.214,113.7209,3375,337,205,7807A4,XMN,HKG,0
1527853330,22.2609,113.7452,2650,56,176,7807A4,XMN,HKG,0
1527853395,22.278,113.7961,1925,70,155,7807A4,XMN,HKG,0
1527853457,22.2915,113.8378,1200,70,139,7807A4,XMN,HKG,0
1527853517,22.3044,113.8778,500,70,134,7807A4,XMN,HKG,0
1527853576,22.3152,113.9112,0,70,76,7807A4,XMN,HKG,0
1527853641,22.3157,113.9184,0,157,19,7807A4,XMN,HKG,0
1527853694,22.3133,113.9193,0,160,28,7807A4,XMN,HKG,0
1527853757,22.3096,113.9207,0,160,33,7807A4,XMN,HKG,0
1527853826,22.3068,113.9217,0,160,24,7807A4,XMN,HKG,0
1527853878,22.3065,113.9242,0,70,30,7807A4,XMN,HKG,0
1527853944,22.3077,113.928,0,70,29,7807A4,XMN,HKG,0
1527854008,22.3085,113.9304,0,70,20,7807A4,XMN,HKG,0
1527854063,22.3103,113.9314,0,343,24,7807A4,XMN,HKG,0
1527854084,22.311,113.9312,0,340,24,7807A4,XMN,HKG,0
