timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner
1527811254,34.4175,135.2295,0,98,24,86CF67,KIX,HKG,0
1527811320,34.4335,135.2531,625,50,158,86CF67,KIX,HKG,0
1527811383,34.4637,135.2925,2800,45,159,86CF67,KIX,HKG,0
1527811433,34.5016,135.3092,3475,1,225,86CF67,KIX,HKG,0
1527811498,34.544,135.2393,6425,267,272,86CF67,KIX,HKG,0
1527811565,34.5271,135.1334,9175,258,295,86CF67,KIX,HKG,0
1527811626,34.5097,135.026,11025,258,339,86CF67,KIX,HKG,0
1527811689,34.4889,134.9041,12625,258,379,86CF67,KIX,HKG,0
1527811746,34.4679,134.7821,15025,258,381,86CF67,KIX,HKG,0
1527811940,34.2524,134.4367,21100,229,418,86CF67,KIX,HKG,0
1527812002,34.1721,134.3223,23025,229,419,86CF67,KIX,HKG,0
1527812064,34.0955,134.2132,24575,229,422,86CF67,KIX,HKG,0
1527812127,34.0205,134.1073,26900,229,399,86CF67,KIX,HKG,0
1527812180,33.9561,134.016,27675,229,408,86CF67,KIX,HKG,0
1527812245,33.8753,133.9021,29050,229,403,86CF67,KIX,HKG,0
1527812305,33.8012,133.8027,30400,224,388,86CF67,KIX,HKG,0
1527812370,33.7186,133.7106,31975,223,379,86CF67,KIX,HKG,0
1527812428,33.6486,133.6319,32800,223,376,86CF67,KIX,HKG,0
1527812486,33.5697,133.544,33575,223,380,86CF67,KIX,HKG,0
1527812546,33.4895,133.4548,34000,223,381,86CF67,KIX,HKG,0
1527812610,33.413,133.3699,34000,223,380,86CF67,KIX,HKG,0
1527812666,33.3487,133.2782,34000,235,376,86CF67,KIX,HKG,0
1527812732,33.2815,133.1659,33975,235,376,86CF67,KIX,HKG,0
1527812795,33.2168,133.0576,34000,235,376,86CF67,KIX,HKG,0
1527812852,33.161,132.9645,34000,234,376,86CF67,KIX,HKG,0
1527812914,33.1002,132.8632,34000,235,376,86CF67,KIX,HKG,0
1527812972,33.0387,132.7611,34000,234,375,86CF67,KIX,HKG,0
1527813037,32.9727,132.6521,34000,234,375,86CF67,KIX,HKG,0
1527813096,32.9125,132.5526,34000,234,374,86CF67,KIX,HKG,0
1527813160,32.8499,132.4495,34000,234,373,86CF67,KIX,HKG,0
1527813216,32.7902,132.3515,34000,234,373,86CF67,KIX,HKG,0
1527813280,32.7254,132.2454,34000,234,373,86CF67,KIX,HKG,0
1527813341,32.6638,132.1447,34000,234,375,86CF67,KIX,HKG,0
1527813400,32.6038,132.0468,34025,234,375,86CF67,KIX,HKG,0
1527813462,32.5399,131.9429,34025,234,374,86CF67,KIX,HKG,0
1527813521,32.4801,131.846,34000,233,372,86CF67,KIX,HKG,0
1527813584,32.4157,131.7422,33975,233,372,86CF67,KIX,HKG,0
1527813648,32.3516,131.6396,34000,233,371,86CF67,KIX,HKG,0
1527813708,32.289,131.5392,34000,233,368,86CF67,KIX,HKG,0
1527813766,32.2334,131.4504,34000,233,367,86CF67,KIX,HKG,0
1527813828,32.1715,131.3513,34000,234,366,86CF67,KIX,HKG,0
1527813888,32.1103,131.2539,33975,234,367,86CF67,KIX,HKG,0
1527813948,32.0497,131.1576,34000,234,368,86CF67,KIX,HKG,0
1527814009,31.9885,131.0608,34025,234,368,86CF67,KIX,HKG,0
1527814079,31.9146,130.9439,34000,233,366,86CF67,KIX,HKG,0
1527814138,31.8552,130.8503,33975,233,368,86CF67,KIX,HKG,0
1527814199,31.7929,130.7523,34000,233,370,86CF67,KIX,HKG,0
1527814261,31.7296,130.6532,34000,233,370,86CF67,KIX,HKG,0
1527814318,31.6708,130.5615,34025,233,371,86CF67,KIX,HKG,0
1527814383,31.6045,130.4577,33975,233,370,86CF67,KIX,HKG,0
1527814445,31.5406,130.3583,33975,233,372,86CF67,KIX,HKG,0
1527814501,31.481,130.2661,34025,233,376,86CF67,KIX,HKG,0
1527814563,31.416,130.1654,34100,233,373,86CF67,KIX,HKG,0
1527814626,31.3511,130.0654,34900,232,372,86CF67,KIX,HKG,0
1527814686,31.2892,129.9697,35600,233,371,86CF67,KIX,HKG,0
1527814747,31.2266,129.8735,36000,232,371,86CF67,KIX,HKG,0
1527814806,31.1671,129.7824,36000,233,370,86CF67,KIX,HKG,0
1527814866,31.104,129.6859,36000,233,373,86CF67,KIX,HKG,0
1527814926,31.042,129.5913,36025,233,374,86CF67,KIX,HKG,0
1527814991,30.9729,129.4862,35975,233,375,86CF67,KIX,HKG,0
1527815051,30.9089,129.3891,36000,233,375,86CF67,KIX,HKG,0
1527815111,30.8457,129.2935,36000,233,377,86CF67,KIX,HKG,0
1527815171,30.7808,129.1953,36000,232,379,86CF67,KIX,HKG,0
1527815231,30.7176,129.1002,36025,232,379,86CF67,KIX,HKG,0
1527815296,30.649,128.9972,36000,232,381,86CF67,KIX,HKG,0
1527815356,30.5926,128.9006,36000,242,383,86CF67,KIX,HKG,0
1527815416,30.5337,128.8051,36000,242,384,86CF67,KIX,HKG,0
1527815476,30.4912,128.7122,36000,242,384,86CF67,KIX,HKG,0
1527815536,30.4486,128.6194,36000,242,384,86CF67,KIX,HKG,0
1527815596,30.4061,128.5266,36000,242,384,86CF67,KIX,HKG,0
1527815646,30.2642,128.4241,36000,232,385,86CF67,KIX,HKG,0
1527815722,30.1805,128.3005,35975,231,386,86CF67,KIX,HKG,0
1527815784,30.1323,128.2045,35975,242,386,86CF67,KIX,HKG,0
1527815836,30.0654,128.1156,35950,243,391,86CF67,KIX,HKG,0
1527815908,29.9963,128.0033,36000,242,381,86CF67,KIX,HKG,0
1527815968,29.9541,127.9117,36000,242,381,86CF67,KIX,HKG,0
1527816028,29.9119,127.8201,36000,242,381,86CF67,KIX,HKG,0
1527816093,29.7655,127.7038,36000,229,396,86CF67,KIX,HKG,0
1527816151,29.6953,127.6102,36000,229,397,86CF67,KIX,HKG,0
1527816216,29.6305,127.5064,36000,243,397,86CF67,KIX,HKG,0
1527816275,29.547,127.4095,36000,232,396,86CF67,KIX,HKG,0
1527816340,29.4899,127.3035,36000,243,396,86CF67,KIX,HKG,0
1527816400,29.4475,127.2079,36000,243,396,86CF67,KIX,HKG,0
1527816460,29.4051,127.1123,36000,243,396,86CF67,KIX,HKG,0
1527816520,29.3626,127.0168,36000,243,396,86CF67,KIX,HKG,0
1527816580,29.3202,126.9213,36000,243,396,86CF67,KIX,HKG,0
1527816640,29.2718,126.8123,36000,243,396,86CF67,KIX,HKG,0
1527816700,29.2202,126.7011,36000,242,396,86CF67,KIX,HKG,0
1527816760,29.1686,126.5899,36000,242,396,86CF67,KIX,HKG,0
1527816820,29.117,126.4788,36000,242,396,86CF67,KIX,HKG,0
1527816886,28.837,126.4005,36000,229,405,86CF67,KIX,HKG,0
1527816947,28.7643,126.3028,36000,229,405,86CF67,KIX,HKG,0
1527817007,28.6893,126.2021,35950,229,409,86CF67,KIX,HKG,0
1527817072,28.6121,126.0982,36025,230,412,86CF67,KIX,HKG,0
1527817131,28.5394,125.9944,36025,231,411,86CF67,KIX,HKG,0
1527817193,28.4667,125.8921,36025,231,411,86CF67,KIX,HKG,0
1527817256,28.3904,125.7851,36025,231,403,86CF67,KIX,HKG,0
1527817320,28.3154,125.6798,36000,231,412,86CF67,KIX,HKG,0
1527817379,28.2434,125.5793,36000,230,415,86CF67,KIX,HKG,0
1527817438,28.1729,125.4814,36000,230,410,86CF67,KIX,HKG,0
1527817495,28.1068,125.3892,35975,231,410,86CF67,KIX,HKG,0
1527817558,28.0316,125.2847,35975,230,413,86CF67,KIX,HKG,0
1527817625,27.9506,125.1726,36000,230,415,86CF67,KIX,HKG,0
1527817681,27.8796,125.0746,36025,230,417,86CF67,KIX,HKG,0
1527817744,27.8037,124.9702,36025,230,418,86CF67,KIX,HKG,0
1527817804,27.7274,124.8653,36000,230,420,86CF67,KIX,HKG,0
1527817868,27.6488,124.7577,36000,230,422,86CF67,KIX,HKG,0
1527817926,27.5766,124.6591,36025,230,422,86CF67,KIX,HKG,0
1527817983,27.5066,124.5634,36000,230,422,86CF67,KIX,HKG,0
1527818046,27.4301,124.459,36000,230,424,86CF67,KIX,HKG,0
1527818111,27.3466,124.3455,36000,230,425,86CF67,KIX,HKG,0
1527818170,27.2717,124.2439,36000,230,425,86CF67,KIX,HKG,0
1527818219,27.2095,124.1598,36025,230,424,86CF67,KIX,HKG,0
1527818287,27.1271,124.0485,36000,230,421,86CF67,KIX,HKG,0
1527818344,27.0553,123.952,36100,229,424,86CF67,KIX,HKG,0
1527818408,27.0102,123.8435,36100,245,424,86CF67,KIX,HKG,0
1527818481,26.8819,123.7223,37575,229,422,86CF67,KIX,HKG,0
1527818541,26.806,123.6221,38000,229,425,86CF67,KIX,HKG,0
1527818597,26.7342,123.5273,38000,229,427,86CF67,KIX,HKG,0
1527818660,26.6699,123.4217,38000,246,426,86CF67,KIX,HKG,0
1527818717,26.5799,123.3249,37975,229,425,86CF67,KIX,HKG,0
1527818785,26.4943,123.2127,38000,229,426,86CF67,KIX,HKG,0
1527818841,26.421,123.1169,38000,229,427,86CF67,KIX,HKG,0
1527818896,26.3662,123.0234,38000,246,428,86CF67,KIX,HKG,0
1527818963,26.2643,122.9116,38000,230,430,86CF67,KIX,HKG,0
