timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner
1527811195,29.757,116.6819,31775,233,416,7803F0,WUX,HKG,0
1527811254,29.6908,116.5793,32100,233,414,7803F0,WUX,HKG,0
1527811318,29.6147,116.4616,32075,233,415,7803F0,WUX,HKG,0
1527811382,29.542,116.3497,32100,233,413,7803F0,WUX,HKG,0
1527811440,29.4766,116.2494,32100,233,413,7803F0,WUX,HKG,0
1527811498,29.4097,116.1467,32100,233,413,7803F0,WUX,HKG,0
1527811556,29.3328,116.0793,32100,196,413,7803F0,WUX,HKG,0
1527811628,29.2204,116.0424,32100,196,413,7803F0,WUX,HKG,0
1527811688,29.1267,116.0116,32100,196,413,7803F0,WUX,HKG,0
1527811748,29.033,115.9809,32100,196,413,7803F0,WUX,HKG,0
1527811936,28.6774,115.8057,32100,196,467,7803F0,WUX,HKG,0
1527811991,28.5487,115.8253,32100,178,461,7803F0,WUX,HKG,0
1527812066,28.3924,115.8042,32100,193,453,7803F0,WUX,HKG,0
1527812124,28.2907,115.7696,32100,197,451,7803F0,WUX,HKG,0
1527812184,28.1889,115.7343,32100,197,451,7803F0,WUX,HKG,0
1527812244,28.0872,115.699,32100,197,451,7803F0,WUX,HKG,0
1527812304,27.9849,115.6658,32100,196,451,7803F0,WUX,HKG,0
1527812371,27.7952,115.5673,32100,199,446,7803F0,WUX,HKG,0
1527812433,27.6749,115.5188,32100,199,447,7803F0,WUX,HKG,0
1527812492,27.568,115.4795,32100,196,447,7803F0,WUX,HKG,0
1527812552,27.4666,115.4467,32100,196,447,7803F0,WUX,HKG,0
1527812612,27.3653,115.414,32100,196,447,7803F0,WUX,HKG,0
1527812672,27.2639,115.3812,32100,196,447,7803F0,WUX,HKG,0
1527812732,27.1625,115.3485,32100,196,447,7803F0,WUX,HKG,0
1527812792,27.0504,115.3124,32100,196,447,7803F0,WUX,HKG,0
1527812852,26.9311,115.2741,32100,196,447,7803F0,WUX,HKG,0
1527812912,26.8118,115.2357,32100,196,447,7803F0,WUX,HKG,0
1527812972,26.6925,115.1974,32100,196,447,7803F0,WUX,HKG,0
1527813044,26.5494,115.1515,32100,196,447,7803F0,WUX,HKG,0
1527813099,26.3661,114.9967,32100,199,450,7803F0,WUX,HKG,0
1527813160,26.2558,114.9632,32075,194,450,7803F0,WUX,HKG,0
1527813222,26.1197,114.8994,32100,199,450,7803F0,WUX,HKG,0
1527813284,26.0153,114.866,32100,194,450,7803F0,WUX,HKG,0
1527813344,25.9123,114.8375,32100,194,450,7803F0,WUX,HKG,0
1527813404,25.8093,114.8089,32100,194,450,7803F0,WUX,HKG,0
1527813440,25.6919,114.7515,32100,192,450,7803F0,WUX,HKG,0
1527813504,25.5659,114.708,32100,200,451,7803F0,WUX,HKG,0
1527813584,25.4165,114.6532,32100,193,450,7803F0,WUX,HKG,0
1527813644,25.2965,114.6023,32100,193,449,7803F0,WUX,HKG,0
1527813688,25.204,114.5562,32075,200,450,7803F0,WUX,HKG,0
1527813772,25.0514,114.5007,32100,192,446,7803F0,WUX,HKG,0
1527813832,24.9282,114.4411,32100,200,449,7803F0,WUX,HKG,0
1527813884,24.8247,114.398,32100,200,448,7803F0,WUX,HKG,0
1527813952,24.6946,114.344,32100,200,449,7803F0,WUX,HKG,0
1527814010,24.5787,114.296,32100,200,446,7803F0,WUX,HKG,0
1527814079,24.444,114.2402,32100,200,450,7803F0,WUX,HKG,0
1527814140,24.3251,114.1912,32075,200,452,7803F0,WUX,HKG,0
1527814201,24.2061,114.1421,32075,200,452,7803F0,WUX,HKG,0
1527814258,24.0956,114.0968,32075,200,449,7803F0,WUX,HKG,0
1527814318,23.9776,114.0483,32075,200,450,7803F0,WUX,HKG,0
1527814386,23.8488,113.9957,32100,200,447,7803F0,WUX,HKG,0
1527814446,23.7314,113.9477,32100,200,451,7803F0,WUX,HKG,0
1527814504,23.6141,113.8999,32075,200,455,7803F0,WUX,HKG,0
1527814564,23.4969,113.8536,32100,197,457,7803F0,WUX,HKG,0
1527814625,23.3692,113.8148,32100,195,456,7803F0,WUX,HKG,0
1527814688,23.2448,113.7773,32100,195,458,7803F0,WUX,HKG,0
1527814747,23.1233,113.7424,32100,191,467,7803F0,WUX,HKG,0
1527814806,22.9908,113.7195,32100,188,474,7803F0,WUX,HKG,0
1527814867,22.8598,113.6977,30725,188,469,7803F0,WUX,HKG,0
1527814926,22.7336,113.6767,28750,188,452,7803F0,WUX,HKG,0
1527814990,22.597,113.654,26575,188,482,7803F0,WUX,HKG,0
1527815050,22.4667,113.6325,25575,188,466,7803F0,WUX,HKG,0
1527815110,22.3387,113.6115,25550,188,468,7803F0,WUX,HKG,0
1527815171,22.209,113.59,23950,188,459,7803F0,WUX,HKG,0
1527815232,22.0846,113.5695,22150,188,446,7803F0,WUX,HKG,0
1527815297,21.9576,113.5945,20175,142,435,7803F0,WUX,HKG,0
1527815358,21.9343,113.7097,18175,66,406,7803F0,WUX,HKG,0
1527815420,21.9932,113.8173,15525,60,401,7803F0,WUX,HKG,0
1527815474,22.0416,113.9075,14975,60,380,7803F0,WUX,HKG,0
1527815540,22.0989,114.0145,14200,60,371,7803F0,WUX,HKG,0
1527815602,22.1516,114.1129,11775,60,347,7803F0,WUX,HKG,0
1527815662,22.1984,114.2002,9800,60,322,7803F0,WUX,HKG,0
1527815723,22.2424,114.2811,7925,54,303,7803F0,WUX,HKG,0
1527815784,22.3136,114.2813,6400,318,280,7803F0,WUX,HKG,0
1527815842,22.3772,114.2482,5500,340,241,7803F0,WUX,HKG,0
1527815893,22.4055,114.2093,4825,270,226,7803F0,WUX,HKG,0
1527815967,22.3857,114.1304,3700,250,203,7803F0,WUX,HKG,0
1527816027,22.3678,114.0746,2700,250,195,7803F0,WUX,HKG,0
1527816092,22.3497,114.0185,1700,250,172,7803F0,WUX,HKG,0
1527816150,22.3357,113.9748,925,250,150,7803F0,WUX,HKG,0
1527816216,22.3209,113.929,100,251,144,7803F0,WUX,HKG,0
1527816273,22.3139,113.9103,0,210,27,7803F0,WUX,HKG,0
1527816338,22.314,113.9132,0,70,33,7803F0,WUX,HKG,0
1527816401,22.3156,113.9183,0,70,20,7803F0,WUX,HKG,0
1527816456,22.3145,113.9209,0,160,25,7803F0,WUX,HKG,0
1527816519,22.3128,113.9243,0,115,17,7803F0,WUX,HKG,0
1527816577,22.3104,113.9245,0,149,21,7803F0,WUX,HKG,0
1527816624,22.31,113.9254,0,125,0,7803F0,WUX,HKG,0
1527816624,22.31,113.9254,0,125,0,7803F0,WUX,HKG,0
