timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner
1527823052,37.5103,126.4114,1775,326,175,ABC5B8,ICN,HKG,0
1527823118,37.5539,126.376,3850,327,208,ABC5B8,ICN,HKG,0
1527823161,37.5801,126.3253,5250,270,261,ABC5B8,ICN,HKG,0
1527823231,37.57,126.2197,8725,238,290,ABC5B8,ICN,HKG,0
1527823290,37.4915,126.1705,11100,197,335,ABC5B8,ICN,HKG,0
1527823359,37.3866,126.1712,13325,147,375,ABC5B8,ICN,HKG,0
1527823410,37.3208,126.2612,15725,130,390,ABC5B8,ICN,HKG,0
1527823483,37.2373,126.3813,18575,131,411,ABC5B8,ICN,HKG,0
1527823538,37.1452,126.466,20800,158,433,ABC5B8,ICN,HKG,0
1527823597,37.0392,126.5144,22875,162,448,ABC5B8,ICN,HKG,0
1527823658,36.9055,126.56,25450,165,460,ABC5B8,ICN,HKG,0
1527823721,36.7834,126.6002,27575,165,470,ABC5B8,ICN,HKG,0
1527823778,36.651,126.6443,29625,164,484,ABC5B8,ICN,HKG,0
1527823845,36.5174,126.6894,31425,164,499,ABC5B8,ICN,HKG,0
1527823906,36.3839,126.7341,33550,164,501,ABC5B8,ICN,HKG,0
1527823967,36.2483,126.7798,35700,164,497,ABC5B8,ICN,HKG,0
1527824022,36.1193,126.8075,37250,179,494,ABC5B8,ICN,HKG,0
1527824090,35.9673,126.7925,37975,185,499,ABC5B8,ICN,HKG,0
1527824150,35.8299,126.7773,38000,185,494,ABC5B8,ICN,HKG,0
1527824211,35.6917,126.7623,38000,184,489,ABC5B8,ICN,HKG,0
1527824272,35.5586,126.7481,37975,184,484,ABC5B8,ICN,HKG,0
1527824330,35.4239,126.7337,38000,184,481,ABC5B8,ICN,HKG,0
1527824390,35.2915,126.7195,37975,184,479,ABC5B8,ICN,HKG,0
1527824458,35.143,126.7037,38000,184,479,ABC5B8,ICN,HKG,0
1527824499,35.0493,126.6938,37975,184,480,ABC5B8,ICN,HKG,0
1527824572,34.8881,126.6767,37975,185,483,ABC5B8,ICN,HKG,0
1527824632,34.7532,126.6624,37975,184,487,ABC5B8,ICN,HKG,0
1527824702,34.5956,126.6459,38000,185,483,ABC5B8,ICN,HKG,0
1527824758,34.478,126.6335,37975,185,484,ABC5B8,ICN,HKG,0
1527824823,34.3199,126.6169,38000,184,491,ABC5B8,ICN,HKG,0
1527824887,34.176,126.602,37975,184,490,ABC5B8,ICN,HKG,0
1527824946,34.0405,126.5879,37975,184,491,ABC5B8,ICN,HKG,0
1527825007,33.904,126.5737,38000,185,492,ABC5B8,ICN,HKG,0
1527825061,33.7865,126.5436,37975,198,476,ABC5B8,ICN,HKG,0
1527825124,33.6549,126.4864,37975,200,475,ABC5B8,ICN,HKG,0
1527825184,33.5316,126.433,38000,199,475,ABC5B8,ICN,HKG,0
1527825253,33.3879,126.3712,38000,199,476,ABC5B8,ICN,HKG,0
1527825313,33.2629,126.3177,38000,199,476,ABC5B8,ICN,HKG,0
1527825372,33.1432,126.2665,37975,199,477,ABC5B8,ICN,HKG,0
1527825434,33.0118,126.2103,37975,199,479,ABC5B8,ICN,HKG,0
1527825498,32.8818,126.1544,38000,199,479,ABC5B8,ICN,HKG,0
1527825558,32.7546,126.0999,38000,199,479,ABC5B8,ICN,HKG,0
1527825616,32.6485,126.0345,37975,219,476,ABC5B8,ICN,HKG,0
1527825662,32.5388,126.0081,37975,199,471,ABC5B8,ICN,HKG,0
1527825736,32.4442,125.8914,37975,230,471,ABC5B8,ICN,HKG,0
1527825795,32.2704,125.8943,38000,199,468,ABC5B8,ICN,HKG,0
1527825863,32.134,125.8369,38000,199,460,ABC5B8,ICN,HKG,0
1527825922,32.0131,125.786,38000,199,457,ABC5B8,ICN,HKG,0
1527825986,31.8859,125.7326,37975,199,451,ABC5B8,ICN,HKG,0
1527826043,31.7751,125.6861,37975,199,448,ABC5B8,ICN,HKG,0
1527826099,31.6621,125.6387,38000,199,446,ABC5B8,ICN,HKG,0
1527826166,31.5336,125.5851,38000,199,443,ABC5B8,ICN,HKG,0
1527826206,31.4561,125.5527,37975,199,440,ABC5B8,ICN,HKG,0
1527826289,31.2994,125.4871,38000,199,439,ABC5B8,ICN,HKG,0
1527826351,31.1788,125.4368,38000,199,439,ABC5B8,ICN,HKG,0
1527826412,31.0641,125.3893,38000,199,440,ABC5B8,ICN,HKG,0
1527826475,30.9387,125.3373,37975,199,441,ABC5B8,ICN,HKG,0
1527826537,30.8235,125.2896,37975,199,443,ABC5B8,ICN,HKG,0
1527826592,30.7319,125.2331,38000,219,444,ABC5B8,ICN,HKG,0
1527826652,30.6688,125.1358,38000,233,444,ABC5B8,ICN,HKG,0
1527826820,30.4923,124.8637,38000,233,444,ABC5B8,ICN,HKG,0
1527826880,30.4248,124.7598,38000,233,444,ABC5B8,ICN,HKG,0
1527826940,30.3506,124.6457,38000,233,444,ABC5B8,ICN,HKG,0
1527827000,30.2764,124.5317,38000,233,444,ABC5B8,ICN,HKG,0
1527827060,30.2022,124.4178,38000,233,444,ABC5B8,ICN,HKG,0
1527827120,30.128,124.304,38000,233,444,ABC5B8,ICN,HKG,0
1527827192,30.039,124.1675,38000,233,444,ABC5B8,ICN,HKG,0
1527827252,29.4341,124.6768,38000,237,458,ABC5B8,ICN,HKG,0
1527827312,29.3753,124.5727,38000,237,458,ABC5B8,ICN,HKG,0
1527827372,29.3164,124.4688,38000,237,458,ABC5B8,ICN,HKG,0
1527827432,29.256,124.3661,38000,236,458,ABC5B8,ICN,HKG,0
1527827480,28.952,124.5047,38000,207,454,ABC5B8,ICN,HKG,0
1527827552,28.8277,124.4092,37975,215,449,ABC5B8,ICN,HKG,0
1527827616,28.7575,124.3073,38000,238,449,ABC5B8,ICN,HKG,0
1527827676,28.7013,124.2048,38000,238,449,ABC5B8,ICN,HKG,0
1527827731,28.522,124.1645,37975,215,452,ABC5B8,ICN,HKG,0
1527827804,28.4526,124.0399,37975,239,452,ABC5B8,ICN,HKG,0
1527827864,28.3976,123.936,37975,239,452,ABC5B8,ICN,HKG,0
1527827924,28.3427,123.8321,37975,239,452,ABC5B8,ICN,HKG,0
1527827986,28.0511,123.8738,37975,202,465,ABC5B8,ICN,HKG,0
1527828040,27.9813,123.7895,37975,240,465,ABC5B8,ICN,HKG,0
1527828107,27.8053,123.7566,37975,202,468,ABC5B8,ICN,HKG,0
1527828168,27.7013,123.6865,37975,222,470,ABC5B8,ICN,HKG,0
1527828232,27.5636,123.6238,38000,215,460,ABC5B8,ICN,HKG,0
1527828290,27.4634,123.5428,38000,215,461,ABC5B8,ICN,HKG,0
1527828348,27.4021,123.4448,37975,242,461,ABC5B8,ICN,HKG,0
1527828408,27.351,123.3367,37975,242,461,ABC5B8,ICN,HKG,0
1527828480,27.1339,123.2772,37975,215,460,ABC5B8,ICN,HKG,0
1527828535,27.0386,123.2007,38000,215,462,ABC5B8,ICN,HKG,0
1527828592,26.9394,123.1213,38000,215,463,ABC5B8,ICN,HKG,0
1527828656,26.8815,123.0085,38000,244,463,ABC5B8,ICN,HKG,0
1527828724,26.7487,122.9176,37975,244,465,ABC5B8,ICN,HKG,0
1527828782,26.6062,122.8559,38000,215,465,ABC5B8,ICN,HKG,0
1527828841,26.5036,122.7745,37975,215,464,ABC5B8,ICN,HKG,0
