timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner
1527843648,18.0059,116.7064,34000,330,500,7C4771,SYD,HKG,0
1527843720,18.1501,116.6188,34000,330,500,7C4771,SYD,HKG,0
1527843780,18.2703,116.5458,34000,330,500,7C4771,SYD,HKG,0
1527843840,18.3898,116.4713,34000,329,500,7C4771,SYD,HKG,0
1527843900,18.5087,116.396,34000,329,500,7C4771,SYD,HKG,0
1527843960,18.6277,116.3206,34000,329,500,7C4771,SYD,HKG,0
1527844020,18.7467,116.2451,34000,329,500,7C4771,SYD,HKG,0
1527844080,18.8657,116.1696,34000,329,500,7C4771,SYD,HKG,0
1527844140,18.9846,116.094,34000,329,500,7C4771,SYD,HKG,0
1527844200,19.1036,116.0184,34000,329,500,7C4771,SYD,HKG,0
1527844260,19.2226,115.9427,34000,329,500,7C4771,SYD,HKG,0
1527844328,19.2544,115.7302,34000,332,472,7C4771,SYD,HKG,0
1527844388,19.3527,115.6748,34000,332,472,7C4771,SYD,HKG,0
1527844448,19.4511,115.6194,34000,332,472,7C4771,SYD,HKG,0
1527844516,19.6351,115.5787,34000,331,471,7C4771,SYD,HKG,0
1527844564,19.7128,115.533,34000,331,471,7C4771,SYD,HKG,0
1527844628,19.8684,115.4908,34000,330,474,7C4771,SYD,HKG,0
1527844687,20.0111,115.4496,34000,339,474,7C4771,SYD,HKG,0
1527844755,20.1544,115.3938,34000,339,479,7C4771,SYD,HKG,0
1527844816,20.2816,115.3438,34000,339,482,7C4771,SYD,HKG,0
1527844876,20.4093,115.2945,34000,339,485,7C4771,SYD,HKG,0
1527844934,20.5308,115.2468,33275,339,479,7C4771,SYD,HKG,0
1527844997,20.6598,115.196,32100,339,466,7C4771,SYD,HKG,0
1527845062,20.7911,115.1451,29825,339,452,7C4771,SYD,HKG,0
1527845123,20.9083,115.0987,27850,339,435,7C4771,SYD,HKG,0
1527845185,21.0184,115.0488,25925,327,416,7C4771,SYD,HKG,0
1527845240,21.0965,114.9739,24175,315,403,7C4771,SYD,HKG,0
1527845304,21.1809,114.8834,22225,315,393,7C4771,SYD,HKG,0
1527845365,21.2594,114.8008,20425,315,383,7C4771,SYD,HKG,0
1527845427,21.3399,114.7261,18650,326,373,7C4771,SYD,HKG,0
1527845487,21.4257,114.6639,16900,324,366,7C4771,SYD,HKG,0
1527845547,21.5052,114.6004,15250,323,333,7C4771,SYD,HKG,0
1527845612,21.5819,114.5401,13675,323,299,7C4771,SYD,HKG,0
1527845674,21.6483,114.4866,12600,321,289,7C4771,SYD,HKG,0
1527845734,21.7108,114.434,11850,322,281,7C4771,SYD,HKG,0
1527845793,21.7728,114.3831,11100,322,276,7C4771,SYD,HKG,0
1527845859,21.8392,114.3286,10425,322,271,7C4771,SYD,HKG,0
1527845919,21.8986,114.2786,9700,322,264,7C4771,SYD,HKG,0
1527845979,21.956,114.2308,9025,322,263,7C4771,SYD,HKG,0
1527846039,22.0132,114.1831,8250,322,241,7C4771,SYD,HKG,0
1527846102,22.0678,114.138,7000,322,237,7C4771,SYD,HKG,0
1527846161,22.1186,114.0943,6125,319,239,7C4771,SYD,HKG,0
1527846221,22.1273,114.0266,5925,268,239,7C4771,SYD,HKG,0
1527846287,22.1261,113.9467,5425,269,239,7C4771,SYD,HKG,0
1527846347,22.1255,113.8764,5125,269,238,7C4771,SYD,HKG,0
1527846407,22.1253,113.8076,4850,270,207,7C4771,SYD,HKG,0
1527846469,22.1374,113.7494,4325,322,211,7C4771,SYD,HKG,0
1527846529,22.1911,113.7182,3850,331,201,7C4771,SYD,HKG,0
1527846596,22.2426,113.7179,2600,35,178,7C4771,SYD,HKG,0
1527846653,22.2656,113.7578,2150,69,165,7C4771,SYD,HKG,0
1527846721,22.2822,113.8086,1800,71,149,7C4771,SYD,HKG,0
1527846780,22.296,113.8515,1050,71,151,7C4771,SYD,HKG,0
1527846839,22.3092,113.8925,325,70,142,7C4771,SYD,HKG,0
1527846902,22.3177,113.9188,0,70,38,7C4771,SYD,HKG,0
1527846964,22.3178,113.9249,0,70,33,7C4771,SYD,HKG,0
1527847020,22.3193,113.9295,0,70,34,7C4771,SYD,HKG,0
1527847079,22.3182,113.9314,0,160,21,7C4771,SYD,HKG,0
1527847142,22.3182,113.9327,0,70,2,7C4771,SYD,HKG,0
1527847166,22.3182,113.9327,0,271,0,7C4771,SYD,HKG,0
