timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner
1527811192,24.9465,87.2227,39000,109,497,06A080,DOH,HKG,0
1527811254,24.8988,87.3709,39000,109,498,06A080,DOH,HKG,0
1527811316,24.8516,87.5165,38975,109,501,06A080,DOH,HKG,0
1527811382,24.8,87.6756,38975,109,501,06A080,DOH,HKG,0
1527811437,24.7565,87.809,38975,109,499,06A080,DOH,HKG,0
1527811499,24.709,87.9541,38975,109,493,06A080,DOH,HKG,0
1527811559,24.6577,88.0934,38975,114,489,06A080,DOH,HKG,0
1527811625,24.5956,88.2424,39000,114,485,06A080,DOH,HKG,0
1527811686,24.5385,88.3789,39000,114,486,06A080,DOH,HKG,0
1527811747,24.4809,88.5161,38975,114,489,06A080,DOH,HKG,0
1527811937,24.3674,88.9734,39000,102,493,06A080,DOH,HKG,0
1527812007,24.3327,89.1448,39000,102,494,06A080,DOH,HKG,0
1527812066,24.3036,89.2876,38975,102,495,06A080,DOH,HKG,0
1527812128,24.2728,89.4376,39000,102,493,06A080,DOH,HKG,0
1527812186,24.2439,89.5779,38975,102,491,06A080,DOH,HKG,0
1527812247,24.213,89.7277,38975,102,491,06A080,DOH,HKG,0
1527812309,24.1821,89.8757,39000,102,492,06A080,DOH,HKG,0
1527812369,24.1512,90.0243,38975,102,493,06A080,DOH,HKG,0
1527812431,24.1198,90.1733,39000,102,493,06A080,DOH,HKG,0
1527812492,24.0885,90.3214,38975,103,491,06A080,DOH,HKG,0
1527812550,24.0587,90.4617,38975,103,490,06A080,DOH,HKG,0
1527812611,24.0271,90.6089,38975,103,489,06A080,DOH,HKG,0
1527812670,23.9964,90.7506,39000,103,490,06A080,DOH,HKG,0
1527812735,23.9623,90.9073,39000,103,488,06A080,DOH,HKG,0
1527812797,23.9306,91.0529,38975,103,490,06A080,DOH,HKG,0
1527812852,23.9009,91.188,39000,103,491,06A080,DOH,HKG,0
1527812915,23.8705,91.3369,38975,101,491,06A080,DOH,HKG,0
1527812973,23.8442,91.4788,39000,101,494,06A080,DOH,HKG,0
1527813041,23.8124,91.6452,38975,101,494,06A080,DOH,HKG,0
1527813095,23.7866,91.7785,38975,101,495,06A080,DOH,HKG,0
1527813165,23.7539,91.9465,39000,101,497,06A080,DOH,HKG,0
1527813216,23.7292,92.0729,39000,101,500,06A080,DOH,HKG,0
1527813283,23.6964,92.2405,39000,101,500,06A080,DOH,HKG,0
1527813341,23.6681,92.384,39000,102,501,06A080,DOH,HKG,0
1527813404,23.6378,92.5372,38975,102,501,06A080,DOH,HKG,0
1527813462,23.6092,92.6807,38975,102,500,06A080,DOH,HKG,0
1527813527,23.5773,92.8396,39000,102,499,06A080,DOH,HKG,0
1527813586,23.5472,92.9892,38975,102,499,06A080,DOH,HKG,0
1527813650,23.517,93.1384,38975,102,496,06A080,DOH,HKG,0
1527813707,23.4886,93.2782,38975,102,493,06A080,DOH,HKG,0
1527813772,23.4574,93.4331,38975,101,494,06A080,DOH,HKG,0
1527813830,23.4393,93.5822,39000,96,492,06A080,DOH,HKG,0
1527813885,23.4262,93.7178,38975,95,491,06A080,DOH,HKG,0
1527813945,23.412,93.8631,39000,96,490,06A080,DOH,HKG,0
1527814006,23.3973,94.0128,38975,96,491,06A080,DOH,HKG,0
1527814080,23.379,94.1957,38975,96,491,06A080,DOH,HKG,0
1527814137,23.365,94.3356,39000,96,490,06A080,DOH,HKG,0
1527814199,23.3497,94.4863,39000,96,488,06A080,DOH,HKG,0
1527814261,23.3344,94.6349,39000,96,487,06A080,DOH,HKG,0
1527814318,23.3197,94.7767,38975,96,486,06A080,DOH,HKG,0
1527814385,23.3031,94.9352,38975,96,483,06A080,DOH,HKG,0
1527814443,23.2884,95.075,38975,96,481,06A080,DOH,HKG,0
1527814503,23.2728,95.2222,39000,96,482,06A080,DOH,HKG,0
1527814561,23.2576,95.3631,39000,96,482,06A080,DOH,HKG,0
1527814626,23.2408,95.5172,39000,96,480,06A080,DOH,HKG,0
1527814685,23.2255,95.6584,39000,96,479,06A080,DOH,HKG,0
1527814748,23.209,95.8074,38975,96,479,06A080,DOH,HKG,0
1527814807,23.1933,95.9492,38975,97,481,06A080,DOH,HKG,0
1527814865,23.1775,96.0899,39000,96,483,06A080,DOH,HKG,0
1527814927,23.1608,96.2372,38975,97,483,06A080,DOH,HKG,0
1527814993,23.1429,96.3943,39000,96,484,06A080,DOH,HKG,0
1527815050,23.1269,96.5336,39000,96,484,06A080,DOH,HKG,0
1527815111,23.1096,96.6816,38975,97,479,06A080,DOH,HKG,0
1527815171,23.0933,96.8215,38975,97,476,06A080,DOH,HKG,0
1527815231,23.0763,96.9662,38975,97,476,06A080,DOH,HKG,0
1527815298,23.0574,97.1253,38975,97,477,06A080,DOH,HKG,0
1527815352,23.0423,97.2512,38975,97,477,06A080,DOH,HKG,0
1527815419,23.023,97.4116,39000,97,478,06A080,DOH,HKG,0
1527815475,23.007,97.5425,39000,97,478,06A080,DOH,HKG,0
1527815539,22.9881,97.6965,38975,97,479,06A080,DOH,HKG,0
1527815603,23.0111,97.8427,39000,70,477,06A080,DOH,HKG,0
1527815662,23.0578,97.9783,38975,69,477,06A080,DOH,HKG,0
1527815721,23.103,98.1101,39000,69,477,06A080,DOH,HKG,0
1527815783,23.1502,98.249,39000,69,477,06A080,DOH,HKG,0
1527815841,23.1947,98.3805,38975,69,476,06A080,DOH,HKG,0
1527815904,23.2422,98.5212,39000,69,475,06A080,DOH,HKG,0
1527815967,23.2896,98.6619,38975,69,473,06A080,DOH,HKG,0
1527816024,23.332,98.788,38975,69,475,06A080,DOH,HKG,0
1527816084,23.3403,98.9148,39000,91,475,06A080,DOH,HKG,0
1527816144,23.3383,99.0368,39000,91,475,06A080,DOH,HKG,0
1527816192,23.4499,99.1672,39075,78,473,06A080,DOH,HKG,0
1527816268,23.4474,99.3213,39075,91,473,06A080,DOH,HKG,0
1527816340,23.4443,99.4672,39075,92,473,06A080,DOH,HKG,0
1527816400,23.4404,99.5888,39075,92,473,06A080,DOH,HKG,0
1527816460,23.4365,99.7103,39075,92,473,06A080,DOH,HKG,0
1527816520,23.682,99.8877,39100,60,475,06A080,DOH,HKG,0
1527816582,23.7498,100.0191,39100,60,476,06A080,DOH,HKG,0
1527816642,23.8149,100.1452,39075,60,476,06A080,DOH,HKG,0
1527816705,23.8843,100.2801,39075,60,476,06A080,DOH,HKG,0
1527816766,23.9489,100.4059,39100,60,475,06A080,DOH,HKG,0
1527816829,24.014,100.5331,39100,60,474,06A080,DOH,HKG,0
1527816887,24.0784,100.6599,39075,61,471,06A080,DOH,HKG,0
1527816949,24.1419,100.7868,39100,61,471,06A080,DOH,HKG,0
1527817007,24.2026,100.908,39075,61,473,06A080,DOH,HKG,0
1527817070,24.2691,101.0412,39075,61,474,06A080,DOH,HKG,0
1527817131,24.3332,101.1698,39075,61,476,06A080,DOH,HKG,0
1527817190,24.3956,101.2957,39075,61,474,06A080,DOH,HKG,0
1527817255,24.4634,101.4325,39100,61,474,06A080,DOH,HKG,0
1527817318,24.5298,101.5671,39075,61,476,06A080,DOH,HKG,0
1527817378,24.5931,101.6968,39100,62,476,06A080,DOH,HKG,0
1527817439,24.6551,101.8257,39100,62,476,06A080,DOH,HKG,0
1527817495,24.7115,101.9426,39100,62,475,06A080,DOH,HKG,0
1527817558,24.7771,102.0792,39075,62,475,06A080,DOH,HKG,0
1527817622,24.8424,102.2155,39100,62,475,06A080,DOH,HKG,0
1527817684,24.9045,102.3456,39100,62,475,06A080,DOH,HKG,0
1527817744,24.9649,102.4778,39075,70,474,06A080,DOH,HKG,0
1527817805,24.9472,102.6175,39100,114,473,06A080,DOH,HKG,0
1527817868,24.8861,102.7559,39075,116,472,06A080,DOH,HKG,0
1527817925,24.8319,102.8781,39075,115,472,06A080,DOH,HKG,0
1527817987,24.7735,103.0114,39100,115,473,06A080,DOH,HKG,0
1527818049,24.7159,103.1425,39075,115,473,06A080,DOH,HKG,0
1527818110,24.6552,103.2796,39100,115,474,06A080,DOH,HKG,0
1527818171,24.5967,103.4115,39075,115,474,06A080,DOH,HKG,0
1527818231,24.5385,103.5422,39100,115,474,06A080,DOH,HKG,0
1527818293,24.48,103.6738,39100,115,473,06A080,DOH,HKG,0
1527818333,24.4516,103.763,39075,104,474,06A080,DOH,HKG,0
1527818408,24.4273,103.9142,39075,100,474,06A080,DOH,HKG,0
1527818480,24.4029,104.0592,39075,101,474,06A080,DOH,HKG,0
1527818540,24.3815,104.1797,39075,101,474,06A080,DOH,HKG,0
1527818600,24.3602,104.3002,39075,101,474,06A080,DOH,HKG,0
1527818660,24.3366,104.4335,39075,101,474,06A080,DOH,HKG,0
1527818720,24.3115,104.5752,39075,101,474,06A080,DOH,HKG,0
1527818780,24.2863,104.7169,39075,101,474,06A080,DOH,HKG,0
1527818840,24.2612,104.8586,39075,101,474,06A080,DOH,HKG,0
1527818900,24.2361,105.0003,39075,101,474,06A080,DOH,HKG,0
