timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner
1527827316,18.003,107.1174,41000,54,464,780A43,BKK,HKG,0
1527827365,18.0626,107.2204,41000,57,466,780A43,BKK,HKG,0
1527827433,18.1395,107.3471,41025,57,465,780A43,BKK,HKG,0
1527827496,18.2072,107.4452,41025,54,465,780A43,BKK,HKG,0
1527827556,18.2717,107.5386,41025,54,465,780A43,BKK,HKG,0
1527827616,18.3362,107.6321,41025,54,465,780A43,BKK,HKG,0
1527827676,18.4007,107.7257,41025,54,465,780A43,BKK,HKG,0
1527827736,18.4661,107.8235,41025,55,465,780A43,BKK,HKG,0
1527827788,18.5436,108.0201,41000,50,462,780A43,BKK,HKG,0
1527827845,18.6214,108.1195,40600,50,466,780A43,BKK,HKG,0
1527827920,18.7022,108.2368,40600,54,466,780A43,BKK,HKG,0
1527827965,18.7855,108.3292,39100,50,476,780A43,BKK,HKG,0
1527828040,18.866,108.4507,39100,55,476,780A43,BKK,HKG,0
1527828100,18.9708,108.573,39125,55,477,780A43,BKK,HKG,0
1527828168,19.0719,108.6969,39100,50,475,780A43,BKK,HKG,0
1527828232,19.1613,108.8121,39100,50,471,780A43,BKK,HKG,0
1527828291,19.2428,108.9174,39100,50,468,780A43,BKK,HKG,0
1527828348,19.3216,109.0193,39100,50,466,780A43,BKK,HKG,0
1527828411,19.406,109.1287,39100,50,467,780A43,BKK,HKG,0
1527828459,19.4733,109.2161,39100,50,468,780A43,BKK,HKG,0
1527828529,19.5689,109.3416,39100,51,470,780A43,BKK,HKG,0
1527828597,19.674,109.4519,39100,29,474,780A43,BKK,HKG,0
1527828658,19.7973,109.5052,39100,22,475,780A43,BKK,HKG,0
1527828724,19.8756,109.6045,39100,58,474,780A43,BKK,HKG,0
1527828779,19.9851,109.6883,39100,55,462,780A43,BKK,HKG,0
1527828842,20.0625,109.8077,39100,55,463,780A43,BKK,HKG,0
1527828902,20.1351,109.9198,39100,55,465,780A43,BKK,HKG,0
1527828951,20.1939,110.0107,39100,55,465,780A43,BKK,HKG,0
1527829029,20.2887,110.1577,39100,55,464,780A43,BKK,HKG,0
1527829085,20.3584,110.2661,39100,55,465,780A43,BKK,HKG,0
1527829132,20.4147,110.3538,39100,55,464,780A43,BKK,HKG,0
1527829211,20.5045,110.5046,39100,63,460,780A43,BKK,HKG,0
1527829268,20.5499,110.6269,39100,70,458,780A43,BKK,HKG,0
1527829333,20.5959,110.7622,39100,70,459,780A43,BKK,HKG,0
1527829387,20.6353,110.8789,39100,70,458,780A43,BKK,HKG,0
1527829450,20.6806,111.0133,39100,70,457,780A43,BKK,HKG,0
1527829511,20.7243,111.1433,39100,70,458,780A43,BKK,HKG,0
1527829575,20.7697,111.2789,39100,70,461,780A43,BKK,HKG,0
1527829627,20.8076,111.3923,39100,70,463,780A43,BKK,HKG,0
1527829702,20.8603,111.5498,39100,70,465,780A43,BKK,HKG,0
1527829745,20.8922,111.6439,39100,70,463,780A43,BKK,HKG,0
1527829814,20.9425,111.7934,39100,70,459,780A43,BKK,HKG,0
1527829880,20.9904,111.9358,39100,70,457,780A43,BKK,HKG,0
1527829942,21.0341,112.0664,39100,70,457,780A43,BKK,HKG,0
1527830004,21.0772,112.1952,38450,70,459,780A43,BKK,HKG,0
1527830063,21.121,112.3269,37450,70,461,780A43,BKK,HKG,0
1527830124,21.1639,112.4562,35650,70,467,780A43,BKK,HKG,0
1527830187,21.2102,112.5961,33225,70,463,780A43,BKK,HKG,0
1527830247,21.2504,112.7181,32375,70,417,780A43,BKK,HKG,0
1527830308,21.289,112.8352,28900,70,412,780A43,BKK,HKG,0
1527830370,21.3268,112.95,26475,70,393,780A43,BKK,HKG,0
1527830431,21.3636,113.0624,25025,70,383,780A43,BKK,HKG,0
1527830492,21.3958,113.1682,24075,80,374,780A43,BKK,HKG,0
1527830551,21.3616,113.2637,23425,118,340,780A43,BKK,HKG,0
1527830611,21.317,113.3532,22125,118,332,780A43,BKK,HKG,0
1527830671,21.2733,113.4397,20975,117,323,780A43,BKK,HKG,0
1527830735,21.2884,113.5318,19650,54,309,780A43,BKK,HKG,0
1527830796,21.3685,113.5592,18450,6,311,780A43,BKK,HKG,0
1527830860,21.4587,113.5712,17150,7,307,780A43,BKK,HKG,0
1527830919,21.5406,113.5904,16025,37,300,780A43,BKK,HKG,0
1527830984,21.6068,113.66,15025,44,294,780A43,BKK,HKG,0
1527831045,21.6643,113.7199,15000,42,295,780A43,BKK,HKG,0
1527831101,21.7232,113.7776,15000,42,295,780A43,BKK,HKG,0
1527831169,21.7966,113.8346,15000,28,298,780A43,BKK,HKG,0
1527831228,21.868,113.8769,15000,29,296,780A43,BKK,HKG,0
1527831289,21.9417,113.9206,15000,29,298,780A43,BKK,HKG,0
1527831348,22.0142,113.9639,15000,29,299,780A43,BKK,HKG,0
1527831412,22.0794,114.0231,13850,69,295,780A43,BKK,HKG,0
1527831472,22.1035,114.1077,12350,72,302,780A43,BKK,HKG,0
1527831517,22.1223,114.1715,11500,72,291,780A43,BKK,HKG,0
1527831594,22.1688,114.2668,9250,58,273,780A43,BKK,HKG,0
1527831652,22.2235,114.3109,8150,18,246,780A43,BKK,HKG,0
1527831701,22.2754,114.3256,7375,1,246,780A43,BKK,HKG,0
1527831762,22.3418,114.3001,6475,329,241,780A43,BKK,HKG,0
1527831839,22.3884,114.2365,5725,284,203,780A43,BKK,HKG,0
1527831893,22.4002,114.1845,4900,272,195,780A43,BKK,HKG,0
1527831937,22.3899,114.1437,4050,250,191,780A43,BKK,HKG,0
1527832003,22.371,114.0846,2875,250,187,780A43,BKK,HKG,0
1527832079,22.3506,114.0212,1750,250,159,780A43,BKK,HKG,0
1527832141,22.3372,113.9796,1025,251,148,780A43,BKK,HKG,0
1527832200,22.3239,113.9383,300,251,142,780A43,BKK,HKG,0
