timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner
1527829568,18.0687,112.6788,35000,15,507,4243FE,SIN,HKG,0
1527829628,18.2047,112.7172,35000,15,507,4243FE,SIN,HKG,0
1527829700,18.3678,112.7632,35000,15,507,4243FE,SIN,HKG,0
1527829748,18.4765,112.7939,35000,15,507,4243FE,SIN,HKG,0
1527829808,18.6125,112.8324,35000,15,507,4243FE,SIN,HKG,0
1527829880,18.7756,112.8785,35000,15,507,4243FE,SIN,HKG,0
1527829940,18.9116,112.917,35000,15,507,4243FE,SIN,HKG,0
1527830000,19.0475,112.9555,35000,15,507,4243FE,SIN,HKG,0
1527830060,19.1835,112.9941,35000,15,507,4243FE,SIN,HKG,0
1527830120,19.3194,113.0327,35000,15,507,4243FE,SIN,HKG,0
1527830180,19.4554,113.0713,35000,15,507,4243FE,SIN,HKG,0
1527830231,18.9926,114.7001,34975,14,507,4243FE,SIN,HKG,0
1527830304,19.1358,114.6735,34975,348,507,4243FE,SIN,HKG,0
1527830350,19.2634,114.6883,34975,355,497,4243FE,SIN,HKG,0
1527830424,19.4043,114.6538,34975,347,497,4243FE,SIN,HKG,0
1527830480,19.5633,114.6628,34975,355,492,4243FE,SIN,HKG,0
1527830551,19.7246,114.6492,34975,355,491,4243FE,SIN,HKG,0
1527830604,19.8348,114.6313,34975,346,491,4243FE,SIN,HKG,0
1527830676,20.0053,114.6253,35000,355,494,4243FE,SIN,HKG,0
1527830735,20.1431,114.6135,34475,355,488,4243FE,SIN,HKG,0
1527830794,20.2758,114.6022,33100,355,474,4243FE,SIN,HKG,0
1527830842,20.3804,114.5931,31825,355,467,4243FE,SIN,HKG,0
1527830917,20.5361,114.5798,29850,355,450,4243FE,SIN,HKG,0
1527830985,20.6747,114.5679,28050,355,439,4243FE,SIN,HKG,0
1527831044,20.7956,114.5574,26475,355,434,4243FE,SIN,HKG,0
1527831103,20.912,114.5536,24975,359,417,4243FE,SIN,HKG,0
1527831167,21.0294,114.5546,23500,359,365,4243FE,SIN,HKG,0
1527831209,21.1,114.5552,22200,359,360,4243FE,SIN,HKG,0
1527831290,21.2284,114.5514,20050,343,345,4243FE,SIN,HKG,0
1527831345,21.2849,114.4817,18900,295,335,4243FE,SIN,HKG,0
1527831413,21.3457,114.4044,17600,347,306,4243FE,SIN,HKG,0
1527831471,21.4264,114.4298,16175,22,307,4243FE,SIN,HKG,0
1527831534,21.5057,114.4659,14825,22,304,4243FE,SIN,HKG,0
1527831589,21.58,114.4996,13550,22,300,4243FE,SIN,HKG,0
1527831651,21.6623,114.4977,12525,342,292,4243FE,SIN,HKG,0
1527831716,21.7427,114.4698,11725,341,285,4243FE,SIN,HKG,0
1527831772,21.8151,114.4444,11000,341,282,4243FE,SIN,HKG,0
1527831826,21.8805,114.4217,10475,341,276,4243FE,SIN,HKG,0
1527831873,21.9363,114.4023,9900,341,273,4243FE,SIN,HKG,0
1527831960,22.041,114.3656,8875,341,268,4243FE,SIN,HKG,0
1527832020,22.1128,114.3405,8150,342,265,4243FE,SIN,HKG,0
1527832084,22.1851,114.3151,7425,341,265,4243FE,SIN,HKG,0
1527832126,22.2372,114.2964,6875,341,265,4243FE,SIN,HKG,0
1527832197,22.3159,114.2673,5900,340,237,4243FE,SIN,HKG,0
1527832261,22.3774,114.2442,5250,340,207,4243FE,SIN,HKG,0
1527832322,22.4028,114.193,4850,277,203,4243FE,SIN,HKG,0
1527832388,22.3853,114.1293,3725,251,203,4243FE,SIN,HKG,0
1527832449,22.3668,114.0716,2675,251,198,4243FE,SIN,HKG,0
1527832509,22.3503,114.0202,1750,250,174,4243FE,SIN,HKG,0
1527832569,22.3349,113.9726,900,250,165,4243FE,SIN,HKG,0
1527832625,22.3204,113.9276,125,250,161,4243FE,SIN,HKG,0
1527832692,22.3126,113.9061,0,219,33,4243FE,SIN,HKG,0
1527832753,22.3105,113.905,0,225,16,4243FE,SIN,HKG,0
1527832812,22.3084,113.9047,0,160,32,4243FE,SIN,HKG,0
1527832872,22.3042,113.9063,0,160,19,4243FE,SIN,HKG,0
1527832935,22.3013,113.9082,0,73,26,4243FE,SIN,HKG,0
1527832996,22.3027,113.9123,0,70,19,4243FE,SIN,HKG,0
1527833056,22.3031,113.9149,0,157,2,4243FE,SIN,HKG,0
1527833097,22.3031,113.9149,0,157,0,4243FE,SIN,HKG,0
1527833142,22.3031,113.9149,0,215,0,4243FE,SIN,HKG,0
1527833239,22.3013,113.9156,0,160,15,4243FE,SIN,HKG,0
1527833304,22.3008,113.9179,0,70,27,4243FE,SIN,HKG,0
1527833362,22.3009,113.9205,0,160,25,4243FE,SIN,HKG,0
1527833422,22.3,113.9223,0,70,24,4243FE,SIN,HKG,0
1527833463,22.3007,113.9244,0,70,29,4243FE,SIN,HKG,0
1527833516,22.3019,113.925,0,340,10,4243FE,SIN,HKG,0
