timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner
1527825251,43.3968,132.1643,0,58,0,42454A,VVO,HKG,0
1527825291,43.3968,132.1643,0,302,0,42454A,VVO,HKG,0
1527825291,43.3968,132.1643,0,302,0,42454A,VVO,HKG,0
1527825497,43.3972,132.1642,0,149,10,42454A,VVO,HKG,0
1527825559,43.3977,132.1634,0,64,11,42454A,VVO,HKG,0
1527825618,43.398,132.1639,0,61,11,42454A,VVO,HKG,0
1527825678,43.398,132.164,0,61,10,42454A,VVO,HKG,0
1527825740,43.3994,132.1674,0,59,18,42454A,VVO,HKG,0
1527825798,43.402,132.1703,0,329,16,42454A,VVO,HKG,0
1527825847,43.4034,132.1692,0,329,0,42454A,VVO,HKG,0
1527825922,43.4039,132.1688,0,331,21,42454A,VVO,HKG,0
1527825985,43.4042,132.1676,0,239,0,42454A,VVO,HKG,0
1527826044,43.3982,132.1526,0,241,150,42454A,VVO,HKG,0
1527826108,43.3727,132.0915,1625,240,204,42454A,VVO,HKG,0
1527826167,43.342,132.0159,3600,233,249,42454A,VVO,HKG,0
1527826224,43.2769,132.007,5975,165,276,42454A,VVO,HKG,0
1527826287,43.1975,132.0343,8475,165,296,42454A,VVO,HKG,0
1527826348,43.1125,132.063,10850,166,315,42454A,VVO,HKG,0
1527826412,43.0188,132.0946,13325,166,326,42454A,VVO,HKG,0
1527826477,42.9242,132.1263,15750,166,331,42454A,VVO,HKG,0
1527826532,42.8408,132.125,17350,214,342,42454A,VVO,HKG,0
1527826590,42.7645,132.0511,19175,216,347,42454A,VVO,HKG,0
1527826650,42.6869,131.9751,21075,216,350,42454A,VVO,HKG,0
1527826820,42.4555,131.7498,25125,216,379,42454A,VVO,HKG,0
1527826880,42.3614,131.6929,26400,181,391,42454A,VVO,HKG,0
1527826947,42.2453,131.7529,27775,153,397,42454A,VVO,HKG,0
1527827006,42.1457,131.8207,28875,153,406,42454A,VVO,HKG,0
1527827066,42.0462,131.8882,30000,153,410,42454A,VVO,HKG,0
1527827125,41.944,131.9574,31050,153,414,42454A,VVO,HKG,0
1527827191,41.8293,132.0348,31600,153,432,42454A,VVO,HKG,0
1527827255,41.7171,132.1102,32200,153,443,42454A,VVO,HKG,0
1527827315,41.6051,132.1851,33125,153,445,42454A,VVO,HKG,0
1527827359,41.5263,132.2321,33775,160,445,42454A,VVO,HKG,0
1527827432,41.417,132.1649,33775,225,445,42454A,VVO,HKG,0
1527827492,41.3428,132.066,33775,225,445,42454A,VVO,HKG,0
1527827552,41.1254,132.2486,34000,216,526,42454A,VVO,HKG,0
1527827612,41.0377,132.1322,34000,225,526,42454A,VVO,HKG,0
1527827672,40.9499,132.016,34000,225,526,42454A,VVO,HKG,0
1527827744,40.8446,131.8766,34000,225,526,42454A,VVO,HKG,0
1527827800,40.5932,132.2762,34000,226,474,42454A,VVO,HKG,0
1527827860,40.5155,132.1703,34000,226,474,42454A,VVO,HKG,0
1527827920,40.4378,132.0646,34000,226,474,42454A,VVO,HKG,0
1527827980,40.3601,131.9589,34000,226,474,42454A,VVO,HKG,0
