timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner
1527817132,37.4908,126.3894,1750,307,189,88003D,ICN,HKG,0
1527817185,37.5049,126.3286,3400,272,200,88003D,ICN,HKG,0
1527817253,37.5067,126.2398,4600,271,260,88003D,ICN,HKG,0
1527817319,37.4701,126.1635,6875,201,285,88003D,ICN,HKG,0
1527817380,37.3918,126.161,8925,139,298,88003D,ICN,HKG,0
1527817437,37.3403,126.2345,10650,130,314,88003D,ICN,HKG,0
1527817493,37.2819,126.3183,11600,131,370,88003D,ICN,HKG,0
1527817558,37.2036,126.4265,14550,138,390,88003D,ICN,HKG,0
1527817620,37.1022,126.4875,17200,159,408,88003D,ICN,HKG,0
1527817680,36.99,126.5322,19550,165,427,88003D,ICN,HKG,0
1527817743,36.8688,126.5718,21875,165,442,88003D,ICN,HKG,0
1527817804,36.7464,126.6122,23975,165,456,88003D,ICN,HKG,0
1527817859,36.63,126.6513,25775,164,466,88003D,ICN,HKG,0
1527817926,36.491,126.6982,28575,164,452,88003D,ICN,HKG,0
1527817985,36.371,126.7382,29750,164,469,88003D,ICN,HKG,0
1527818044,36.2428,126.7619,30425,178,491,88003D,ICN,HKG,0
1527818105,36.1015,126.765,31375,182,506,88003D,ICN,HKG,0
1527818170,35.9499,126.7499,33200,185,500,88003D,ICN,HKG,0
1527818228,35.8177,126.735,34475,185,497,88003D,ICN,HKG,0
1527818290,35.678,126.7199,36050,184,488,88003D,ICN,HKG,0
1527818351,35.5378,126.7048,36800,185,494,88003D,ICN,HKG,0
1527818409,35.4055,126.6907,37875,184,489,88003D,ICN,HKG,0
1527818481,35.2493,126.6741,38000,184,482,88003D,ICN,HKG,0
1527818540,35.1147,126.6598,38000,184,480,88003D,ICN,HKG,0
1527818602,34.9816,126.6458,38000,185,481,88003D,ICN,HKG,0
1527818657,34.8524,126.6322,38000,184,484,88003D,ICN,HKG,0
1527818716,34.7224,126.6186,38000,184,487,88003D,ICN,HKG,0
1527818782,34.572,126.6028,38000,184,488,88003D,ICN,HKG,0
1527818834,34.4573,126.5909,38000,184,489,88003D,ICN,HKG,0
1527818904,34.2983,126.5743,38000,184,486,88003D,ICN,HKG,0
1527818964,34.1712,126.5326,38000,199,470,88003D,ICN,HKG,0
1527819027,34.0407,126.4828,38000,196,471,88003D,ICN,HKG,0
1527819086,33.9186,126.4349,38000,198,470,88003D,ICN,HKG,0
1527819146,33.7932,126.3851,38000,197,471,88003D,ICN,HKG,0
1527819204,33.6709,126.3383,38000,197,471,88003D,ICN,HKG,0
1527819266,33.5438,126.2897,38000,197,470,88003D,ICN,HKG,0
1527819331,33.4083,126.2377,38000,197,471,88003D,ICN,HKG,0
1527819391,33.2845,126.1901,38000,197,473,88003D,ICN,HKG,0
1527819451,33.1635,126.1437,38000,197,473,88003D,ICN,HKG,0
1527819511,33.035,126.0947,38000,197,475,88003D,ICN,HKG,0
1527819565,32.921,126.0513,38000,197,474,88003D,ICN,HKG,0
1527819638,32.7696,125.994,38025,197,462,88003D,ICN,HKG,0
1527819693,32.6572,125.9512,38000,197,461,88003D,ICN,HKG,0
1527819756,32.5297,125.9032,38000,197,459,88003D,ICN,HKG,0
1527819822,32.3951,125.8526,38000,197,455,88003D,ICN,HKG,0
1527819881,32.2774,125.8084,38000,197,452,88003D,ICN,HKG,0
1527819940,32.1599,125.7644,38000,197,450,88003D,ICN,HKG,0
1527820002,32.0356,125.718,38000,197,444,88003D,ICN,HKG,0
1527820061,31.9227,125.676,38000,197,438,88003D,ICN,HKG,0
1527820119,31.8133,125.6353,38000,197,435,88003D,ICN,HKG,0
1527820188,31.7237,125.5419,38000,231,435,88003D,ICN,HKG,0
1527820248,31.6591,125.4482,38000,231,435,88003D,ICN,HKG,0
1527820308,31.5945,125.3545,38000,231,435,88003D,ICN,HKG,0
1527820368,31.5299,125.2609,38000,231,435,88003D,ICN,HKG,0
1527820428,31.463,125.164,38000,231,435,88003D,ICN,HKG,0
1527820488,31.387,125.0541,38000,231,435,88003D,ICN,HKG,0
1527820548,31.311,124.9442,38000,231,435,88003D,ICN,HKG,0
1527820608,31.235,124.8344,38000,231,435,88003D,ICN,HKG,0
1527820668,31.159,124.7247,38000,231,435,88003D,ICN,HKG,0
1527820728,31.0827,124.6154,38000,230,435,88003D,ICN,HKG,0
1527820800,30.9895,124.4859,38000,230,435,88003D,ICN,HKG,0
1527820860,30.9119,124.378,38000,230,435,88003D,ICN,HKG,0
1527820920,30.8343,124.2703,38000,230,435,88003D,ICN,HKG,0
1527820980,30.7567,124.1626,38000,230,435,88003D,ICN,HKG,0
1527821040,30.679,124.055,38000,230,435,88003D,ICN,HKG,0
1527821100,30.6014,123.9475,38000,230,435,88003D,ICN,HKG,0
1527821164,29.8058,124.8038,38000,236,458,88003D,ICN,HKG,0
1527821224,29.745,124.7009,38000,235,458,88003D,ICN,HKG,0
1527821284,29.683,124.599,38000,235,458,88003D,ICN,HKG,0
1527821321,29.4431,124.7157,38000,200,462,88003D,ICN,HKG,0
1527821408,29.3462,124.5746,38000,237,462,88003D,ICN,HKG,0
1527821468,29.2868,124.4698,38000,237,462,88003D,ICN,HKG,0
1527821528,29.2274,124.365,38000,237,462,88003D,ICN,HKG,0
1527821588,28.9125,124.4774,38000,213,453,88003D,ICN,HKG,0
1527821638,28.8244,124.407,38000,215,452,88003D,ICN,HKG,0
1527821705,28.711,124.3153,38000,215,452,88003D,ICN,HKG,0
1527821764,28.6269,124.227,38000,235,452,88003D,ICN,HKG,0
1527821824,28.572,124.1229,38000,239,452,88003D,ICN,HKG,0
1527821884,28.517,124.0188,38000,239,452,88003D,ICN,HKG,0
1527821956,28.4502,123.8947,38000,238,452,88003D,ICN,HKG,0
1527821996,28.1973,123.9431,38000,202,460,88003D,ICN,HKG,0
1527822072,28.1163,123.8193,38000,240,460,88003D,ICN,HKG,0
1527822132,28.062,123.7128,38000,240,460,88003D,ICN,HKG,0
1527822203,27.7868,123.7479,38000,202,465,88003D,ICN,HKG,0
1527822264,27.6952,123.6686,38000,241,465,88003D,ICN,HKG,0
1527822325,27.5577,123.6198,38000,215,456,88003D,ICN,HKG,0
1527822384,27.4536,123.535,38000,216,456,88003D,ICN,HKG,0
1527822436,27.3641,123.4622,38000,215,457,88003D,ICN,HKG,0
1527822500,27.3048,123.3515,38000,242,457,88003D,ICN,HKG,0
1527822565,27.1404,123.2824,38000,215,460,88003D,ICN,HKG,0
1527822614,27.0572,123.2156,38000,215,460,88003D,ICN,HKG,0
1527822684,26.9355,123.1182,38000,215,453,88003D,ICN,HKG,0
1527822749,26.825,123.0299,38000,215,450,88003D,ICN,HKG,0
1527822812,26.7696,122.922,38000,244,450,88003D,ICN,HKG,0
1527822868,26.6229,122.869,38000,215,451,88003D,ICN,HKG,0
1527822931,26.5168,122.785,38000,215,452,88003D,ICN,HKG,0
1527822991,26.4133,122.7031,38000,215,452,88003D,ICN,HKG,0
1527823055,26.3038,122.6166,38000,215,453,88003D,ICN,HKG,0
1527823119,26.1948,122.5307,38000,215,453,88003D,ICN,HKG,0
1527823178,26.0921,122.45,38000,215,454,88003D,ICN,HKG,0
1527823233,25.9979,122.3761,38000,215,454,88003D,ICN,HKG,0
1527823295,25.8948,122.2956,38000,215,455,88003D,ICN,HKG,0
1527823357,25.783,122.2083,38000,215,456,88003D,ICN,HKG,0
1527823418,25.6781,122.1265,38000,215,457,88003D,ICN,HKG,0
1527823483,25.5764,122.0286,38000,228,453,88003D,ICN,HKG,0
1527823541,25.4991,121.9302,38000,229,454,88003D,ICN,HKG,0
1527823606,25.409,121.8151,38000,229,457,88003D,ICN,HKG,0
1527823663,25.3268,121.7112,38000,228,460,88003D,ICN,HKG,0
1527823717,25.2502,121.6147,38000,228,462,88003D,ICN,HKG,0
1527823787,25.1514,121.4897,38000,229,463,88003D,ICN,HKG,0
1527823845,25.0727,121.387,38000,229,462,88003D,ICN,HKG,0
1527823908,24.9856,121.2741,38000,229,463,88003D,ICN,HKG,0
1527823965,24.9062,121.1717,38000,229,463,88003D,ICN,HKG,0
1527824025,24.8229,121.0645,38000,229,466,88003D,ICN,HKG,0
1527824087,24.7348,120.9513,38000,229,466,88003D,ICN,HKG,0
1527824150,24.6458,120.8372,38000,229,466,88003D,ICN,HKG,0
1527824211,24.56,120.7286,38000,227,467,88003D,ICN,HKG,0
