timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner
1527839670,34.4394,135.2523,0,180,0,780AC5,KIX,HKG,0
1527839734,34.4397,135.2527,0,230,2,780AC5,KIX,HKG,0
1527839795,34.44,135.2531,0,154,2,780AC5,KIX,HKG,0
1527839857,34.4402,135.253,0,140,2,780AC5,KIX,HKG,0
1527839917,34.4399,135.2533,0,89,0,780AC5,KIX,HKG,0
1527839972,34.4399,135.2533,0,74,0,780AC5,KIX,HKG,0
1527840038,34.4399,135.2533,0,74,0,780AC5,KIX,HKG,0
1527840093,34.4399,135.2533,0,255,0,780AC5,KIX,HKG,0
1527840161,34.4399,135.2533,0,74,0,780AC5,KIX,HKG,0
1527840223,34.439,135.2541,0,140,21,780AC5,KIX,HKG,0
1527840285,34.4374,135.2539,0,230,23,780AC5,KIX,HKG,0
1527840343,34.4351,135.2505,0,230,34,780AC5,KIX,HKG,0
1527840357,34.4344,135.2495,0,230,15,780AC5,KIX,HKG,0
1527840488,34.427,135.2384,0,230,24,780AC5,KIX,HKG,0
1527840586,34.4222,135.2313,0,230,15,780AC5,KIX,HKG,0
1527840602,34.4218,135.2306,0,230,26,780AC5,KIX,HKG,0
1527841015,34.4201,135.2281,0,271,0,780AC5,KIX,HKG,0
1527841085,34.4201,135.2281,0,271,0,780AC5,KIX,HKG,0
1527841140,34.4193,135.2276,0,168,19,780AC5,KIX,HKG,0
1527841207,34.4175,135.2296,0,109,13,780AC5,KIX,HKG,0
1527841263,34.4177,135.2297,0,61,0,780AC5,KIX,HKG,0
1527841334,34.4355,135.2561,425,50,183,780AC5,KIX,HKG,0
1527841391,34.4667,135.2952,2925,44,166,780AC5,KIX,HKG,0
1527841438,34.5055,135.3074,3900,4,205,780AC5,KIX,HKG,0
1527841515,34.5525,135.2202,6400,287,277,780AC5,KIX,HKG,0
1527841578,34.5771,135.1279,8975,287,291,780AC5,KIX,HKG,0
1527841636,34.6023,135.0326,11075,287,312,780AC5,KIX,HKG,0
1527841694,34.5775,134.9272,12150,239,367,780AC5,KIX,HKG,0
1527841755,34.5216,134.8208,14225,230,385,780AC5,KIX,HKG,0
1527841815,34.4514,134.7206,16475,229,391,780AC5,KIX,HKG,0
1527841876,34.3801,134.6179,18475,229,397,780AC5,KIX,HKG,0
1527841935,34.3094,134.5167,20275,229,403,780AC5,KIX,HKG,0
1527841995,34.2367,134.4126,21950,230,403,780AC5,KIX,HKG,0
1527842056,34.166,134.312,23250,230,410,780AC5,KIX,HKG,0
1527842129,34.0708,134.1767,24925,229,422,780AC5,KIX,HKG,0
1527842189,33.9952,134.0667,26300,230,423,780AC5,KIX,HKG,0
1527842245,33.9262,133.9672,27000,230,434,780AC5,KIX,HKG,0
1527842314,33.8364,133.8382,28275,230,436,780AC5,KIX,HKG,0
1527842372,33.7612,133.7307,30975,230,396,780AC5,KIX,HKG,0
1527842432,33.6914,133.6311,31975,229,394,780AC5,KIX,HKG,0
1527842495,33.6188,133.5277,33450,229,379,780AC5,KIX,HKG,0
1527842558,33.5495,133.4293,33925,229,388,780AC5,KIX,HKG,0
1527842616,33.4791,133.3296,34000,229,394,780AC5,KIX,HKG,0
1527842679,33.4046,133.2246,34000,229,392,780AC5,KIX,HKG,0
1527842738,33.3349,133.1266,34025,229,391,780AC5,KIX,HKG,0
1527842799,33.2673,133.0318,34025,229,387,780AC5,KIX,HKG,0
1527842860,33.1944,132.9296,34025,229,382,780AC5,KIX,HKG,0
1527842919,33.126,132.8341,34025,229,375,780AC5,KIX,HKG,0
1527842983,33.0578,132.7391,33975,229,372,780AC5,KIX,HKG,0
1527843043,32.9909,132.6461,33950,230,372,780AC5,KIX,HKG,0
1527843098,32.9258,132.5562,33975,229,371,780AC5,KIX,HKG,0
1527843161,32.8552,132.4583,34000,229,373,780AC5,KIX,HKG,0
1527843223,32.7866,132.3638,34000,229,373,780AC5,KIX,HKG,0
1527843288,32.7123,132.2615,34025,229,375,780AC5,KIX,HKG,0
1527843348,32.6463,132.1677,34000,234,375,780AC5,KIX,HKG,0
1527843403,32.5919,132.0748,34000,235,376,780AC5,KIX,HKG,0
1527843465,32.5296,131.969,34000,235,379,780AC5,KIX,HKG,0
1527843534,32.4598,131.8507,34025,235,381,780AC5,KIX,HKG,0
1527843595,32.398,131.7463,34025,235,381,780AC5,KIX,HKG,0
1527843655,32.3369,131.6436,34000,235,379,780AC5,KIX,HKG,0
1527843716,32.2764,131.5421,34000,235,380,780AC5,KIX,HKG,0
1527843771,32.2194,131.4464,33975,235,380,780AC5,KIX,HKG,0
1527843836,32.1559,131.3401,34000,235,380,780AC5,KIX,HKG,0
1527843896,32.093,131.2353,33975,235,382,780AC5,KIX,HKG,0
1527843956,32.0315,131.1332,34000,235,383,780AC5,KIX,HKG,0
1527844022,31.9657,131.0241,34000,235,385,780AC5,KIX,HKG,0
1527844077,31.9105,130.9331,34000,235,385,780AC5,KIX,HKG,0
1527844143,31.8413,130.8187,34025,234,387,780AC5,KIX,HKG,0
1527844204,31.7766,130.7126,34000,234,388,780AC5,KIX,HKG,0
1527844267,31.7102,130.6038,34000,234,390,780AC5,KIX,HKG,0
1527844326,31.6443,130.5018,34000,232,394,780AC5,KIX,HKG,0
1527844387,31.577,130.3999,34025,232,395,780AC5,KIX,HKG,0
1527844447,31.5094,130.2973,34000,232,396,780AC5,KIX,HKG,0
1527844510,31.4389,130.1909,34000,232,396,780AC5,KIX,HKG,0
1527844570,31.3738,130.0927,34000,232,397,780AC5,KIX,HKG,0
1527844635,31.2985,129.9796,34000,232,398,780AC5,KIX,HKG,0
1527844692,31.2338,129.8826,34000,232,399,780AC5,KIX,HKG,0
1527844758,31.1584,129.77,34000,232,400,780AC5,KIX,HKG,0
1527844818,31.0902,129.6683,34000,231,402,780AC5,KIX,HKG,0
1527844879,31.0205,129.5647,34000,231,404,780AC5,KIX,HKG,0
1527844941,30.9499,129.4601,34000,231,405,780AC5,KIX,HKG,0
1527844999,30.8807,129.3575,34025,231,405,780AC5,KIX,HKG,0
1527845064,30.8072,129.2491,34000,231,405,780AC5,KIX,HKG,0
1527845123,30.7376,129.1449,33975,233,405,780AC5,KIX,HKG,0
1527845184,30.6689,129.0401,33975,232,406,780AC5,KIX,HKG,0
1527845244,30.5995,128.9347,34000,232,409,780AC5,KIX,HKG,0
1527845304,30.5302,128.8298,34000,232,411,780AC5,KIX,HKG,0
1527845364,30.4737,128.7306,34025,242,413,780AC5,KIX,HKG,0
1527845424,30.4279,128.6308,34025,242,413,780AC5,KIX,HKG,0
1527845485,30.3202,128.5135,34000,232,410,780AC5,KIX,HKG,0
1527845548,30.2725,128.4097,34000,242,410,780AC5,KIX,HKG,0
1527845608,30.1885,128.3033,33975,242,409,780AC5,KIX,HKG,0
1527845673,30.1011,128.1865,34000,232,411,780AC5,KIX,HKG,0
1527845733,30.0316,128.0835,34050,232,410,780AC5,KIX,HKG,0
1527845787,29.9698,127.9918,34050,232,407,780AC5,KIX,HKG,0
1527845852,29.9051,127.8808,34025,243,404,780AC5,KIX,HKG,0
1527845912,29.8615,127.783,34025,242,404,780AC5,KIX,HKG,0
1527845972,29.8168,127.686,34025,242,404,780AC5,KIX,HKG,0
1527846023,29.6933,127.6066,34000,229,392,780AC5,KIX,HKG,0
1527846096,29.6422,127.4912,34000,243,392,780AC5,KIX,HKG,0
1527846156,29.6002,127.3964,34000,243,392,780AC5,KIX,HKG,0
1527846216,29.5582,127.3017,34000,243,392,780AC5,KIX,HKG,0
1527846285,29.3942,127.1857,34025,231,394,780AC5,KIX,HKG,0
1527846344,29.3463,127.0886,34000,243,396,780AC5,KIX,HKG,0
1527846404,29.3039,126.9931,34000,243,396,780AC5,KIX,HKG,0
1527846464,29.2615,126.8976,34000,243,396,780AC5,KIX,HKG,0
1527846524,29.219,126.8022,34000,243,396,780AC5,KIX,HKG,0
1527846596,29.1666,126.6844,34000,243,396,780AC5,KIX,HKG,0
1527846656,29.1167,126.5723,34000,243,396,780AC5,KIX,HKG,0
1527846720,28.8935,126.4587,34000,243,409,780AC5,KIX,HKG,0
1527846759,28.8311,126.3918,34000,229,409,780AC5,KIX,HKG,0
1527846832,28.7778,126.2724,34000,243,409,780AC5,KIX,HKG,0
1527846892,28.734,126.1743,34000,243,409,780AC5,KIX,HKG,0
1527846964,28.6814,126.0567,34000,243,409,780AC5,KIX,HKG,0
1527847022,28.5125,125.9556,34000,231,413,780AC5,KIX,HKG,0
1527847082,28.4396,125.8532,34025,231,412,780AC5,KIX,HKG,0
1527847144,28.367,125.7513,34000,231,412,780AC5,KIX,HKG,0
1527847206,28.2903,125.644,34000,230,413,780AC5,KIX,HKG,0
1527847267,28.2172,125.542,34000,230,413,780AC5,KIX,HKG,0
1527847338,28.1344,125.4268,34000,230,413,780AC5,KIX,HKG,0
1527847394,28.0648,125.33,34000,230,414,780AC5,KIX,HKG,0
1527847455,27.9909,125.2277,34000,230,415,780AC5,KIX,HKG,0
1527847515,27.917,125.1255,34000,230,417,780AC5,KIX,HKG,0
1527847579,27.8388,125.0174,34000,230,419,780AC5,KIX,HKG,0
1527847638,27.7645,124.9155,34000,230,419,780AC5,KIX,HKG,0
1527847699,27.6912,124.8149,34000,230,421,780AC5,KIX,HKG,0
1527847760,27.614,124.7092,34025,230,423,780AC5,KIX,HKG,0
1527847818,27.5427,124.6117,34025,230,423,780AC5,KIX,HKG,0
1527847886,27.46,124.499,34000,230,423,780AC5,KIX,HKG,0
1527847942,27.3876,124.4003,34000,230,424,780AC5,KIX,HKG,0
1527848004,27.3118,124.2975,34375,230,426,780AC5,KIX,HKG,0
1527848063,27.2365,124.1954,35075,230,426,780AC5,KIX,HKG,0
1527848124,27.1601,124.092,35825,230,425,780AC5,KIX,HKG,0
1527848192,27.0761,123.9789,36000,230,424,780AC5,KIX,HKG,0
1527848250,26.9986,123.8761,36000,229,428,780AC5,KIX,HKG,0
1527848310,26.9213,123.7737,35975,229,427,780AC5,KIX,HKG,0
1527848366,26.851,123.6809,35975,229,429,780AC5,KIX,HKG,0
1527848436,26.7615,123.5627,36000,229,431,780AC5,KIX,HKG,0
1527848495,26.6839,123.4606,36025,229,433,780AC5,KIX,HKG,0
1527848556,26.6065,123.359,36000,229,435,780AC5,KIX,HKG,0
1527848608,26.5629,123.2683,36000,246,436,780AC5,KIX,HKG,0
1527848679,26.4428,123.1447,36025,229,439,780AC5,KIX,HKG,0
1527848722,26.3874,123.0724,36000,229,438,780AC5,KIX,HKG,0
1527848797,26.2873,122.9412,36000,230,438,780AC5,KIX,HKG,0
1527848864,26.2026,122.8289,35975,230,439,780AC5,KIX,HKG,0
1527848926,26.1193,122.7191,35975,229,439,780AC5,KIX,HKG,0
1527848988,26.0402,122.6148,36000,230,442,780AC5,KIX,HKG,0
1527849044,25.964,122.5149,36025,229,443,780AC5,KIX,HKG,0
1527849108,25.8792,122.4071,36025,228,444,780AC5,KIX,HKG,0
1527849167,25.7964,122.3036,36000,228,442,780AC5,KIX,HKG,0
1527849227,25.7141,122.2008,36000,228,444,780AC5,KIX,HKG,0
1527849295,25.6228,122.0868,35975,228,444,780AC5,KIX,HKG,0
1527849356,25.5403,121.9819,35975,229,447,780AC5,KIX,HKG,0
1527849415,25.46,121.8798,36000,228,449,780AC5,KIX,HKG,0
1527849477,25.3739,121.7707,36000,228,450,780AC5,KIX,HKG,0
1527849538,25.2903,121.6651,36025,228,450,780AC5,KIX,HKG,0
