timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner
1527846716,18.0218,111.2473,33000,29,456,8880C8,SGN,HKG,0
1527846776,18.1159,111.3022,33000,29,456,8880C8,SGN,HKG,0
1527846836,18.21,111.3571,33000,29,456,8880C8,SGN,HKG,0
1527846896,18.3074,111.414,33000,29,456,8880C8,SGN,HKG,0
1527846960,18.2771,111.7979,33000,47,458,8880C8,SGN,HKG,0
1527847024,18.3808,111.8508,33000,25,458,8880C8,SGN,HKG,0
1527847084,18.4787,111.899,33000,25,458,8880C8,SGN,HKG,0
1527847144,18.5767,111.9472,33000,25,458,8880C8,SGN,HKG,0
1527847187,18.6016,112.1747,33000,48,458,8880C8,SGN,HKG,0
1527847264,18.6922,112.2917,33025,28,458,8880C8,SGN,HKG,0
1527847336,18.8124,112.343,33025,22,458,8880C8,SGN,HKG,0
1527847396,18.9126,112.3858,33025,22,458,8880C8,SGN,HKG,0
1527847456,19.0128,112.4286,33025,22,458,8880C8,SGN,HKG,0
1527847516,19.1166,112.4729,33025,22,458,8880C8,SGN,HKG,0
1527847576,19.2344,112.5234,33025,22,458,8880C8,SGN,HKG,0
1527847636,19.3523,112.5738,33025,22,458,8880C8,SGN,HKG,0
1527847696,19.4702,112.6243,33025,22,458,8880C8,SGN,HKG,0
1527847760,19.6696,112.6436,33000,23,443,8880C8,SGN,HKG,0
1527847820,19.8012,112.6578,32950,24,444,8880C8,SGN,HKG,0
1527847883,19.94,112.6717,33025,9,445,8880C8,SGN,HKG,0
1527847940,20.0351,112.7149,33025,25,445,8880C8,SGN,HKG,0
1527847981,20.1427,112.709,33000,9,446,8880C8,SGN,HKG,0
1527848064,20.3078,112.7393,33025,9,444,8880C8,SGN,HKG,0
1527848115,20.4124,112.7586,33000,9,443,8880C8,SGN,HKG,0
1527848190,20.5642,112.7865,32975,9,442,8880C8,SGN,HKG,0
1527848249,20.6872,112.8093,33000,9,442,8880C8,SGN,HKG,0
1527848312,20.8015,112.8466,33000,29,443,8880C8,SGN,HKG,0
1527848352,20.895,112.8478,33000,9,443,8880C8,SGN,HKG,0
1527848423,21.0389,112.8744,30800,9,439,8880C8,SGN,HKG,0
1527848492,21.1749,112.8997,28275,9,423,8880C8,SGN,HKG,0
1527848554,21.2896,112.9337,25750,26,419,8880C8,SGN,HKG,0
1527848612,21.3516,113.0262,24775,70,407,8880C8,SGN,HKG,0
1527848657,21.3805,113.1136,23300,70,402,8880C8,SGN,HKG,0
1527848737,21.4551,113.2581,19200,59,409,8880C8,SGN,HKG,0
1527848798,21.511,113.3594,16975,59,389,8880C8,SGN,HKG,0
1527848862,21.5708,113.4684,14325,59,381,8880C8,SGN,HKG,0
1527848926,21.6261,113.5691,12225,59,368,8880C8,SGN,HKG,0
1527848986,21.6786,113.6652,11300,59,365,8880C8,SGN,HKG,0
1527849043,21.7272,113.7543,10675,59,351,8880C8,SGN,HKG,0
1527849107,21.7904,113.8262,9725,17,304,8880C8,SGN,HKG,0
1527849167,21.8715,113.8171,8325,351,287,8880C8,SGN,HKG,0
1527849227,21.9508,113.8034,6700,350,284,8880C8,SGN,HKG,0
1527849296,22.0357,113.7887,5450,351,262,8880C8,SGN,HKG,0
1527849357,22.1081,113.7764,4025,350,262,8880C8,SGN,HKG,0
1527849406,22.168,113.7654,3225,350,254,8880C8,SGN,HKG,0
1527849468,22.2345,113.753,2650,353,216,8880C8,SGN,HKG,0
1527849538,22.2771,113.7942,2025,68,167,8880C8,SGN,HKG,0
1527849607,22.2926,113.8413,1200,70,136,8880C8,SGN,HKG,0
1527849654,22.3025,113.8719,650,71,133,8880C8,SGN,HKG,0
1527849722,22.3152,113.9111,0,70,68,8880C8,SGN,HKG,0
1527849785,22.3161,113.9195,0,98,17,8880C8,SGN,HKG,0
1527849846,22.3143,113.921,0,149,25,8880C8,SGN,HKG,0
1527849906,22.3128,113.9243,0,115,22,8880C8,SGN,HKG,0
1527849973,22.3136,113.9248,0,25,0,8880C8,SGN,HKG,0
1527850028,22.3137,113.9248,0,180,0,8880C8,SGN,HKG,0
1527850064,22.3136,113.9248,0,180,0,8880C8,SGN,HKG,0
1527850135,22.3136,113.9248,0,180,0,8880C8,SGN,HKG,0
1527850208,22.3137,113.9248,0,180,0,8880C8,SGN,HKG,0
1527850254,22.3136,113.9248,0,180,0,8880C8,SGN,HKG,0
1527850319,22.3137,113.9248,0,180,0,8880C8,SGN,HKG,0
1527850398,22.3137,113.9248,0,180,0,8880C8,SGN,HKG,0
1527850458,22.3137,113.9248,0,180,0,8880C8,SGN,HKG,0
1527850510,22.3137,113.9248,0,180,0,8880C8,SGN,HKG,0
