timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner
1527813705,24.8285,118.6091,2275,29,154,78070B,JJN,HKG,0
1527813773,24.8858,118.6458,5000,30,228,78070B,JJN,HKG,0
1527813833,24.9142,118.7026,7925,110,254,78070B,JJN,HKG,0
1527813888,24.8598,118.715,10900,222,236,78070B,JJN,HKG,0
1527813952,24.8147,118.6466,12525,234,310,78070B,JJN,HKG,0
1527814011,24.7589,118.5606,13800,234,367,78070B,JJN,HKG,0
1527814079,24.689,118.4531,16175,234,363,78070B,JJN,HKG,0
1527814138,24.6339,118.3683,18625,234,369,78070B,JJN,HKG,0
1527814198,24.5659,118.2785,19725,229,380,78070B,JJN,HKG,0
1527814261,24.4934,118.1865,19700,229,382,78070B,JJN,HKG,0
1527814320,24.4221,118.0963,19700,229,387,78070B,JJN,HKG,0
1527814383,24.3477,118.0021,21450,229,394,78070B,JJN,HKG,0
1527814444,24.2747,117.9099,23075,229,401,78070B,JJN,HKG,0
1527814504,24.1994,117.8153,24525,228,413,78070B,JJN,HKG,0
1527814565,24.1224,117.7185,25600,229,428,78070B,JJN,HKG,0
1527814627,24.0396,117.6171,25600,225,429,78070B,JJN,HKG,0
1527814687,23.9544,117.5251,25600,224,429,78070B,JJN,HKG,0
1527814748,23.8682,117.4318,25600,226,425,78070B,JJN,HKG,0
1527814808,23.8177,117.3192,25600,252,417,78070B,JJN,HKG,0
1527814868,23.7819,117.1969,25600,252,419,78070B,JJN,HKG,0
1527814926,23.7482,117.0824,25600,252,419,78070B,JJN,HKG,0
1527814991,23.6792,116.9605,25575,226,452,78070B,JJN,HKG,0
1527815054,23.592,116.861,25600,226,454,78070B,JJN,HKG,0
1527815114,23.5039,116.7609,25600,226,456,78070B,JJN,HKG,0
1527815172,23.4067,116.671,25600,217,457,78070B,JJN,HKG,0
1527815230,23.3101,116.5905,25600,217,457,78070B,JJN,HKG,0
1527815298,23.1934,116.4935,25600,217,457,78070B,JJN,HKG,0
1527815353,23.1016,116.4175,25600,217,456,78070B,JJN,HKG,0
1527815413,22.9983,116.3453,25600,210,456,78070B,JJN,HKG,0
1527815474,22.8835,116.2727,25600,210,457,78070B,JJN,HKG,0
1527815541,22.7642,116.1974,25600,211,459,78070B,JJN,HKG,0
1527815603,22.6872,116.0806,25600,249,455,78070B,JJN,HKG,0
1527815664,22.6409,115.9513,25475,248,455,78070B,JJN,HKG,0
1527815723,22.5983,115.8325,24575,248,412,78070B,JJN,HKG,0
1527815784,22.5571,115.7178,23650,248,395,78070B,JJN,HKG,0
1527815842,22.5188,115.6112,22625,248,368,78070B,JJN,HKG,0
1527815908,22.4634,115.5174,21575,209,343,78070B,JJN,HKG,0
1527815967,22.3824,115.4724,20600,207,322,78070B,JJN,HKG,0
1527816026,22.3016,115.4284,19650,206,322,78070B,JJN,HKG,0
1527816077,22.2497,115.3781,18825,252,315,78070B,JJN,HKG,0
1527816151,22.2506,115.2622,17625,271,312,78070B,JJN,HKG,0
1527816216,22.2537,115.1593,16550,271,308,78070B,JJN,HKG,0
1527816273,22.2563,115.0727,15625,271,301,78070B,JJN,HKG,0
1527816339,22.2593,114.9765,14600,271,297,78070B,JJN,HKG,0
1527816399,22.2618,114.8891,13600,271,288,78070B,JJN,HKG,0
1527816460,22.2644,114.7997,13000,271,286,78070B,JJN,HKG,0
1527816525,22.2626,114.7113,12350,267,281,78070B,JJN,HKG,0
1527816570,22.2604,114.6486,11350,268,278,78070B,JJN,HKG,0
1527816643,22.2938,114.5519,9675,289,271,78070B,JJN,HKG,0
1527816706,22.3177,114.4706,8200,287,268,78070B,JJN,HKG,0
1527816768,22.3405,114.3929,6700,287,270,78070B,JJN,HKG,0
1527816827,22.3625,114.3173,5775,287,251,78070B,JJN,HKG,0
1527816887,22.3832,114.2468,4850,287,238,78070B,JJN,HKG,0
1527816944,22.3989,114.1863,4525,271,219,78070B,JJN,HKG,0
1527817007,22.3824,114.1201,3500,251,214,78070B,JJN,HKG,0
1527817071,22.3618,114.056,2375,251,204,78070B,JJN,HKG,0
1527817128,22.3456,114.0057,1475,250,153,78070B,JJN,HKG,0
1527817191,22.3327,113.9657,775,251,135,78070B,JJN,HKG,0
1527817253,22.3201,113.9266,75,250,127,78070B,JJN,HKG,0
1527817320,22.3137,113.9103,0,180,22,78070B,JJN,HKG,0
1527817379,22.3142,113.9139,0,70,19,78070B,JJN,HKG,0
1527817441,22.3163,113.9205,0,70,18,78070B,JJN,HKG,0
1527817492,22.3181,113.9258,0,70,20,78070B,JJN,HKG,0
1527817552,22.3193,113.9296,0,70,19,78070B,JJN,HKG,0
1527817621,22.3177,113.9316,0,160,15,78070B,JJN,HKG,0
1527817666,22.3164,113.9319,0,199,24,78070B,JJN,HKG,0
1527817737,22.3162,113.9299,0,16,10,78070B,JJN,HKG,0
1527817750,22.3163,113.9299,0,16,2,78070B,JJN,HKG,0
