timestep,timestamp,id,callsign,lat,long,alt,heading,cas,tas,mach,vs,weight,fuel_consumed,bank_angle,trans_alt,accel,drag,esf,thrust,flight_phase,speed_mode,ap_speed_mode,ap_track_angle,ap_heading,ap_nav_index
0,2022-03-28T06:42:35,1,FOLLOW,21.898096305245744,113.5001665517098,20000.0,175.0,310.0,412.7687767329601,0.6719151601600988,0.0,67999.28620261098,0.7137973890211554,0.0,20000.001398513094,0.0,62055.80743581099,0.816642871082602,62055.80743581099,6.0,1,2,-80.7879941652191,175.0,1
1,2022-03-28T06:42:36,1,FOLLOW,21.89619261049149,113.50033310341962,20000.0,175.0,310.0,412.7687767329601,0.6719151601600988,0.0,67998.5724071524,1.4275928475920534,0.0,20000.001398513094,0.0,62055.63960716481,0.816642871082602,62055.63960716481,6.0,1,2,-80.78867053746312,175.0,2
2,2022-03-28T06:42:37,1,FOLLOW,21.894288915737235,113.50049965512945,20000.0,175.0,310.0,412.7687767329601,0.6719151601600988,0.0,67997.85861362425,2.1413863757381786,0.0,20000.001398513094,0.0,62055.47178073422,0.816642871082602,62055.47178073422,6.0,1,2,-80.78934693400717,175.0,3
3,2022-03-28T06:42:38,1,FOLLOW,21.89238522098298,113.50066620683924,20000.0,175.0,310.0,412.7687767329601,0.6719151601600988,0.0,67997.1448220265,2.855177973485016,0.0,20000.001398513094,0.0,62055.30395651921,0.816642871082602,62055.30395651921,6.0,1,2,-80.79002335485082,175.0,4
4,2022-03-28T06:42:39,1,FOLLOW,21.89048152622873,113.50083275854904,20000.0,175.0,310.0,412.7687767329601,0.6719151601600988,0.0,67996.43103235913,3.568967640858049,0.0,20000.001398513094,0.0,62055.13613451974,0.816642871082602,62055.13613451974,6.0,1,2,-80.79069979999358,175.0,5
5,2022-03-28T06:42:40,1,FOLLOW,21.88857783147447,113.50099931025886,20000.0,175.0,310.0,412.7687767329601,0.6719151601600988,0.0,67995.71724462211,4.282755377882763,0.0,20000.001398513094,0.0,62054.968314735794,0.816642871082602,62054.968314735794,6.0,1,2,-80.79137626943496,175.0,6
6,2022-03-28T06:42:41,1,FOLLOW,21.886674136720217,113.50116586196869,20000.0,175.0,310.0,412.7687767329601,0.6719151601600988,0.0,67995.00345881541,4.9965411845846415,0.0,20000.001398513094,0.0,62054.80049716737,0.816642871082602,62054.80049716737,6.0,1,2,-80.79205276317454,175.0,7
7,2022-03-28T06:42:42,1,FOLLOW,21.88477044196596,113.50133241367848,20000.0,175.0,310.0,412.7687767329601,0.6719151601600988,0.0,67994.289674939,5.7103250609891685,0.0,20000.001398513094,0.0,62054.63268181445,0.816642871082602,62054.63268181445,6.0,1,2,-80.7927292812118,175.0,8
8,2022-03-28T06:42:43,1,FOLLOW,21.882866747211708,113.5014989653883,20000.0,175.0,310.0,412.7687767329601,0.6719151601600988,0.0,67993.57589299287,6.424107007121826,0.0,20000.001398513094,0.0,62054.46486867697,0.816642871082602,62054.46486867697,6.0,1,2,-80.79340582354634,175.0,9
9,2022-03-28T06:42:44,1,FOLLOW,21.880963052457453,113.5016655170981,20000.0,175.0,310.0,412.7687767329601,0.6719151601600988,0.0,67992.86211297699,7.137887023008099,0.0,20000.001398513094,0.0,62054.29705775496,0.816642871082602,62054.29705775496,6.0,1,2,-80.7940823901776,175.0,10
10,2022-03-28T06:42:45,1,FOLLOW,21.879055594063523,113.50178125674064,20000.0,176.52769747601477,310.0,412.7687767329601,0.6719151601600988,0.0,67992.1176903996,7.882309600406824,30.0,20000.001398513094,0.0,64718.28676380363,0.816642871082602,64718.28676380363,6.0,1,2,-80.79475898110519,220.0,11
11,2022-03-28T06:42:46,1,FOLLOW,21.87714572802715,113.50184610203743,20000.0,178.05539495202953,310.0,412.7687767329601,0.6719151601600988,0.0,67991.37327050629,8.62672949372067,30.0,20000.001398513094,0.0,64718.05341599797,0.816642871082602,64718.05341599797,6.0,1,2,-80.79545901565604,220.0,12
12,2022-03-28T06:42:47,1,FOLLOW,21.875234812057126,113.50186000689057,20000.0,179.5830924280443,310.0,412.7687767329601,0.6719151601600988,0.0,67990.62885329702,9.371146702988703,30.0,20000.001398513094,0.0,64717.820071588496,0.816642871082602,64717.820071588496,6.0,1,2,-80.7961819911805,220.0,13
13,2022-03-28T06:42:48,1,FOLLOW,21.87332420460865,113.5018229614151,20000.0,181.11078990405903,310.0,412.7687767329601,0.6719151601600988,0.0,67989.88443877175,10.115561228249984,30.0,20000.001398513094,0.0,64717.58673057514,0.816642871082602,64717.58673057514,6.0,1,2,-80.7969273886232,220.0,14
14,2022-03-28T06:42:49,1,FOLLOW,21.871415263917587,113.50173499194642,20000.0,182.63848738007383,310.0,412.7687767329601,0.6719151601600988,0.0,67989.14002693046,10.859973069543578,30.0,20000.001398513094,0.0,64717.3533929579,0.816642871082602,64717.3533929579,6.0,1,2,-80.79769467290646,220.0,15
15,2022-03-28T06:42:50,1,FOLLOW,21.869509347034917,113.50159616102133,20000.0,184.1661848560886,310.0,412.7687767329601,0.6719151601600988,0.0,67988.39561777309,11.604382226908548,30.0,20000.001398513094,0.0,64717.12005873669,0.816642871082602,64717.12005873669,6.0,1,2,-80.79848329332542,220.0,16
16,2022-03-28T06:42:51,1,FOLLOW,21.86760780886201,113.50140656733365,20000.0,185.69388233210336,310.0,412.7687767329601,0.6719151601600988,0.0,67987.65121129961,12.348788700383956,30.0,20000.001398513094,0.0,64716.886727911486,0.816642871082602,64716.886727911486,6.0,1,2,-80.7992926839545,220.0,17
17,2022-03-28T06:42:52,1,FOLLOW,21.865712001187468,113.501166345664,20000.0,187.2215798081181,310.0,412.7687767329601,0.6719151601600988,0.0,67986.90680751,13.093192490008866,30.0,20000.001398513094,0.0,64716.65340048229,0.816642871082602,64716.65340048229,6.0,1,2,-80.80012226406484,220.0,18
18,2022-03-28T06:42:53,1,FOLLOW,21.863823271726105,113.50087566678414,20000.0,188.7492772841329,310.0,412.7687767329601,0.6719151601600988,0.0,67986.16240640418,13.837593595822336,30.0,20000.001398513094,0.0,64716.42007644902,0.816642871082602,64716.42007644902,6.0,1,2,-80.8009714385522,220.0,19
19,2022-03-28T06:42:54,1,FOLLOW,21.8619429631609,113.5005347373354,20000.0,190.27697476014765,310.0,412.7687767329601,0.6719151601600988,0.0,67985.41800798214,14.581992017863431,30.0,20000.001398513094,0.0,64716.18675581164,0.816642871082602,64716.18675581164,6.0,1,2,-80.80183959837542,220.0,20
20,2022-03-28T06:42:55,1,FOLLOW,21.86007241218848,113.5001437996818,20000.0,191.8046722361624,310.0,412.7687767329601,0.6719151601600988,0.0,67984.67361224383,15.326387756171217,30.0,20000.001398513094,0.0,64715.953438570126,0.816642871082602,64715.953438570126,6.0,1,2,-80.80272612100464,220.0,20
21,2022-03-28T06:42:56,1,FOLLOW,21.858212948568863,113.49970313173792,20000.0,193.3323697121772,310.0,412.7687767329601,0.6719151601600988,0.0,67983.92921918922,16.07078081078474,30.0,20000.001398513094,0.0,64715.72012472442,0.816642871082602,64715.72012472442,6.0,1,2,-80.80363037087903,220.0,20
22,2022-03-28T06:42:57,1,FOLLOW,21.856365894180183,113.49921304677112,20000.0,194.86006718819195,310.0,412.7687767329601,0.6719151601600988,0.0,67983.18482881825,16.81517118174307,30.0,20000.001398513094,0.0,64715.48681427448,0.816642871082602,64715.48681427448,6.0,1,2,-80.80455169987395,220.0,20
23,2022-03-28T06:42:58,1,FOLLOW,21.85453256207893,113.49867389317896,20000.0,196.3877646642067,310.0,412.7687767329601,0.6719151601600988,0.0,67982.44044113091,17.55955886908527,30.0,20000.001398513094,0.0,64715.2535072203,0.816642871082602,64715.2535072203,6.0,1,2,-80.80548944777667,220.0,20
24,2022-03-28T06:42:59,1,FOLLOW,21.852714255566525,113.49808605424154,20000.0,197.91546214022148,310.0,412.7687767329601,0.6719151601600988,0.0,67981.69605612714,18.30394387285039,30.0,20000.001398513094,0.0,64715.020203561806,0.816642871082602,64715.020203561806,6.0,1,2,-80.80644294277073,220.0,20
25,2022-03-28T06:43:00,1,FOLLOW,21.850912267262824,113.4974499478489,20000.0,199.44315961623624,310.0,412.7687767329601,0.6719151601600988,0.0,67980.9516738069,19.048326193077493,30.0,20000.001398513094,0.0,64714.78690329897,0.816642871082602,64714.78690329897,6.0,1,2,-80.80741150192823,220.0,20
26,2022-03-28T06:43:01,1,FOLLOW,21.849127878187197,113.49676602620411,20000.0,200.970857092251,310.0,412.7687767329601,0.6719151601600988,0.0,67980.20729417018,19.79270582980564,30.0,20000.001398513094,0.0,64714.55360643175,0.816642871082602,64714.55360643175,6.0,1,2,-80.80839443170987,220.0,20
27,2022-03-28T06:43:02,1,FOLLOW,21.84736235684785,113.49603477550174,20000.0,202.49855456826575,310.0,412.7687767329601,0.6719151601600988,0.0,67979.46291721691,20.53708278307388,30.0,20000.001398513094,0.0,64714.3203129601,0.816642871082602,64714.3203129601,6.0,1,2,-80.80939102847223,220.0,20
28,2022-03-28T06:43:03,1,FOLLOW,21.84561695834007,113.49525671558214,20000.0,204.0262520442805,310.0,412.7687767329601,0.6719151601600988,0.0,67978.71854294706,21.281457052921272,30.0,20000.001398513094,0.0,64714.08702288399,0.816642871082602,64714.08702288399,6.0,1,2,-80.81040057898188,220.0,20
29,2022-03-28T06:43:04,1,FOLLOW,21.84389292345399,113.49443239956204,20000.0,205.5539495202953,310.0,412.7687767329601,0.6719151601600988,0.0,67977.97417136059,22.02582863938688,30.0,20000.001398513094,0.0,64713.85373620338,0.816642871082602,64713.85373620338,6.0,1,2,-80.81142236093598,220.0,20
