timestep,timestamp,id,callsign,lat,long,alt,cas,tas,mach,vs,heading,bank_angle,mass,fuel_consumed,thrust,drag,esf,accel,ap_track_angle,ap_heading,ap_nav_index,ap_dist_to_next_fix,trans_alt,flight_phase,configuration,speed_mode,vertical_mode,ap_speed_mode,ap_lateral_mode
0,2022-04-21T09:15:30,0,FULL,22.30724568099312,113.9318827896059,-1700.4709868167809,205.0,207.69934686611543,0.0014921171720292,-102028.25920900684,252.59096380795248,-15.0,63271.45246466177,1.5475353382252477,149226.0,691279057.3547317,0.9999986967229064,0.0,250.76817579165143,250.76817579165143,0,13.262718666524645,0.0015324676699008,TAKEOFF,TAKEOFF,CAS,LEVEL,CONSTANT_CAS,LNAV
1,2022-04-21T09:15:31,0,FULL,22.30727750874574,113.9318456755558,-1681.881857051618,1.0310182730270858,1.0131675456318303,0.0015117647042479,1115.3477859097727,250.74388068522663,-15.0,63270.05451258978,2.9454874102224253,161527.47507787088,41677.76627298333,0.3,1.3665773689518947,250.74388068522663,250.74388068522663,0,13.161108950551675,-967606.932613394,TAKEOFF,TAKEOFF,MACH,CLIMB,ACCELERATE,LNAV
2,2022-04-21T09:15:32,0,FULL,22.30730933494929,113.93180856204714,-3279.9461978746976,1.0306760121011336,1.0131675456318303,0.0015117647042479,-95883.8604493848,250.72383613859532,-15.0,63268.6569802376,4.343019762396801,161478.97821980578,633878565.0034162,1.0000002999521185,0.0,250.72383613859532,250.72383613859532,0,13.15867247620176,-1700.4694206105669,TAKEOFF,TAKEOFF,MACH,CLIMB,CONSTANT_MACH,LNAV
3,2022-04-21T09:15:33,0,FULL,22.307042655394767,113.93091887431888,-3737.798346247586,205.0,196.1304626551278,0.2926496334670194,-27471.12890237328,250.70378496231305,-15.0,63266.95515055823,6.044849441772051,165638.30372702147,598862230.5085633,0.3,-6826.930956166778,250.70378496231305,250.70378496231305,0,13.15623760828411,-1681.880293101461,TAKEOFF,TAKEOFF,CAS,CLIMB,ACCELERATE,LNAV
4,2022-04-21T09:15:34,0,FULL,22.306778188105056,113.93003599243622,-3678.433677312056,205.0,194.58508089562463,0.2926496334670194,3561.8801361318237,250.69354388280303,-15.0,63265.24325521753,7.75674478246744,166826.299547097,41224.4848435518,0.9548345371795026,0.0,250.69354388280303,250.69354388280303,0,13.060055257623024,-3279.9445876262166,TAKEOFF,TAKEOFF,CAS,CLIMB,CONSTANT_CAS,LNAV
5,2022-04-21T09:15:35,0,FULL,22.30651326119838,113.92915229320693,-3619.552114269754,205.0,194.78452575330152,0.2903437427891369,3532.893782538095,250.68315327904412,-15.0,63263.53266359853,9.467336401468184,166672.35734375098,41055.09215121978,0.9548304021544882,0.0,250.68315327904412,250.68315327904412,0,12.964615250555964,-3279.9445876262166,TAKEOFF,TAKEOFF,CAS,CLIMB,CONSTANT_CAS,LNAV
6,2022-04-21T09:15:36,0,FULL,22.30624817905358,113.9282686484084,-3601.062349893995,204.792302396802,194.78452575330152,0.2906413378883677,1109.385862545551,250.67270130011812,-15.0,63261.82363934008,11.176360659922477,166519.64077821714,41053.98388882803,0.3,1.4308133113232309,250.67270130011812,250.67270130011812,0,12.86907924040287,-3737.796731041767,TAKEOFF,TAKEOFF,MACH,CLIMB,ACCELERATE,LNAV
7,2022-04-21T09:15:37,0,FULL,22.30598294060104,113.9273850584478,-3538.756771945609,204.72710648379623,194.78452575330152,0.2906413378883677,3738.334676903141,250.66217662940667,-15.0,63260.11510731544,12.884892684562743,166471.67972822906,41047.23300846048,1.0113587882935229,0.0,250.66217662940667,250.66217662940667,0,12.773543055832205,-3619.550500419981,TAKEOFF,TAKEOFF,MACH,CLIMB,CONSTANT_MACH,LNAV
8,2022-04-21T09:15:38,0,FULL,22.305717544755392,113.92650152373852,-3476.546417626508,204.5074998428352,194.78452575330152,0.2906413378883677,3732.62125914608,250.65157819234705,-15.0,63258.40823418891,14.591765811096405,166310.0441543437,41026.65465838264,1.0113539859867011,0.0,250.65157819234705,250.65157819234705,0,12.67800669639386,-3601.060736268035,TAKEOFF,TAKEOFF,MACH,CLIMB,CONSTANT_MACH,LNAV
9,2022-04-21T09:15:39,0,FULL,22.305451990415182,113.92561804470024,-3414.4311918831386,204.2883614973288,194.78452575330152,0.2906413378883677,3726.91354460216,250.64090489021297,-15.0,63256.70301773496,16.296982265044964,166148.62542526846,41006.29307620652,1.011349191064902,0.0,250.64090489021297,250.64090489021297,0,12.5824701616283,-3538.755159074576,TAKEOFF,TAKEOFF,MACH,CLIMB,CONSTANT_MACH,LNAV
